|    cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	ra|	dec|	sigra|	sigdec|	sigradec|	w1mpro|	w1sigmpro|	w1snr|	w1rchi2|	w2mpro|	w2sigmpro|	w2snr|	w2rchi2|	w3mpro|	w3sigmpro|	w3snr|	w3rchi2|	w4mpro|	w4sigmpro|	w4snr|	w4rchi2|	cc_flags|	ext_flg|	var_flg|	ph_qual|	w1mag|	w1sigm|	w1flg|	w2mag|	w2sigm|	w2flg|	w3mag|	w3sigm|	w3flg|	w4mag|	w4sigm|	w4flg|	w1mag_1|	w1sigm_1|	w1flg_1|	w2mag_1|	w2sigm_1|	w2flg_1|	w3mag_1|	w3sigm_1|	w3flg_1|	w4mag_1|	w4sigm_1|	w4flg_1|	w1mag_2|	w1sigm_2|	w1flg_2|	w2mag_2|	w2sigm_2|	w2flg_2|	w3mag_2|	w3sigm_2|	w3flg_2|	w4mag_2|	w4sigm_2|	w4flg_2|	w1mag_3|	w1sigm_3|	w1flg_3|	w2mag_3|	w2sigm_3|	w2flg_3|	w3mag_3|	w3sigm_3|	w3flg_3|	w4mag_3|	w4sigm_3|	w4flg_3|	w1mag_4|	w1sigm_4|	w1flg_4|	w2mag_4|	w2sigm_4|	w2flg_4|	w3mag_4|	w3sigm_4|	w3flg_4|	w4mag_4|	w4sigm_4|	w4flg_4|	w1mag_5|	w1sigm_5|	w1flg_5|	w2mag_5|	w2sigm_5|	w2flg_5|	w3mag_5|	w3sigm_5|	w3flg_5|	w4mag_5|	w4sigm_5|	w4flg_5|	w1mag_6|	w1sigm_6|	w1flg_6|	w2mag_6|	w2sigm_6|	w2flg_6|	w3mag_6|	w3sigm_6|	w3flg_6|	w4mag_6|	w4sigm_6|	w4flg_6|	w1mag_7|	w1sigm_7|	w1flg_7|	w2mag_7|	w2sigm_7|	w2flg_7|	w3mag_7|	w3sigm_7|	w3flg_7|	w4mag_7|	w4sigm_7|	w4flg_7|	w1mag_8|	w1sigm_8|	w1flg_8|	w2mag_8|	w2sigm_8|	w2flg_8|	w3mag_8|	w3sigm_8|	w3flg_8|	w4mag_8|	w4sigm_8|	w4flg_8|	w1rsemi|	w1ba|	w1pa|	w1gmag|	w1gerr|	w1gflg|	w2rsemi|	w2ba|	w2pa|	w2gmag|	w2gerr|	w2gflg|	w3rsemi|	w3ba|	w3pa|	w3gmag|	w3gerr|	w3gflg|	w4rsemi|	w4ba|	w4pa|	w4gmag|	w4gerr|	w4gflg|
81	0.464344	110.134594	324.639167	32.085	324.6393096	32.0849556	0.0556	0.0536	0.0034	10.25	0.022	48.6	5.831	9.429	0.021	52.9	1.61	6.267	0.015	73.3	1.44	3.856	0.023	48.1	0.7075	0	5	1100	AAAA	10.264	0.006	0	9.444	0.006	0	6.275	0.006	0	3.824	0.008	1	10.946	0.006	0	10.22	0.006	0	7.705	0.006	0	4.894	0.008	1	10.525	0.006	0	9.763	0.006	0	7.1	0.006	0	4.4	0.008	1	10.349	0.006	0	9.579	0.006	0	6.772	0.006	0	4.114	0.008	17	10.263	0.006	0	9.499	0.006	0	6.589	0.006	0	3.969	0.008	17	10.213	0.006	0	9.456	0.006	0	6.487	0.006	0	3.907	0.009	17	10.179	0.006	1	9.43	0.006	1	6.43	0.006	1	3.879	0.011	17	10.154	0.006	1	9.412	0.006	1	6.398	0.006	1	3.868	0.012	17	10.136	0.007	1	9.399	0.006	1	6.38	0.006	1	3.863	0.014	17	17.15	0.63	-40	10.266	0.006	0	17.15	0.63	-40	9.508	0.006	0	17.15	0.63	-40	6.621	0.006	0	22.03	0.76	-40	4.249	0.008	17
82	0.691869	-114.36952	9.0875	45.665	9.0872495	45.6649207	0.0277	0.0267	0.0003	10.541	0.022	49.1	2.626	9.8	0.019	57.6	1.382	7.202	0.015	70.5	1.432	4.948	0.025	42.9	0.9428	dd00	4	4211	AAAA	10.545	0.006	0	9.788	0.006	0	7.204	0.007	0	4.938	0.018	1	11.204	0.006	0	10.56	0.006	0	8.63	0.008	0	5.996	0.018	0	10.806	0.006	0	10.107	0.006	0	8.029	0.007	0	5.514	0.018	1	10.648	0.006	0	9.927	0.006	0	7.7	0.007	0	5.237	0.019	1	10.575	0.006	0	9.852	0.006	0	7.517	0.007	0	5.097	0.021	17	10.535	0.006	0	9.812	0.006	0	7.413	0.007	0	5.041	0.025	17	10.508	0.006	0	9.787	0.006	0	7.355	0.008	0	5.019	0.031	17	10.489	0.006	1	9.77	0.006	1	7.321	0.008	1	5.01	0.037	17	10.471	0.006	1	9.754	0.006	1	7.3	0.009	1	5.002	0.044	17	12.19	0.85	-35	10.639	0.006	0	12.19	0.85	-35	9.917	0.006	0	12.19	0.85	-35	7.679	0.007	0	17.81	0.93	-35	5.469	0.018	1
83	0.987466	-14.004006	91.423333	-86.631944	-91.4222036	86.6316783	0.0483	0.048	-0.0149	9.168	0.023	47.9	73.919998	8.951	0.02	55.1	44.240002	5.672	0.014	77.5	41.23	3.157	0.015	70.1	26.76	0	5	9399	AAAA	9.142	0.005	0	8.943	0.006	0	5.718	0.006	0	3.07	0.006	0	10.031	0.006	0	9.9	0.006	0	7.264	0.006	0	4.256	0.007	0	9.403	0.005	0	9.262	0.006	0	6.543	0.006	0	3.646	0.006	0	9.04	0.005	0	8.894	0.006	0	6.09	0.006	0	3.267	0.006	1	8.805	0.005	0	8.656	0.006	0	5.777	0.006	0	3.029	0.006	1	8.64	0.005	0	8.488	0.006	0	5.548	0.006	0	2.882	0.007	1	8.518	0.005	0	8.362	0.006	0	5.372	0.006	0	2.785	0.007	1	8.42	0.005	0	8.262	0.006	0	5.23	0.006	0	2.72	0.007	1	8.341	0.005	0	8.18	0.006	0	5.113	0.006	0	2.675	0.008	1	88.04	0.29	-85	7.914	0.005	1	88.04	0.29	-85	7.755	0.006	1	88.04	0.29	-85	4.532	0.006	1	117.88	0.43	-85	2.492	0.008	1
84	0.184098	-40.07136	283.667917	-78.898333	-283.6677457	78.8982942	0.0581	0.0569	0.0022	11.02	0.023	47.1	20.940001	10.657	0.02	54.3	7.104	7.604	0.016	67.5	4.093	5.168	0.026	42.3	1.416	0	5	1000	AAAA	10.979	0.006	0	10.622	0.006	0	7.46	0.008	0	4.997	0.016	1	11.774	0.006	0	11.487	0.007	0	8.97	0.009	0	6.135	0.018	1	11.24	0.006	0	10.941	0.006	0	8.285	0.008	0	5.573	0.016	1	10.942	0.006	0	10.652	0.006	0	7.862	0.007	0	5.24	0.016	1	10.74	0.006	1	10.466	0.006	1	7.581	0.007	0	5.057	0.018	1	10.59	0.006	1	10.329	0.006	1	7.386	0.007	1	4.96	0.02	1	10.473	0.006	1	10.223	0.006	1	7.248	0.007	1	4.908	0.024	1	10.38	0.006	1	10.14	0.006	1	7.149	0.007	1	4.884	0.028	1	10.308	0.006	1	10.076	0.007	1	7.078	0.008	1	4.874	0.034	17	24.86	0.98	-75	10.311	0.006	1	24.86	0.98	-75	10.078	0.007	1	24.86	0.98	-75	7.081	0.008	1	26.85	0.98	-75	5.08	0.017	1
85	0.454118	9.353891	46.897083	-72.834167	-46.8971528	72.8340422	0.0582	0.0593	0.0125	11.094	0.023	47.8	9.812	10.432	0.02	54.6	3.229	7.993	0.016	66	2.012	5.759	0.031	34.5	1.02	0	5	1111	AAAA	11.076	0.006	0	10.419	0.006	0	7.933	0.007	0	5.697	0.019	1	11.792	0.006	0	11.219	0.006	0	9.388	0.008	0	6.781	0.021	0	11.337	0.006	0	10.738	0.006	0	8.758	0.007	0	6.273	0.019	1	11.124	0.006	0	10.528	0.006	0	8.402	0.007	0	5.98	0.02	1	11.008	0.006	0	10.426	0.006	0	8.195	0.007	0	5.825	0.022	17	10.936	0.006	0	10.368	0.006	0	8.073	0.007	0	5.751	0.026	17	10.889	0.006	0	10.33	0.006	0	7.999	0.007	0	5.716	0.031	17	10.857	0.006	0	10.306	0.006	0	7.955	0.008	0	5.7	0.037	17	10.837	0.006	1	10.29	0.006	1	7.929	0.008	1	5.687	0.043	17	13.93	0.83	-35	11.046	0.006	0	13.93	0.83	-35	10.459	0.006	0	13.93	0.83	-35	8.263	0.007	0	17.37	0.89	-35	6.28	0.019	1
86	0.478004	-119.850581	73.995833	-75.541111	-73.9953721	75.5411772	0.053	0.0549	-0.0128	9.661	0.023	46.8	9.899	8.717	0.02	54.5	4.322	5.568	0.015	73.4	3.003	3.28	0.021	52.3	0.7302	0	5	110	AAAA	9.666	0.005	0	8.73	0.005	0	5.571	0.006	0	3.273	0.006	1	10.361	0.006	0	9.515	0.006	0	6.993	0.006	0	4.343	0.006	1	9.927	0.005	0	9.049	0.005	0	6.396	0.006	0	3.849	0.006	1	9.731	0.005	0	8.854	0.005	0	6.072	0.006	0	3.562	0.006	17	9.622	0.005	0	8.762	0.005	0	5.888	0.006	0	3.413	0.007	17	9.552	0.005	0	8.71	0.005	0	5.786	0.006	0	3.349	0.007	17	9.502	0.005	1	8.676	0.006	1	5.729	0.006	1	3.32	0.008	17	9.464	0.005	1	8.651	0.006	1	5.698	0.006	1	3.309	0.009	17	9.434	0.006	1	8.631	0.006	1	5.68	0.006	1	3.304	0.01	17	23.64	0.84	10	9.47	0.005	1	23.64	0.84	10	8.655	0.006	1	23.64	0.84	10	5.703	0.006	1	26.03	0.87	10	3.486	0.006	17
87	0.195238	115.444052	279.584583	-65.4275	-279.5847011	65.4275233	0.0551	0.0441	0.0102	9.67	0.022	48.4	4.593	8.12	0.021	51.7	1.396	4.364	0.014	74.9	3.647	1.506	0.016	68.2	0.9983	0	5	103	AAAA	9.671	0.006	0	8.124	0.005	0	4.387	0.005	0	1.481	0.006	1	10.35	0.006	0	8.898	0.006	0	5.82	0.005	0	2.549	0.006	1	9.932	0.006	0	8.443	0.005	0	5.212	0.005	0	2.057	0.006	1	9.756	0.006	0	8.263	0.005	0	4.877	0.005	0	1.772	0.006	1	9.666	0.006	0	8.187	0.005	0	4.685	0.005	0	1.628	0.006	1	9.611	0.006	0	8.148	0.005	0	4.577	0.005	0	1.566	0.006	1	9.571	0.006	1	8.124	0.005	1	4.516	0.005	1	1.537	0.006	1	9.542	0.006	1	8.108	0.006	1	4.482	0.005	1	1.526	0.006	1	9.516	0.006	1	8.095	0.006	1	4.463	0.005	1	1.52	0.006	1	27.5	0.41	35	9.585	0.006	1	27.5	0.41	35	8.158	0.005	1	27.5	0.41	35	4.634	0.005	1	33.48	0.54	35	1.749	0.006	1
88	0.668044	-141.541923	95.94	-60.978889	-95.9397621	60.9790342	0.0595	0.0606	-0.0099	11.555	0.023	47.8	30.18	11.085	0.02	53.6	7.693	8.367	0.017	64.7	1.246	5.896	0.032	33.5	1.011	dd00	5	0	AAAA	11.4	0.006	0	10.981	0.006	0	8.321	0.009	0	5.856	0.023	1	12.228	0.006	0	11.856	0.007	0	9.765	0.011	0	6.93	0.024	1	11.661	0.006	0	11.3	0.006	0	9.146	0.009	0	6.432	0.023	1	11.339	0.006	0	11.003	0.006	0	8.792	0.009	0	6.14	0.024	17	11.12	0.006	0	10.812	0.006	0	8.577	0.009	0	5.996	0.027	17	10.939	0.006	1	10.66	0.006	1	8.441	0.009	1	5.939	0.032	17	10.752	0.006	1	10.506	0.006	1	8.35	0.009	1	5.917	0.039	17	10.513	0.006	1	10.328	0.006	1	8.284	0.01	1	5.916	0.047	17	10.264	0.006	1	10.146	0.006	1	8.234	0.011	1	5.927	0.057	17	23.54	0.69	85	10.581	0.006	1	23.54	0.69	85	10.389	0.006	1	23.54	0.69	85	8.341	0.009	1	26.56	0.76	85	6.108	0.024	17
89	0.787715	-72.554342	248.80875	-58.08	-248.8083552	58.0799344	0.0292	0.0298	-0.0061	9.908	0.024	44.7	45.27	9.529	0.021	50.7	17.950001	6.101	0.017	62.1	3.113	3.061	0.022	48.9	1.17	hh00	5	79nn	AAAA	8.59	0.006	17	8.314	0.006	1	5.923	0.008	1	3.277	0.014	1	9.842	0.007	1	9.621	0.007	1	7.42	0.01	1	4.428	0.016	1	8.851	0.006	17	8.633	0.006	1	6.748	0.008	1	3.853	0.014	1	8.156	0.006	17	7.936	0.006	1	6.343	0.008	1	3.506	0.014	1	7.722	0.006	17	7.509	0.006	1	6.082	0.007	1	3.299	0.015	1	7.489	0.006	17	7.286	0.006	1	5.909	0.007	1	3.186	0.016	1	7.377	0.006	17	7.18	0.006	1	5.786	0.008	1	3.123	0.019	1	7.316	0.006	17	7.123	0.006	1	5.692	0.008	1	3.092	0.022	1	7.275	0.006	17	7.085	0.006	1	5.612	0.008	1	3.08	0.026	1	56.55	0.87	30	7.022	0.007	17	56.55	0.87	30	6.868	0.006	1	56.55	0.87	30	5.198	0.015	3	58.83	0.88	30	3.016	0.025	1
90	0.439367	-19.657881	264.412917	-59.940833	-264.4128347	59.9407184	0.0527	0.0533	-0.0091	10.017	0.023	48.2	12.09	9.37	0.018	59.1	5.163	6.715	0.015	72.9	2.397	4.525	0.023	46.7	1.716	dh00	5	110	AAAA	10.002	0.006	0	9.375	0.006	0	6.673	0.006	0	4.373	0.013	1	10.724	0.006	0	10.179	0.006	0	8.152	0.007	0	5.516	0.014	0	10.263	0.006	0	9.694	0.006	0	7.498	0.006	0	4.949	0.013	1	10.028	0.006	0	9.468	0.006	0	7.102	0.006	0	4.601	0.013	1	9.874	0.006	0	9.34	0.006	0	6.837	0.006	0	4.4	0.014	1	9.757	0.006	0	9.249	0.006	0	6.647	0.006	0	4.293	0.015	1	9.661	0.006	0	9.177	0.006	0	6.502	0.006	0	4.233	0.018	1	9.579	0.006	1	9.115	0.006	1	6.388	0.006	1	4.199	0.021	1	9.504	0.007	1	9.06	0.006	1	6.298	0.006	1	4.179	0.024	1	32.84	0.79	25	9.371	0.007	1	32.84	0.79	25	8.966	0.006	1	32.84	0.79	25	6.187	0.006	1	34.55	0.81	25	4.323	0.015	1
91	0.422707	73.841226	290.30875	-58.670278	-290.3089669	58.6702451	0.0536	0.0513	-0.0105	8.988	0.023	48	2.054	8.134	0.019	55.9	1.214	5.715	0.016	68.8	1.272	3.602	0.02	54	0.7111	0	4	1111	AAAA	8.998	0.005	0	8.132	0.005	0	5.741	0.006	0	3.599	0.009	1	9.639	0.006	0	8.896	0.006	0	7.173	0.006	0	4.674	0.009	0	9.259	0.005	0	8.451	0.005	0	6.566	0.006	0	4.175	0.009	1	9.114	0.005	0	8.278	0.005	0	6.231	0.006	0	3.887	0.009	17	9.049	0.005	0	8.207	0.005	0	6.046	0.006	0	3.74	0.01	17	9.013	0.005	0	8.171	0.006	0	5.941	0.006	0	3.676	0.011	17	8.987	0.005	0	8.148	0.006	0	5.882	0.006	0	3.647	0.013	17	8.969	0.005	1	8.133	0.006	1	5.848	0.006	1	3.638	0.015	17	8.954	0.005	1	8.121	0.006	1	5.827	0.006	1	3.635	0.018	17	16.62	0.85	35	9.029	0.005	0	16.62	0.85	35	8.186	0.005	0	16.62	0.85	35	5.984	0.006	0	19.82	0.9	35	4.035	0.009	1
92	1.393792	-61.585369	65.600833	-56.225833	-65.6002208	56.2256491	0.0544	0.0532	0.0086	10.348	0.022	49	4.51	9.599	0.02	55.6	2.685	7.231	0.014	76.2	1.847	5.149	0.023	46.6	1.081	0	1	9991	AAAA	10.354	0.005	0	9.611	0.006	0	7.195	0.006	0	5.065	0.01	17	11.031	0.006	0	10.389	0.006	0	8.645	0.006	0	6.165	0.011	17	10.615	0.005	0	9.93	0.006	0	8.02	0.006	0	5.641	0.01	17	10.425	0.005	0	9.733	0.006	0	7.656	0.006	0	5.334	0.01	17	10.313	0.005	1	9.634	0.006	1	7.432	0.006	1	5.168	0.011	17	10.231	0.005	1	9.57	0.006	1	7.286	0.006	1	5.077	0.012	17	10.166	0.006	1	9.523	0.006	1	7.189	0.006	1	5.016	0.014	17	10.112	0.006	1	9.485	0.006	1	7.123	0.006	1	4.973	0.016	17	10.07	0.006	1	9.455	0.006	1	7.077	0.006	1	4.946	0.019	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
93	0.659795	-62.093959	15.145833	-47.867778	-15.1455919	47.867692	0.0622	0.0561	-0.0083	11.214	0.022	48.6	5.071	10.545	0.021	52.7	1.806	7.521	0.014	75.5	1.432	5.052	0.032	34.1	0.9872	0	5	nnnn	AAAA	11.243	0.006	1	10.545	0.007	1	7.486	0.008	1	5.038	0.026	1	11.951	0.007	1	11.334	0.007	1	8.93	0.01	1	6.1	0.028	1	11.504	0.006	1	10.864	0.007	1	8.311	0.008	1	5.614	0.026	1	11.304	0.006	1	10.664	0.007	1	7.973	0.008	1	5.343	0.028	1	11.187	0.006	1	10.564	0.007	1	7.778	0.008	1	5.205	0.032	1	11.087	0.006	1	10.491	0.007	1	7.665	0.009	1	5.145	0.038	1	10.986	0.006	1	10.425	0.008	1	7.595	0.009	1	5.121	0.046	1	10.892	0.006	1	10.363	0.008	1	7.551	0.01	1	5.119	0.056	1	10.806	0.006	1	10.306	0.008	1	7.519	0.01	1	5.119	0.068	1	11.64	0.72	85	11.37	0.006	1	11.64	0.72	85	10.738	0.007	1	11.64	0.72	85	8.103	0.008	1	18.24	0.87	85	5.583	0.026	1
94	0.47202	25.634668	32.71875	-49.698611	-32.7188377	49.6984929	0.0561	0.054	0.0019	11.225	0.024	44.5	20	10.524	0.02	54.7	6.111	7.123	0.015	72.8	7.742	4.596	0.023	47.1	1.266	0	5	1111	AAAA	11.163	0.006	0	10.504	0.006	0	7.089	0.007	0	4.52	0.013	1	11.925	0.006	0	11.328	0.007	0	8.572	0.007	0	5.609	0.014	1	11.424	0.006	0	10.823	0.006	0	7.914	0.007	0	5.096	0.013	1	11.178	0.006	0	10.589	0.006	0	7.535	0.006	0	4.806	0.014	1	11.044	0.006	0	10.47	0.007	0	7.309	0.006	0	4.656	0.015	1	10.967	0.006	0	10.403	0.007	0	7.173	0.007	0	4.587	0.018	1	10.92	0.006	1	10.363	0.007	1	7.094	0.007	1	4.553	0.021	1	10.89	0.006	1	10.338	0.007	1	7.048	0.007	1	4.537	0.025	1	10.869	0.006	1	10.323	0.008	1	7.021	0.007	1	4.529	0.03	1	18.7	0.51	70	11.044	0.006	0	18.7	0.51	70	10.492	0.006	0	18.7	0.51	70	7.37	0.006	0	25.65	0.7	70	4.849	0.014	1
95	0.723101	4.650619	39.582083	-52.1925	-39.5821099	52.1922998	0.0574	0.0571	0.0098	10.644	0.023	47.4	2.911	9.868	0.02	55.7	1.71	7.421	0.016	69.5	1.393	5.278	0.029	38	0.9579	0	5	11	AAAA	10.639	0.006	0	9.872	0.006	0	7.427	0.007	0	5.266	0.02	1	11.302	0.006	0	10.642	0.006	0	8.85	0.008	0	6.341	0.021	1	10.9	0.006	0	10.191	0.006	0	8.252	0.007	0	5.842	0.02	1	10.736	0.006	0	10.007	0.006	0	7.926	0.007	0	5.545	0.02	1	10.655	0.006	0	9.927	0.006	0	7.746	0.007	0	5.386	0.021	1	10.606	0.006	1	9.882	0.006	1	7.648	0.007	1	5.307	0.024	1	10.571	0.006	1	9.853	0.006	1	7.593	0.008	1	5.259	0.027	1	10.546	0.006	1	9.831	0.006	1	7.564	0.008	1	5.226	0.031	1	10.528	0.006	1	9.813	0.006	1	7.547	0.009	1	5.195	0.035	1	11.8	0.91	-40	10.726	0.006	0	11.8	0.91	-40	9.996	0.006	0	11.8	0.91	-40	7.903	0.007	0	15.51	0.96	-40	5.934	0.02	1
96	0.510106	-144.229214	120.491667	-49.778333	-120.4915384	49.7784483	0.0482	0.0512	-0.0049	9.534	0.022	49.2	6.477	8.602	0.02	54	2.51	5.64	0.014	78	3.676	3.228	0.017	63	0.9904	0	5	1111	AAAA	9.545	0.006	0	8.613	0.006	0	5.661	0.006	0	3.219	0.007	1	10.227	0.006	0	9.395	0.006	0	7.1	0.006	0	4.293	0.007	1	9.806	0.006	0	8.932	0.006	0	6.486	0.006	0	3.795	0.007	1	9.626	0.006	0	8.742	0.006	0	6.145	0.006	0	3.507	0.007	1	9.535	0.006	0	8.658	0.006	0	5.948	0.006	0	3.358	0.007	1	9.48	0.006	0	8.613	0.006	0	5.836	0.006	0	3.297	0.008	1	9.442	0.006	0	8.585	0.006	0	5.773	0.006	0	3.271	0.008	1	9.415	0.006	1	8.565	0.006	1	5.736	0.006	1	3.262	0.009	1	9.396	0.006	1	8.551	0.006	1	5.714	0.006	1	3.258	0.011	17	22.31	0.47	60	9.511	0.006	0	22.31	0.47	60	8.652	0.006	0	22.31	0.47	60	5.939	0.006	0	28.53	0.61	60	3.528	0.007	1
97	0.619039	-112.46641	22.463333	-42.326389	-22.4631184	42.3264546	0.0562	0.0553	-0.0085	11.077	0.023	48.1	44.75	10.408	0.02	54.8	16.74	7.037	0.015	74.2	33.540001	4.573	0.026	41.1	10.03	0	5	1112	AAAA	10.969	0.006	0	10.365	0.006	0	6.956	0.007	0	4.414	0.012	1	11.797	0.006	0	11.235	0.007	0	8.477	0.008	0	5.557	0.013	1	11.23	0.006	0	10.684	0.006	0	7.781	0.007	0	4.99	0.012	1	10.94	0.006	0	10.416	0.006	0	7.378	0.006	0	4.674	0.012	1	10.78	0.006	0	10.275	0.006	0	7.133	0.006	0	4.501	0.013	1	10.682	0.006	0	10.194	0.007	0	6.979	0.006	0	4.414	0.015	1	10.616	0.006	1	10.142	0.007	1	6.88	0.007	1	4.373	0.017	1	10.567	0.006	1	10.104	0.007	1	6.815	0.007	1	4.353	0.02	1	10.531	0.006	1	10.076	0.007	1	6.771	0.007	1	4.343	0.023	1	21.5	0.47	40	10.719	0.006	0	21.5	0.47	40	10.241	0.006	0	21.5	0.47	40	7.081	0.006	0	28.45	0.63	40	4.664	0.012	1
98	0.474029	-176.955436	152.450833	-42.811111	-152.4508238	42.8112426	0.0541	0.0562	-0.0051	10.862	0.024	45.3	8.066	9.887	0.02	53	2.17	6.929	0.014	77.7	1.353	4.404	0.022	48.5	0.8152	0	5	0	AAAA	10.848	0.006	0	9.9	0.006	0	6.927	0.007	0	4.393	0.012	1	11.567	0.006	0	10.691	0.006	0	8.356	0.007	0	5.471	0.012	1	11.109	0.006	0	10.219	0.006	0	7.752	0.007	0	4.969	0.012	1	10.881	0.006	1	10.011	0.006	1	7.41	0.007	1	4.667	0.012	1	10.734	0.006	1	9.902	0.006	1	7.202	0.007	1	4.501	0.013	1	10.615	0.006	1	9.827	0.006	1	7.067	0.007	1	4.421	0.015	1	10.51	0.006	1	9.765	0.006	1	6.972	0.007	1	4.377	0.018	1	10.42	0.006	1	9.713	0.006	1	6.899	0.007	1	4.355	0.021	1	10.348	0.006	1	9.671	0.006	1	6.84	0.008	1	4.342	0.025	1	24.25	0.84	15	10.42	0.006	1	24.25	0.84	15	9.713	0.006	1	24.25	0.84	15	6.896	0.007	1	26.7	0.87	15	4.565	0.013	1
99	0.541997	-104.624	24.655	-40.011389	-24.6548098	40.0114269	0.0564	0.0548	-0.0053	10.323	0.022	49.9	38.040001	9.724	0.021	52.9	8.9	6.617	0.015	73.1	4.558	4.502	0.024	45.6	1.314	0	5	1111	AAAA	10.331	0.006	0	9.741	0.006	0	6.631	0.006	0	4.449	0.017	0	11.125	0.006	0	10.584	0.006	0	8.099	0.007	0	5.546	0.019	0	10.592	0.006	0	10.06	0.006	0	7.456	0.006	0	5.025	0.017	0	10.316	0.006	0	9.808	0.006	0	7.088	0.006	0	4.729	0.018	0	10.148	0.006	0	9.669	0.006	0	6.864	0.006	0	4.576	0.02	1	10.035	0.006	0	9.58	0.006	0	6.727	0.006	0	4.508	0.024	1	9.954	0.006	0	9.517	0.006	0	6.641	0.006	0	4.481	0.029	1	9.894	0.006	0	9.47	0.006	0	6.586	0.006	0	4.476	0.035	1	9.849	0.006	0	9.436	0.007	0	6.55	0.007	0	4.48	0.042	1	37.75	0.37	-35	9.838	0.006	0	37.75	0.37	-35	9.441	0.006	0	37.75	0.37	-35	6.588	0.006	0	42.81	0.45	-35	4.619	0.022	1
100	0.591304	39.837731	196.60875	-40.414722	-196.6088882	40.4145961	0.0472	0.0509	-0.0103	8.001	0.023	46.8	2.604	7.179	0.02	55.1	1.694	4.456	0.014	75	3.131	2.173	0.015	70.1	0.8627	hh00	5	5130	AAAA	8.018	0.005	0	7.207	0.005	0	4.506	0.005	0	2.152	0.006	1	8.673	0.005	0	7.98	0.005	0	5.939	0.005	0	3.221	0.006	1	8.279	0.005	0	7.526	0.005	0	5.331	0.005	0	2.728	0.006	1	8.123	0.005	0	7.345	0.005	0	5	0.005	0	2.444	0.006	1	8.05	0.005	0	7.268	0.005	0	4.815	0.005	0	2.297	0.006	1	8.01	0.005	1	7.228	0.005	1	4.713	0.005	1	2.235	0.006	1	7.983	0.005	1	7.204	0.005	1	4.656	0.005	1	2.208	0.007	17	7.962	0.005	1	7.186	0.005	1	4.624	0.005	1	2.2	0.007	17	7.942	0.005	1	7.17	0.005	1	4.604	0.005	1	2.198	0.008	17	29.61	0.85	60	7.918	0.005	1	29.61	0.85	60	7.154	0.005	1	29.61	0.85	60	4.591	0.005	1	31.55	0.87	60	2.272	0.006	1
101	0.190251	72.401908	79.899167	-32.657778	-79.8992265	32.6577618	0.0513	0.05	-0.0092	9.786	0.023	47	12.51	9.118	0.02	54.5	3.529	5.667	0.014	78	3.947	3.108	0.019	58.2	0.693	0	5	1110	AAAA	9.798	0.006	0	9.13	0.006	0	5.698	0.006	0	3.096	0.007	1	10.51	0.006	0	9.926	0.006	0	7.139	0.006	0	4.167	0.007	0	10.059	0.006	0	9.449	0.006	0	6.523	0.006	0	3.672	0.007	1	9.847	0.005	0	9.24	0.006	0	6.176	0.006	0	3.385	0.007	1	9.73	0.005	0	9.138	0.006	0	5.974	0.006	0	3.238	0.007	1	9.659	0.005	0	9.08	0.006	0	5.857	0.006	0	3.177	0.008	1	9.612	0.005	0	9.042	0.006	0	5.789	0.006	0	3.152	0.009	1	9.579	0.005	1	9.018	0.006	1	5.75	0.006	1	3.143	0.01	1	9.556	0.006	1	9.001	0.006	1	5.726	0.006	1	3.14	0.011	1	24.05	0.78	-40	9.586	0.005	1	24.05	0.78	-40	9.024	0.006	1	24.05	0.78	-40	5.762	0.006	1	26.62	0.83	-40	3.316	0.007	1
102	0.557598	2.165693	153.332917	-35.982778	-153.3329239	35.982623	0.0538	0.0551	-0.0095	11.345	0.022	49.6	24.209999	10.769	0.02	53.9	5.999	6.608	0.016	68.2	2.507	3.805	0.021	50.6	0.8513	0	5	11	AAAA	11.23	0.006	0	10.692	0.007	0	6.631	0.006	0	3.794	0.008	1	12.004	0.007	0	11.529	0.007	0	8.056	0.007	0	4.861	0.008	0	11.491	0.006	0	11.011	0.007	0	7.456	0.006	0	4.37	0.008	1	11.23	0.006	0	10.764	0.007	0	7.12	0.006	0	4.08	0.008	1	11.073	0.006	0	10.628	0.007	0	6.923	0.006	0	3.928	0.009	1	10.963	0.006	0	10.54	0.007	0	6.805	0.006	0	3.86	0.01	1	10.878	0.006	0	10.474	0.007	0	6.735	0.007	0	3.826	0.011	1	10.809	0.006	0	10.422	0.007	0	6.692	0.007	0	3.809	0.013	1	10.751	0.006	1	10.378	0.008	1	6.663	0.007	0	3.8	0.015	1	23.95	0.46	-80	10.976	0.006	0	23.95	0.46	-80	10.565	0.007	0	23.95	0.46	-80	6.886	0.006	0	29.69	0.59	-80	4.093	0.008	1
