|    cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	ra|	dec|	sigra|	sigdec|	sigradec|	w1mpro|	w1sigmpro|	w1snr|	w1rchi2|	w2mpro|	w2sigmpro|	w2snr|	w2rchi2|	w3mpro|	w3sigmpro|	w3snr|	w3rchi2|	w4mpro|	w4sigmpro|	w4snr|	w4rchi2|	cc_flags|	ext_flg|	var_flg|	ph_qual|	w1mag|	w1sigm|	w1flg|	w2mag|	w2sigm|	w2flg|	w3mag|	w3sigm|	w3flg|	w4mag|	w4sigm|	w4flg|	w1mag_1|	w1sigm_1|	w1flg_1|	w2mag_1|	w2sigm_1|	w2flg_1|	w3mag_1|	w3sigm_1|	w3flg_1|	w4mag_1|	w4sigm_1|	w4flg_1|	w1mag_2|	w1sigm_2|	w1flg_2|	w2mag_2|	w2sigm_2|	w2flg_2|	w3mag_2|	w3sigm_2|	w3flg_2|	w4mag_2|	w4sigm_2|	w4flg_2|	w1mag_3|	w1sigm_3|	w1flg_3|	w2mag_3|	w2sigm_3|	w2flg_3|	w3mag_3|	w3sigm_3|	w3flg_3|	w4mag_3|	w4sigm_3|	w4flg_3|	w1mag_4|	w1sigm_4|	w1flg_4|	w2mag_4|	w2sigm_4|	w2flg_4|	w3mag_4|	w3sigm_4|	w3flg_4|	w4mag_4|	w4sigm_4|	w4flg_4|	w1mag_5|	w1sigm_5|	w1flg_5|	w2mag_5|	w2sigm_5|	w2flg_5|	w3mag_5|	w3sigm_5|	w3flg_5|	w4mag_5|	w4sigm_5|	w4flg_5|	w1mag_6|	w1sigm_6|	w1flg_6|	w2mag_6|	w2sigm_6|	w2flg_6|	w3mag_6|	w3sigm_6|	w3flg_6|	w4mag_6|	w4sigm_6|	w4flg_6|	w1mag_7|	w1sigm_7|	w1flg_7|	w2mag_7|	w2sigm_7|	w2flg_7|	w3mag_7|	w3sigm_7|	w3flg_7|	w4mag_7|	w4sigm_7|	w4flg_7|	w1mag_8|	w1sigm_8|	w1flg_8|	w2mag_8|	w2sigm_8|	w2flg_8|	w3mag_8|	w3sigm_8|	w3flg_8|	w4mag_8|	w4sigm_8|	w4flg_8|	w1rsemi|	w1ba|	w1pa|	w1gmag|	w1gerr|	w1gflg|	w2rsemi|	w2ba|	w2pa|	w2gmag|	w2gerr|	w2gflg|	w3rsemi|	w3ba|	w3pa|	w3gmag|	w3gerr|	w3gflg|	w4rsemi|	w4ba|	w4pa|	w4gmag|	w4gerr|	w4gflg|
11	1.072445	28.727933	16.915	-11.653333	-16.9151462	11.6530721	0.0605	0.0595	-0.0091	11.523	0.022	49.4	17.52	10.572	0.021	51.9	3.269	7.044	0.02	53.9	2.927	4.331	0.025	42.6	1.134	0	5	00n0	AAAA	11.453	0.006	0	10.562	0.009	0	7.129	0.01	0	4.316	0.016	1	12.183	0.007	0	11.355	0.01	0	8.582	0.012	0	5.387	0.017	0	11.714	0.006	0	10.881	0.009	0	7.954	0.01	0	4.892	0.016	1	11.501	0.006	0	10.682	0.01	0	7.599	0.009	0	4.603	0.017	1	11.394	0.006	0	10.594	0.01	0	7.39	0.01	0	4.451	0.019	1	11.338	0.006	0	10.552	0.012	0	7.27	0.01	0	4.382	0.023	1	11.306	0.006	0	10.531	0.013	0	7.205	0.011	0	4.347	0.027	1	11.287	0.006	1	10.521	0.014	1	7.169	0.012	0	4.33	0.032	1	11.274	0.007	1	10.515	0.016	1	7.146	0.013	1	4.324	0.038	1	15.48	0.49	30	11.511	0.006	0	15.48	0.49	30	10.722	0.009	0	15.48	0.49	30	7.671	0.01	0	23.65	0.7	30	4.715	0.017	1
12	0.525643	-133.742622	52.7175	5.640556	52.717394	5.6404546	0.0568	0.0537	-0.01	11.543	0.023	46.7	1.072	10.361	0.021	50.6	1.096	6.64	0.016	68.6	1.34	3.809	0.019	55.8	0.8416	0	0	110	AAAA	11.541	0.006	0	10.355	0.006	0	6.646	0.006	0	3.814	0.01	1	12.182	0.007	0	11.115	0.007	0	8.064	0.007	0	4.877	0.01	1	11.802	0.006	0	10.674	0.006	0	7.471	0.006	0	4.39	0.01	1	11.659	0.006	0	10.505	0.006	0	7.147	0.006	0	4.105	0.01	17	11.599	0.007	0	10.439	0.007	0	6.962	0.006	0	3.959	0.011	17	11.569	0.007	1	10.407	0.007	1	6.858	0.007	1	3.897	0.013	17	11.55	0.007	1	10.388	0.007	1	6.8	0.007	1	3.869	0.015	17	11.535	0.008	1	10.375	0.008	1	6.767	0.007	1	3.858	0.017	17	11.519	0.008	1	10.363	0.008	1	6.746	0.007	1	3.856	0.021	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
13	0.372527	-33.911513	53.602083	-15.227778	-53.6020235	15.2276919	0.0762	0.0604	-0.0371	11.412	0.026	42.3	2.286	10.724	0.024	46.1	1.128	7.18	0.019	58.5	1.455	4.764	0.04	27.2	0.9696	0	0	nnnn	AAAA	11.369	0.006	1	10.647	0.006	1	7.097	0.007	1	4.66	0.015	1	12.054	0.006	1	11.431	0.007	1	8.531	0.008	1	5.737	0.016	1	11.63	0.006	1	10.966	0.006	1	7.922	0.007	1	5.236	0.015	1	11.462	0.006	1	10.779	0.006	1	7.589	0.007	1	4.94	0.015	1	11.394	0.006	1	10.702	0.007	1	7.403	0.007	1	4.77	0.016	1	11.363	0.006	1	10.667	0.007	1	7.301	0.008	1	4.664	0.018	1	11.345	0.006	1	10.644	0.007	1	7.246	0.008	1	4.581	0.02	1	11.331	0.006	1	10.626	0.007	1	7.214	0.009	1	4.517	0.023	1	11.318	0.006	1	10.609	0.008	1	7.191	0.009	1	4.473	0.026	1	9.97	0.84	-75	11.559	0.006	1	9.97	0.84	-75	10.892	0.006	1	9.97	0.84	-75	7.799	0.007	1	15.25	0.93	-75	5.369	0.015	1
14	0.574937	-95.858096	57.599167	-50.31	-57.5989179	50.3100163	0.0602	0.0588	0.0055	12.36	0.023	47.5	10.9	12.119	0.021	52.5	3.163	8.431	0.017	65.6	2.517	5.912	0.029	37.4	1.175	hh00	5	110	AAAA	12.213	0.006	0	11.958	0.008	0	8.309	0.008	0	5.426	0.016	17	12.973	0.007	0	12.821	0.01	0	9.774	0.01	0	6.664	0.019	1	12.474	0.006	0	12.277	0.008	0	9.134	0.008	0	6.002	0.016	17	12.214	0.006	0	11.988	0.008	0	8.764	0.008	0	5.498	0.014	17	12.027	0.006	0	11.779	0.008	0	8.518	0.008	0	5.085	0.013	17	11.841	0.006	0	11.559	0.008	0	8.315	0.008	0	4.791	0.013	17	11.61	0.006	1	11.258	0.008	1	8.097	0.008	1	4.614	0.013	17	11.291	0.006	1	10.832	0.007	1	7.836	0.007	1	4.508	0.014	17	10.876	0.006	1	10.324	0.006	1	7.541	0.007	1	4.444	0.016	17	10.84	0.83	35	12.306	0.006	0	10.84	0.83	35	12.09	0.008	0	10.84	0.83	35	8.898	0.008	0	16.03	0.93	35	6.114	0.016	17
15	0.804333	-30.240255	58.427083	37.235278	58.426942	37.2354708	0.0618	0.0613	-0.0131	11.004	0.024	46	16.68	10.568	0.022	50.5	4.494	7.212	0.017	62.9	3.051	4.813	0.032	34.4	0.8882	0	5	2012	AAAA	11.004	0.006	0	10.578	0.008	0	7.196	0.013	0	4.795	0.022	1	11.742	0.007	0	11.394	0.009	0	8.638	0.017	0	5.861	0.023	1	11.265	0.006	0	10.897	0.008	0	8.021	0.013	0	5.371	0.022	1	11.049	0.006	0	10.674	0.008	0	7.679	0.013	0	5.091	0.023	1	10.937	0.007	0	10.565	0.008	0	7.483	0.013	0	4.943	0.026	1	10.87	0.007	1	10.502	0.009	1	7.371	0.014	0	4.872	0.031	1	10.827	0.007	1	10.463	0.01	1	7.307	0.016	1	4.834	0.037	1	10.8	0.007	1	10.437	0.011	1	7.272	0.017	1	4.822	0.044	1	10.781	0.008	1	10.419	0.012	1	7.253	0.019	1	4.822	0.053	1	12.84	0.76	75	11.037	0.006	0	12.84	0.76	75	10.669	0.008	0	12.84	0.76	75	7.671	0.013	0	17.8	0.88	75	5.363	0.022	1
16	0.64213	-115.317822	58.539583	2.825278	58.5394219	2.8252015	0.057	0.0542	0.0056	11.311	0.022	48.6	1.502	10.259	0.019	56.1	1.165	7.079	0.016	68.1	1.032	4.535	0.025	42.9	0.9635	0	0	0	AAAA	11.329	0.006	0	10.273	0.006	0	7.098	0.007	0	4.581	0.022	1	11.979	0.007	0	11.036	0.007	0	8.517	0.008	0	5.639	0.023	1	11.59	0.006	0	10.592	0.006	0	7.923	0.007	0	5.157	0.022	1	11.441	0.006	0	10.42	0.006	0	7.598	0.007	0	4.876	0.023	1	11.374	0.006	0	10.35	0.006	0	7.416	0.007	0	4.733	0.026	1	11.335	0.006	0	10.315	0.007	0	7.313	0.007	0	4.674	0.032	1	11.309	0.007	1	10.293	0.007	1	7.255	0.008	1	4.644	0.038	1	11.291	0.007	1	10.279	0.007	1	7.22	0.008	1	4.625	0.045	17	11.276	0.007	1	10.267	0.007	1	7.196	0.009	1	4.609	0.054	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
17	0.613618	-105.722754	65.92	4.133889	65.9198355	4.1338427	0.0541	0.0534	0.0035	10.908	0.022	48.3	2.501	9.665	0.019	57.4	1.355	6.577	0.016	67.7	1.195	3.976	0.022	49	0.6854	0	4	0	AAAA	10.9	0.006	0	9.656	0.006	0	6.607	0.007	0	3.95	0.012	1	11.559	0.006	0	10.422	0.006	0	8.026	0.007	0	5.015	0.012	1	11.161	0.006	0	9.975	0.006	0	7.432	0.007	0	4.526	0.012	1	11.003	0.006	1	9.801	0.006	1	7.107	0.006	0	4.243	0.012	1	10.926	0.006	1	9.727	0.006	1	6.923	0.007	1	4.1	0.014	1	10.879	0.006	1	9.689	0.006	1	6.82	0.007	1	4.041	0.016	1	10.842	0.006	1	9.664	0.006	1	6.763	0.007	1	4.011	0.019	1	10.812	0.006	1	9.645	0.006	1	6.732	0.007	1	3.997	0.022	1	10.789	0.007	1	9.631	0.006	1	6.715	0.008	1	3.99	0.026	1	13.27	0.79	50	10.977	0.006	1	13.27	0.79	50	9.779	0.006	1	13.27	0.79	50	7.055	0.006	1	18.07	0.89	50	4.495	0.012	1
18	0.344787	128.212856	71.0375	28.216944	71.0375854	28.2168852	0.0581	0.0564	-0.0125	9.894	0.022	48.4	25.76	9.426	0.02	54.7	12.15	6.453	0.015	72.2	5.504	4.396	0.026	42.1	1.306	0	5	1111	AAAA	9.881	0.006	0	9.42	0.006	0	6.481	0.008	0	4.345	0.016	1	10.663	0.006	0	10.269	0.006	0	7.951	0.009	0	5.438	0.017	1	10.142	0.006	0	9.739	0.006	0	7.306	0.008	0	4.921	0.016	1	9.865	0.006	0	9.472	0.006	0	6.931	0.008	0	4.626	0.016	1	9.693	0.006	0	9.32	0.006	0	6.704	0.008	0	4.474	0.018	1	9.572	0.006	0	9.216	0.006	0	6.564	0.008	0	4.406	0.021	1	9.478	0.006	1	9.136	0.006	1	6.476	0.008	1	4.37	0.025	1	9.399	0.006	1	9.069	0.006	1	6.417	0.009	1	4.348	0.03	1	9.325	0.006	1	9.007	0.006	1	6.377	0.009	1	4.332	0.035	1	35.7	0.64	55	9.261	0.006	1	35.7	0.64	55	8.953	0.006	1	35.7	0.64	55	6.336	0.01	1	38.04	0.69	55	4.428	0.02	1
19	0.663476	91.323115	75.5375	3.530556	75.5376846	3.5305513	0.0707	0.0688	-0.0038	11.477	0.024	45.7	11.73	11.095	0.021	51.7	2.817	8.599	0.024	44.9	1.083	6.208	0.054	19.9	1.108	0	5	11	AAAA	11.411	0.006	0	11.055	0.008	0	8.511	0.02	0	6.173	0.075	1	12.146	0.007	0	11.863	0.009	0	9.951	0.025	0	7.239	0.079	1	11.672	0.006	0	11.374	0.008	0	9.336	0.02	0	6.749	0.075	1	11.452	0.006	0	11.158	0.008	0	8.993	0.019	0	6.441	0.077	1	11.334	0.006	0	11.049	0.008	0	8.784	0.02	0	6.264	0.086	1	11.26	0.006	0	10.987	0.008	0	8.649	0.021	0	6.171	0.1	1	11.209	0.006	1	10.947	0.009	1	8.557	0.022	1	6.111	0.117	1	11.173	0.006	1	10.921	0.01	1	8.492	0.024	1	6.07	0.138	1	11.145	0.006	1	10.902	0.01	1	8.449	0.027	1	6.051	0.163	1	13.05	0.82	-55	11.411	0.006	0	13.05	0.82	-55	11.121	0.008	0	13.05	0.82	-55	8.925	0.019	0	17.57	0.9	-55	6.739	0.075	1
20	0.349555	108.749874	76.440417	-23.853889	-76.4405172	23.8539201	0.0559	0.055	-0.0125	11.653	0.024	45.8	2.967	10.354	0.02	53.1	0.9569	6.941	0.015	74.1	1.437	4.568	0.022	48.7	0.9278	0	0	0	AAAA	11.649	0.006	0	10.351	0.006	0	6.961	0.006	0	4.574	0.013	1	12.32	0.006	0	11.12	0.007	0	8.38	0.007	0	5.634	0.013	1	11.91	0.006	0	10.67	0.006	0	7.786	0.006	0	5.15	0.013	1	11.742	0.006	0	10.493	0.006	0	7.461	0.006	0	4.866	0.013	1	11.66	0.006	0	10.419	0.006	0	7.277	0.006	0	4.722	0.015	1	11.613	0.006	1	10.382	0.007	1	7.175	0.006	1	4.662	0.017	1	11.581	0.007	1	10.36	0.007	1	7.118	0.006	1	4.637	0.021	1	11.555	0.007	1	10.345	0.007	1	7.085	0.007	1	4.632	0.025	1	11.532	0.007	1	10.332	0.008	1	7.064	0.007	1	4.63	0.03	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
