Name	W1	W1_err	W2	W2_err	W3	W3_err	W4	W4_err	Point/Extended
2MASXJ14530794+2554327	0.006097008	0.000123542	0.006510286	0.000119924	0.009279037	0.000170926	0.011333449	0.000678502	Point
2MASXJ15064412+0351444	0.010183962	5.63E-05	0.00617732	3.98E-05	0.004300341	0.000110901	0.008969373	0.000710454	Extended
2MASXJ15115979-2119015	0.038398723	0.000212199	0.047774932	0.000264014	0.096272647	0.000532022	0.269377983	0.00198485	Extended
2MASXJ15462424+6929102	0.006052249	3.34E-05	0.003869012	2.49E-05	0.007077875	5.87E-05	0.0372874	0.000515144	Extended
2MASXJ16481523-3035037	0.013363394	0.000147698	0.014256078	9.19E-05	0.015977282	0.000220734	0.020265723	0.001306579	Extended
2MASXJ17232511+3630257	0.006685237	3.69E-05	0.004115287	3.79E-05	0.012459566	0.000114757	0.040064719	0.000922524	Extended
2MASXJ18570768-7828212	0.027945815	0.000154434	0.034166467	0.000188811	0.054689369	0.000302225	0.121105006	0.001003876	Extended
2MASXJ19373299-0613046	0.079417604	0.000438878	0.08725696	0.0004822	0.328021955	0.001510597	0.701394081	0.003876047	Extended
2MASXJ19380437-5109497	0.01056615	5.84E-05	0.010616957	5.87E-05	0.015427761	0.000113676	0.031765968	0.001228817	Extended
2MASXJ20005575-1810274	0.054189704	0.000299463	0.085427968	0.00039341	0.170099451	0.000940004	0.347026066	0.001917737	Extended
2MASXJ20101740+4800214	0.008209501	6.81E-05	0.005696395	5.25E-05	0.012220892	0.000157582	0.026987465	0.000944542	Extended
2MASXJ20183871+4041003	0.033691223	0.001892877	0.045081678	0.000290652	0.171357419	0.004419128	0.087975572	0.071953304	Extended
2MASXJ21090996-0940147	0.068346579	0.000377697	0.067546069	0.000373273	0.110943768	0.000613098	0.193892985	0.00178582	Extended
2MASXJ21355399+4728217	0.017927378	0.000148606	0.022428492	0.000123944	0.049511138	0.000273609	0.145332283	0.00133856	Extended
2MASXJ23272195+1524375	0.013107407	7.24E-05	0.01185769	7.64E-05	0.01953003	0.00016189	0.043128276	0.000993065	Extended
2MFGC02280	0.02225957	0.000123011	0.016292963	0.000105045	0.050992102	0.000422689	0.103077078	0.0022785	Extended
3C111.0	0.029316814	0.000162011	0.036475401	0.000201571	0.041792939	0.00042342	0.078770227	0.001596101	Extended
3C120	0.058602586	0.000269875	0.080389639	0.00044425	0.173741238	0.00096013	0.404354329	0.002606969	Extended
4U1344-60	0.064197302	0.001359942	0.096294188	0.001685114	0.26687194	0.003195376	0.684166959	0.010082257	Point
6dFJ0626586-370559	0.006803255	0.000144119	0.008661639	0.000167531	0.035473408	0.000522755	0.074261223	0.001915119	Point
6dFJ2132022-334254	0.007377628	4.08E-05	0.009094945	6.70E-05	0.026007758	0.000167678	0.065157153	0.000900179	Extended
Ark120	0.108322027	0.000498841	0.132800612	0.000611569	0.177134401	0.000978881	0.223440604	0.001440575	Extended
ARK241	0.01588974	8.78E-05	0.016474039	9.10E-05	0.029261926	0.00021561	0.050811509	0.001029581	Extended
ARK347	0.023116218	0.000127745	0.023528816	0.000130025	0.061024315	0.000337233	0.138153565	0.00152693	Extended
ARP102B	0.01478825	8.17E-05	0.013365958	7.39E-05	0.024428844	0.000157499	0.048479943	0.000759079	Extended
ARP151	0.012471445	6.89E-05	0.013316806	7.36E-05	0.016184635	0.000119253	0.034447848	0.000824919	Extended
AXJ1737.4-2907	0.057321399	0.002270183	0.067483885	0.001429564	0.123339707	0.001476801	0.345749927	0.005732054	Point
CenA	7.256325875	0.046783262	4.812825072	0.03102943	17.43825052	0.305163223	23.311064	0.407935384	Extended
CGCG102-048	0.009663107	5.34E-05	0.006092564	3.93E-05	0.007473136	0.000123894	0.015832959	0.001370773	Extended
CGCG122-055	0.011943092	6.60E-05	0.012823308	7.09E-05	0.046806149	0.00025866	0.15246217	0.001263806	Extended
CGCG229-015	0.008683939	4.80E-05	0.008309982	5.36E-05	0.017697133	0.000130397	0.046085266	0.00076403	Extended
CGCG300-062	0.005364346	2.96E-05	0.005166543	2.86E-05	0.01060481	6.84E-05	0.023139933	0.000383628	Extended
CGCG312-012	0.013083284	7.23E-05	0.009745409	6.28E-05	0.009001252	0.000107776	0.012763274	0.000975699	Extended
CGCG319-007	0.014279624	7.89E-05	0.015431213	8.53E-05	0.038080524	0.000210441	0.082558558	0.000760392	Extended
CGCG341-006	0.007934449	4.38E-05	0.00866962	4.79E-05	0.030109456	0.000166391	0.121664002	0.000784397	Extended
CGCG367-009	0.010034986	5.55E-05	0.007523156	4.16E-05	0.014842358	0.000109363	0.035971794	0.000629494	Extended
CGCG420-015	0.044700953	0.000247027	0.074062791	0.000409286	0.194940876	0.001077283	0.402496489	0.002594991	Extended
CGCG468-002NED01	0.031850538	0.000176013	0.026989826	0.000149151	0.08277571	0.000609914	0.325658259	0.002399539	Extended
CGCG493-002	0.024227956	0.000133889	0.027039588	0.000149426	0.071170974	0.000393305	0.167017545	0.001230631	Extended
CGCG535-012	0.017183704	9.50E-05	0.018552399	0.000102524	0.026859809	0.000173172	0.054295282	0.00090014	Extended
ESO005-G004	0.211405742	0.000973559	0.135893936	0.000750978	0.487419514	0.00269358	0.842484844	0.006207658	Extended
ESO025-G002	0.023244316	0.000128453	0.015995583	0.000103127	0.046591094	0.000343296	0.077689459	0.001216429	Extended
ESO031-G008	0.011811819	6.53E-05	0.011261599	6.22E-05	0.015685664	0.000101129	0.025725398	0.000450185	Extended
ESO033-G002	0.050433229	0.000232254	0.059319854	0.000327814	0.165768845	0.000916072	0.337257873	0.001863756	Extended
ESO103-035	0.045364568	0.000250694	0.093756217	0.000431763	0.443713776	0.002043377	1.670175454	0.009229731	Extended
ESO121-IG028	0.018126618	0.000100171	0.012011578	6.64E-05	0.014598321	0.00012101	0.030141308	0.000666268	Extended
ESO137-34	0.480747216	0.003099492	0.307609736	0.001699914	0.263938602	0.003646447	0.519950616	0.011972305	Extended
ESO139-G012	0.055248028	0.000356197	0.044545114	0.000246165	0.106145824	0.000586584	0.15601347	0.002155406	Extended
ESO141-G055	0.075703643	0.000348628	0.091369254	0.000420771	0.127968451	0.00070718	0.203405221	0.001686088	Extended
ESO157-G023	0.022465536	0.000455214	0.024865665	0.000458042	0.040579147	0.000523247	0.072905803	0.001544421	Point
ESO195-IG021NED03	0.008764291	4.84E-05	0.008709637	5.62E-05	0.018176192	0.000133927	0.048883478	0.001170607	Extended
ESO197-G027	0.011833597	6.54E-05	0.010924462	6.04E-05	0.035702852	0.000197301	0.096108566	0.00123927	Extended
ESO198-024	0.015860496	8.76E-05	0.017250436	9.53E-05	0.02185259	0.000140889	0.035380348	0.00065173	Extended
ESO209-G012	0.04856426	0.000268376	0.059483988	0.000328721	0.133383747	0.000737106	0.324460697	0.002091875	Extended
ESO244-IG030	0.015963083	8.82E-05	0.013765756	7.61E-05	0.046591094	0.000257472	0.113962534	0.00125956	Extended
ESO263-G013	0.021024069	0.000116183	0.022387215	0.000123716	0.055246264	0.000356186	0.124842396	0.001494793	Extended
ESO297-018	0.035934928	0.000198584	0.028760741	0.000158938	0.073367363	0.000405443	0.118785135	0.002406913	Extended
ESO323-077	0.210628327	0.000969979	0.236374203	0.001088543	0.461639447	0.002125928	1.031720588	0.005701499	Extended
ESO362-18	0.045322805	0.000208719	0.042227958	0.00023336	0.157001179	0.000867621	0.394422877	0.002542938	Extended
ESO374-G044	0.01259844	6.96E-05	0.010214099	6.59E-05	0.055757451	0.000308127	0.192824448	0.001420783	Extended
ESO383-18	0.040023658	0.000184316	0.072044375	0.000331777	0.164551904	0.00075779	0.330797407	0.001828054	Extended
ESO399-20	0.03922083	0.000216742	0.040775573	0.000225334	0.067905181	0.000375258	0.108034408	0.001293544	Extended
ESO417-G006	0.023158839	0.00012798	0.014832012	8.20E-05	0.016036253	0.000147699	0.042732873	0.000826527	Extended
ESO426-G002	0.03135572	0.000173278	0.027164398	0.000150116	0.070259153	0.000452978	0.185166363	0.001705445	Extended
ESO439-G009	0.030557427	0.000168867	0.020100186	0.000129591	0.083618604	0.000616125	0.219766806	0.002024127	Extended
ESO464-G016	0.008239802	4.55E-05	0.006338698	4.67E-05	0.014584882	0.000174631	0.04183715	0.001194537	Extended
ESO479-G031	0.01496638	8.27E-05	0.00950605	5.25E-05	0.00878826	0.000105226	0.016457433	0.000727577	Extended
ESO490-IG026	0.049194526	0.000271859	0.049796644	0.000275186	0.137373484	0.000759154	0.442957538	0.002855853	Extended
ESO499-G041	0.027059314	0.000149535	0.024456825	0.000135153	0.053101026	0.000342355	0.099807252	0.001378888	Extended
ESO506-G027	0.040171383	0.000221995	0.049068194	0.000271161	0.121647423	0.000672249	0.231186301	0.001703444	Extended
ESO509-G038	0.016229935	8.97E-05	0.013037673	7.20E-05	0.032441648	0.000179279	0.090607072	0.001084879	Extended
ESO509-IG066NED01	0.015977793	8.83E-05	0.01524755	8.43E-05	0.071499485	0.000395121	0.238101481	0.001973696	Extended
ESO511-G030	0.041563947	0.000229691	0.035318323	0.000195176	0.075561907	0.000556761	0.1019441	0.001502304	Extended
ESO533-G050	0.022424191	0.000123921	0.013626994	8.79E-05	0.015992005	0.000279854	0.022634041	0.00139673	Extended
ESO548-G081	0.632581925	0.002913147	0.637382414	0.002935254	0.239167912	0.001321691	0.217151132	0.004200075	Extended
ESO549-G049	0.03808174	0.000210447	0.034705642	0.00019179	0.117680068	0.000650324	0.238540484	0.001757631	Extended
ESO553-G022	0.010450012	5.77E-05	0.008061207	5.94E-05	0.012243425	0.000169149	0.018279407	0.000824962	Extended
ESO553-G043	0.012357106	6.83E-05	0.011344884	7.31E-05	0.025793063	0.000166294	0.078480561	0.001156532	Extended
ESO565-G019	0.05160797	0.000237663	0.031974229	0.000176696	0.093132854	0.000514671	0.271120338	0.001747977	Extended
ESO578-G009	0.011800945	6.52E-05	0.010924462	6.04E-05	0.024609507	0.000226662	0.058500839	0.001347032	Extended
Fairall1146	0.042649778	0.000235691	0.05597577	0.000309334	0.160954422	0.000889467	0.373561488	0.002064377	Extended
Fairall272	0.017976982	9.93E-05	0.023507155	0.000129905	0.042687715	0.000275218	0.067415863	0.001117661	Extended
Fairall49	0.123457301	0.000568542	0.170294286	0.000784234	0.371452181	0.001710601	0.767647954	0.004242179	Extended
Fairall51	0.117035275	0.000538967	0.136646992	0.000629283	0.285695179	0.00157881	0.721708959	0.003988311	Extended
Fairall9	0.073572714	0.000338815	0.106169575	0.000488929	0.21652244	0.000997123	0.34226469	0.001891425	Extended
HB890241+622	0.096187088	0.002037606	0.152475504	0.002668267	0.365344785	0.00471093	0.715092292	0.011196614	Point
IC0486	0.029533627	0.000163209	0.028131966	0.000155463	0.071302197	0.000459702	0.176020032	0.001783325	Extended
IC1657	0.054741511	0.000302513	0.033790925	0.000186736	0.106832382	0.000590378	0.218354475	0.002011119	Extended
IC1816	0.035572696	0.000196582	0.027214482	0.000150393	0.117788506	0.000650923	0.337257873	0.002174382	Extended
IC2461	0.037767373	0.00020871	0.026375462	0.000145756	0.066543082	0.000429019	0.116081256	0.002031381	Extended
IC2637	0.025114051	0.000138785	0.018914727	0.000104527	0.093735244	0.000518	0.133894302	0.001356533	Extended
IC2921	0.014319135	7.91E-05	0.015417007	8.52E-05	0.022589307	0.000145639	0.052283192	0.00115571	Extended
IC4329A	0.240722552	0.001108568	0.376357068	0.001733188	0.870768906	0.004010039	1.969527716	0.010884012	Extended
IC4518A	0.030670212	0.000649711	0.052771578	0.001069297	0.239608882	0.003089631	0.962857676	0.01507602	Point
IC4709	0.026419025	0.000145997	0.026424092	0.000146025	0.070323894	0.000388624	0.189479442	0.001919687	Extended
