5.5	929.104	927.979
6	1055.294	1054.079   
8	1550.834	1548.652	
10	1967.249	1963.835
12	2281.524	2276.619
14	2498.221	2491.570
16	2645.738	2637.013
18	2740.754	2729.709
20	2803.621	2790.002
22	2847.564	2831.095
24	2880.703	2861.075
26	2907.230	2884.199
28	2929.856	2903.176
30	2950.154	2919.494
32	2968.145	2933.253
34	2984.159	2944.787
36	2998.442	2954.311
38	3011.373	2962.183
40	3022.870	2968.346
42	3033.202	2973.130
44	3042.674	2976.754
46	3051.549	2979.461
48	3059.893	2981.402
50	3068.058	2982.893
125	3256.762	2724.419
