Name	W1	W1_err	W1_extended?	W2	W2_err	W2_extended?	W3	W3_err	W3_extended?	W4	W4_err	W4_extended?
2MASXJ12313717-4758019	0.021611668	0.001087163	TRUE	0.022852798	0.001149598	TRUE	0.090255023	0.013588183	FALSE	0.233360807	0.035414138	FALSE
2MASXJ12335145-2103448	0.008720328	0.000473535	FALSE	0.011041344	0.000591934	FALSE	0.042735891	0.006437516	FALSE	0.117829395	0.01791875	FALSE
2MASXJ12475784-5829599	0.008628715	0.00046856	FALSE	0.007010863	0.000375857	FALSE	0.011075145	0.001675026	FALSE	0.024898515	0.003885537	FALSE
2MASXJ13411287-1438407	0.024667937	0.001240907	TRUE	0.0328263	0.001738938	FALSE	0.089370207	0.013462271	FALSE	0.17316242	0.026278611	FALSE
2MASXJ13512953-1813468	0.018127843	0.000984386	FALSE	0.018904775	0.00100146	FALSE	0.023417979	0.003544602	FALSE	0.031403166	0.004955973	FALSE
2MASXJ14080674-3023537	0.008498315	0.000461479	FALSE	0.012263712	0.000657466	FALSE	0.032448361	0.004890687	FALSE	0.061837745	0.009459765	FALSE
2MASXJ14530794+2554327	0.00595314	0.000321171	FALSE	0.006382216	0.000342155	FALSE	0.009348661	0.001415036	FALSE	0.010788807	0.001772752	FALSE
2MASXJ15064412+0351444	0.020950064	0.001130251	FALSE	0.011449405	0.000610085	FALSE	0.003063847	0.000478332	FALSE	0.006859871	0.001365187	FALSE
2MASXJ15115979-2119015	0.04105186	0.002244235	FALSE	0.052944632	0.002838396	FALSE	0.139056971	0.020946831	FALSE	0.402581345	0.061432599	FALSE
2MASXJ15462424+6929102	0.006663967	0.00035952	FALSE	0.004564802	0.000244722	FALSE	0.012462144	0.001884798	FALSE	0.053908053	0.008246703	FALSE
2MASXJ16481523-3035037	0.014168792	0.000774584	FALSE	0.015004514	0.000804402	FALSE	0.026037109	0.00394104	FALSE	0.037329627	0.005977761	FALSE
2MASXJ18570768-7828212	0.029986987	0.001617791	FALSE	0.037898493	0.002019432	FALSE	0.080388285	0.01210928	FALSE	0.170786543	0.025892664	FALSE
2MASXJ19373299-0613046	0.075978075	0.003822036	TRUE	0.083279743	0.004189343	TRUE	0.339681098	0.051167823	FALSE	0.841061818	0.127066401	FALSE
2MASXJ19380437-5109497	0.010738233	0.000623249	FALSE	0.011392576	0.000645812	FALSE	0.021281036	0.003245862	FALSE	0.044427681	0.007178625	FALSE
2MASXJ20005575-1810274	0.059776824	0.003246026	FALSE	0.097324445	0.005185961	FALSE	0.266681423	0.040194797	FALSE	0.529241201	0.079956994	FALSE
2MASXJ20101740+4800214	0.007793505	0.000394994	TRUE	0.005299342	0.000271363	TRUE	0.015804937	0.0024031	FALSE	0.037260926	0.00576609	FALSE
2MASXJ20183871+4041003	0.04193077	0.002113896	TRUE	0.036933625	0.001925218	TRUE	0.106070048	0.016030031	TRUE	0.156334074	0.024576775	FALSE
2MASXJ21090996-0940147	0.064111042	0.003225072	TRUE	0.062664552	0.003152307	TRUE	0.134645785	0.020282352	FALSE	0.257545311	0.039009394	FALSE
2MASXJ21355399+4728217	0.019558378	0.001062067	FALSE	0.025178041	0.00133378	FALSE	0.079945268	0.012042546	FALSE	0.187091323	0.028364605	FALSE
2MASXJ23272195+1524375	0.012839048	0.000645861	TRUE	0.012343034	0.000661718	FALSE	0.027039133	0.004080567	FALSE	0.064752069	0.00997429	FALSE
2MFGC02280	0.02102269	0.001057535	TRUE	0.015450387	0.000778915	TRUE	0.061076112	0.009205523	FALSE	0.117713946	0.017984785	FALSE
3C111.0	0.033988566	0.001845661	FALSE	0.043273491	0.00231992	FALSE	0.069181944	0.010427251	FALSE	0.124868716	0.019077918	FALSE
3C120	0.059776824	0.003246026	FALSE	0.084454333	0.004500173	FALSE	0.224694666	0.033828502	FALSE	0.53957727	0.081654461	FALSE
4U1344-60	0.063464789	0.003423912	FALSE	0.094584928	0.005010536	FALSE	0.257746492	0.03880456	FALSE	0.629294081	0.094865965	FALSE
6dFJ0626586-370559	0.007286733	0.000395687	FALSE	0.008876095	0.000472965	FALSE	0.033635103	0.005069555	FALSE	0.064692457	0.01002721	FALSE
6dFJ2132022-334254	0.007875684	0.000424891	FALSE	0.01000321	0.000529909	FALSE	0.039144557	0.005899952	FALSE	0.111590678	0.017049249	FALSE
Ark120	0.109479508	0.005945002	FALSE	0.13760111	0.007289272	FALSE	0.220593527	0.033211062	FALSE	0.310494311	0.047029375	FALSE
ARK241	0.015550088	0.000782239	TRUE	0.017069545	0.000909556	FALSE	0.038476252	0.005802795	FALSE	0.075102371	0.011659894	FALSE
ARK347	0.020784177	0.001045537	TRUE	0.021908969	0.001167426	FALSE	0.078413848	0.011811861	FALSE	0.189344915	0.028653648	FALSE
ARP102B	0.013833524	0.000695888	TRUE	0.012388592	0.000623201	TRUE	0.0307888	0.004646442	FALSE	0.071458459	0.010878954	FALSE
ARP151	0.014714071	0.00079901	FALSE	0.017069545	0.000915109	FALSE	0.029538794	0.004454893	FALSE	0.049848678	0.007667401	FALSE
AXJ1737.4-2907	0.055479538	0.003169369	FALSE	0.062953798	0.003441577	FALSE	0.121784709	0.018355653	FALSE	0.320076395	0.048395945	FALSE
CenA	2.431902302	0.166836969	FALSE	2.148678826	0.134631464	FALSE	2.833670886	0.426202901	FALSE	5.950773738	0.897078027	FALSE
CGCG102-048	0.00916951	0.000461267	TRUE	0.005756672	0.000290217	TRUE	0.00864469	0.001311892	FALSE	0.018766075	0.00299857	FALSE
CGCG122-055	0.012620841	0.000680892	FALSE	0.014459037	0.000770454	FALSE	0.066293566	0.009991909	FALSE	0.217184045	0.032959201	FALSE
CGCG229-015	0.007273322	0.000365881	TRUE	0.007631711	0.000406658	FALSE	0.02525764	0.003811716	FALSE	0.072119656	0.011032663	FALSE
CGCG300-062	0.005381865	0.000270732	TRUE	0.005913191	0.000315086	FALSE	0.014900223	0.002248643	FALSE	0.034646044	0.005336813	FALSE
CGCG312-012	0.012460806	0.000626834	TRUE	0.009921367	0.000531891	FALSE	0.012010177	0.001819403	FALSE	0.022375535	0.003590999	FALSE
CGCG319-007	0.013897377	0.0006991	TRUE	0.016301289	0.000868619	FALSE	0.051002653	0.007687229	FALSE	0.1187008	0.018013678	FALSE
CGCG341-006	0.00942515	0.000511808	FALSE	0.011018929	0.000587147	FALSE	0.055856199	0.008418766	FALSE	0.188811272	0.028625363	FALSE
CGCG367-009	0.010217222	0.000551217	FALSE	0.008398891	0.000447537	FALSE	0.022079679	0.003329947	FALSE	0.05072869	0.007770463	FALSE
CGCG420-015	0.042749677	0.002146531	TRUE	0.077521459	0.004155976	FALSE	0.247738078	0.037297762	FALSE	0.519103129	0.078425349	FALSE
CGCG468-002NED01	0.030292341	0.00152384	TRUE	0.025669768	0.001291304	TRUE	0.09384103	0.014135733	FALSE	0.302589356	0.04587507	FALSE
CGCG493-002	0.02412864	0.001310243	FALSE	0.02866962	0.001527669	FALSE	0.096559001	0.014545154	FALSE	0.221031233	0.033543039	FALSE
CGCG535-012	0.01825294	0.000984742	FALSE	0.020503214	0.001086136	FALSE	0.040737349	0.006140021	FALSE	0.081293093	0.01240506	FALSE
