cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1snr	w1rchi2	w2mpro	w2sigmpro	w2snr	w2rchi2	w3mpro	w3sigmpro	w3snr	w3rchi2	w4mpro	w4sigmpro	w4snr	w4rchi2	ext_flg	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
17	0.663476	91.32324	75.5375	3.530556	J050209.04+033149.9	75.5376846	3.5305513	11.477	0.024	45.7	11.73	11.095	0.021	51.7	2.817	8.599	0.024	44.9	1.083	6.208	0.054	19.9	1.108	5	13.05	0.82	-55	11.411	0.006	0	13.05	0.82	-55	11.121	0.008	0	13.05	0.82	-55	8.925	0.019	0	17.57	0.9	-55	6.739	0.075	1
18	0.349544	108.749832	76.440417	-23.853889	J050545.72-235114.1	76.4405172	-23.8539201	11.653	0.024	45.8	2.967	10.354	0.02	53.1	0.9569	6.941	0.015	74.1	1.437	4.568	0.022	48.7	0.9278	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
19	0.841969	48.778747	89.508333	-38.334722	J055802.05-382004.4	89.5085576	-38.3345681	8.641	0.023	47.9	1.095	7.45	0.02	54.9	0.9933	4.819	0.014	78.3	1.319	2.906	0.018	60.6	0.8288	4	11.94	0.67	-45	8.835	0.005	0	11.94	0.67	-45	7.674	0.005	0	11.94	0.67	-45	5.487	0.005	0	17.46	0.83	-45	3.543	0.006	0
20	0.358387	162.917437	100.325	32.825556	J064118.00+324931.6	100.3250348	32.8254604	11.618	0.023	47.3	0.8463	10.519	0.021	52.5	0.9972	7.34	0.016	68.5	1.059	4.934	0.031	34.7	1.031	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
21	0.659862	-96.937741	104.05	-49.330556	J065611.93-491950.0	104.0497208	-49.3305777	11.307	0.022	48.8	13.39	10.102	0.019	56.7	2.722	6.344	0.015	72.5	1.72	3.684	0.02	54.6	0.9079	5	16.13	0.52	-80	11.268	0.006	0	16.13	0.52	-80	10.224	0.006	0	16.13	0.52	-80	6.858	0.006	0	22.29	0.7	-80	4.148	0.008	1
22	0.791366	-79.327657	111.61	-35.906111	J072626.33-355421.8	111.6097333	-35.9060704	9.917	0.023	47.6	17.51	8.851	0.021	52.9	3.695	5.268	0.016	68.7	2.109	2.6	0.015	72.5	0.5813	5	27.62	0.78	-5	9.557	0.006	1	27.62	0.78	-5	8.736	0.006	1	27.62	0.78	-5	5.379	0.006	1	30.11	0.82	-5	2.758	0.008	1
23	0.729234	-54.510438	119.972917	23.39	J075953.45+232324.4	119.972737	23.3901176	9.766	0.022	48.3	14.78	8.965	0.019	55.9	4.663	6.012	0.014	77.2	12.43	4.047	0.023	47.9	1.5	5	21.45	0.59	10	9.662	0.006	0	21.45	0.59	10	8.957	0.006	0	21.45	0.59	10	6.242	0.006	0	25.54	0.69	10	4.331	0.011	1
24	0.43774	-33.392127	120.864167	8.697778	J080327.38+084152.3	120.864099	8.6978793	11.561	0.024	46	5.038	10.989	0.02	53.3	1.441	8.679	0.026	42.3	0.9482	6.347	0.056	19.3	1.068	1	10.19	0.93	45	11.701	0.006	0	10.19	0.93	45	11.177	0.008	0	10.19	0.93	45	9.289	0.024	0	15.06	0.98	45	6.995	0.074	1
25	0.191273	68.688486	135.655417	-48.226111	J090237.31-481333.9	135.655491	-48.2260918	11.325	0.023	48	4.487	10.286	0.02	53	1.355	7.559	0.02	54	1.05	5.439	0.044	24.6	0.9167	5	12.8	0.69	30	10.968	0.014	1	12.8	0.69	30	10.22	0.011	1	12.8	0.69	30	8.015	0.061	1	18.72	0.86	30	6.102	0.322	1
26	0.545294	119.91028	136.15375	55.600833	J090436.95+553602.7	136.1539824	55.6007578	11.947	0.022	48.7	1.811	11.306	0.021	51.2	0.9901	8.521	0.021	52.2	0.957	5.787	0.039	27.9	0.9163	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
