cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1snr	w1rchi2	w2mpro	w2sigmpro	w2snr	w2rchi2	w3mpro	w3sigmpro	w3snr	w3rchi2	w4mpro	w4sigmpro	w4snr	w4rchi2	ext_flg	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
60	0.158167	144.521538	79.0475	-0.149722	J051611.40-000859.1	79.0475255	-0.149758	8.59	0.023	47.5	1.357	7.727	0.019	57.9	1.325	5.363	0.014	79.8	1.246	3.481	0.021	52.6	0.8563	4	16.72	0.85	5	8.64	0.005	0	16.72	0.85	5	7.78	0.005	0	16.72	0.85	5	5.631	0.006	0	19.94	0.9	5	3.933	0.007	1
61	0.908875	69.820995	155.4175	-3.453889	J102140.25-032713.6	155.4177374	-3.4538018	10.738	0.022	49.5	5.299	10.023	0.019	56.9	1.52	7.269	0.017	63.3	0.9763	5.033	0.033	32.9	1.039	5	14.77	0.95	85	10.724	0.006	0	14.77	0.95	85	10.046	0.006	0	14.77	0.95	85	7.586	0.008	0	17.86	0.96	85	5.541	0.022	1
62	0.823281	-22.164457	181.12375	20.316111	J120429.67+201858.7	181.123658	20.3163229	10.394	0.023	48.2	10.05	9.653	0.02	55.3	2.917	6.491	0.015	74.6	1.743	4.018	0.02	54.6	0.8005	5	18.22	0.65	-75	10.317	0.006	0	18.22	0.65	-75	9.659	0.006	0	18.22	0.65	-75	6.788	0.006	0	22.05	0.75	-75	4.455	0.012	1
63	0.422317	9.142464	259.810417	48.980278	J171914.50+485849.4	259.8104451	48.9803936	10.92	0.023	48	11.21	10.297	0.02	53.9	2.487	7.51	0.016	69.1	1.098	5.082	0.024	45.2	1.11	5	15.09	0.95	85	10.802	0.006	0	15.09	0.95	85	10.273	0.006	0	15.09	0.95	85	7.782	0.007	0	18.24	0.96	85	5.592	0.017	1
64	0.447679	-53.252675	171.400833	54.3825	J112536.15+542257.2	171.4006622	54.3825744	10.808	0.022	48.6	1.743	10.032	0.021	52.7	1.274	7.554	0.016	69.5	1.358	5.476	0.03	36.1	0.9305	4	11.43	0.68	-20	10.987	0.006	0	11.43	0.68	-20	10.277	0.006	0	11.43	0.68	-20	8.229	0.008	0	18.82	0.88	-20	5.963	0.026	1
65	0.980349	3.291481	264.368333	-29.134167	J173728.40-290802.0	264.3683512	-29.1338948	9.331	0.043	25.4	3.481	8.515	0.023	48	4.057	6.024	0.013	84.9	2.27	3.459	0.018	60.9	1.096	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
66	0.442421	43.685788	201.365	-43.019167	J132527.62-430108.6	201.3651161	-43.0190778	5.715	0.034	32.3	32.75	5.194	0.023	46.3	27.66	2.633	0.013	84.8	17.110001	0.277	0.016	68.4           1	7.09	5	180	0.96	47	4.075	0.007	17	180	0.96	47	3.882	0.007	17	180	0.96	47	0.648	0.019	17	180	0.96	47	-1.113	0.019	17
67	0.336881	-80.322908	206.065417	19.566667	J134415.67+193400.0	206.0653188	19.5666824	11.44	0.024	45.9	19.07	11.302	0.021	52.3	5.799	8.927	0.023	46.7	1.105	6.571	0.052	20.7	0.9422	5	20.4	0.47	30	11.264	0.006	1	20.4	0.47	30	11.126	0.007	1	20.4	0.47	30	9.068	0.018	1	26.99	0.63	30	6.807	0.094	1
68	0.148795	-35.329857	145.52	23.685278	J094204.79+234107.1	145.5199739	23.6853115	10.998	0.022	49.2	7.945	10.217	0.019	56.2	2.17	6.611	0.016	66.9	1.118	3.869	0.022	49.4	0.8978	5	14.9	0.65	-70	11.034	0.006	0	14.9	0.65	-70	10.318	0.006	0	14.9	0.65	-70	7.076	0.006	0	20.11	0.78	-70	4.348	0.009	1
69	0.493648	105.398097	286.357917	42.461111	J190525.94+422739.8	286.3580959	42.4610747	11.385	0.023	47.4	7.653	10.716	0.02	53.2	2.044	7.729	0.016	66.2	1.086	5.082	0.026	41.1	0.959	5	14	0.72	45	11.38	0.006	1	14	0.72	45	10.789	0.007	1	14	0.72	45	8.132	0.008	1	18.21	0.83	45	5.647	0.018	1
70	0.198285	34.245981	265.8225	62.839167	J174317.41+625021.1	265.8225679	62.8392122	11.939	0.022	48.7	11.49	11.226	0.02	54.4	2.408	8.277	0.016	69.5	1.929	5.861	0.024	45.3	1.066	5	11.85	0.83	-85	11.903	0.006	0	11.85	0.83	-85	11.305	0.006	0	11.85	0.83	-85	8.688	0.007	0	17.32	0.91	-85	6.395	0.018	17
71	0.29376	-164.599477	142.407917	62.544167	J092937.88+623238.7	142.4078697	62.544088	10.959	0.022	48.7	13.51	10.577	0.021	52.1	3.101	8.563	0.02	53.3	1.308	6.342	0.048	22.8	1.038	5	12.56	0.97	45	10.935	0.006	0	12.56	0.97	45	10.616	0.007	0	12.56	0.97	45	8.866	0.013	0	16.15	0.99	45	7.041	0.083	1
72	0.411179	-164.991003	229.890417	65.599722	J151933.68+653558.6	229.8903451	65.5996119	10.895	0.022	49.3	14.4	10.066	0.02	54.9	3.784	6.953	0.015	70.3	2.703	4.525	0.019	56.1	0.8976	5	16.06	0.71	35	10.84	0.006	0	16.06	0.71	35	10.117	0.006	0	16.06	0.71	35	7.3	0.006	0	19.91	0.81	35	5.014	0.01	1
73	0.232261	-174.229813	281.359167	72.183889	J184526.19+721101.7	281.3591455	72.1838247	11.354	0.031	35.6	3.895	10.534	0.025	43	1.588	6.934	0.022	48.5	1.766	4.202	0.047	23.1	1.076	5	11.62	0.6	15	11.478	0.006	1	11.62	0.6	15	10.743	0.006	1	11.62	0.6	15	7.555	0.006	1	18.12	0.81	15	4.593	0.007	17
74	0.644479	172.210615	244.830417	81.046667	J161919.33+810247.3	244.8305726	81.0464893	11.225	0.022	49	17.860001	10.836	0.019	55.9	4.52	7.875	0.016	67.7	1.323	5.46	0.027	39.9	1.143	5	15.06	0.59	-5	11.223	0.006	0	15.06	0.59	-5	10.897	0.006	0	15.06	0.59	-5	8.323	0.008	0	21.27	0.77	-5	5.916	0.019	1
75	0.920456	-97.724664	73.3575	4.061667	J045325.73+040341.8	73.357246	4.0616323	9.586	0.022	49.1	4.434	8.352	0.021	52	1.39	5.244	0.014	76.4	3.242	2.924	0.018	61.1	1.069	5	17.71	0.73	45	9.601	0.006	0	17.71	0.73	45	8.414	0.006	0	17.71	0.73	45	5.527	0.006	0	21.96	0.84	45	3.294	0.007	1
76	0.188009	27.151028	77.082083	17.363333	J050819.70+172148.1	77.0821083	17.3633798	10.144	0.022	48.3	11.36	9.603	0.019	56.9	3.905	6.296	0.015	73.5	1.447	3.51	0.021	51.9	6.891	5	21.65	0.69	-75	9.969	0.006	0	21.65	0.69	-75	9.51	0.006	0	21.65	0.69	-75	6.457	0.008	0	25.01	0.77	-75	3.524	0.008	1
77	0.464249	110.138909	324.639167	32.085	J213833.43+320505.8	324.6393096	32.0849556	10.25	0.022	48.6	5.831	9.429	0.021	52.9	1.61	6.267	0.015	73.3	1.44	3.856	0.023	48.1	0.7075	5	17.15	0.63	-40	10.266	0.006	0	17.15	0.63	-40	9.508	0.006	0	17.15	0.63	-40	6.621	0.006	0	22.03	0.76	-40	4.249	0.008	17
78	0.691869	-114.36952	9.0875	45.665	J003620.93+453953.7	9.0872495	45.6649207	10.541	0.022	49.1	2.626	9.8	0.019	57.6	1.382	7.202	0.015	70.5	1.432	4.948	0.025	42.9	0.9428	4	12.19	0.85	-35	10.639	0.006	0	12.19	0.85	-35	9.917	0.006	0	12.19	0.85	-35	7.679	0.007	0	17.81	0.93	-35	5.469	0.018	1
79	0.987451	-14.004189	91.423333	-86.631944	J060541.32-863754.0	91.4222036	-86.6316783	9.168	0.023	47.9	73.919998	8.951	0.02	55.1	44.240002	5.672	0.014	77.5	41.23	3.157	0.015	70.1           2	6.76	5	88.04	0.29	-85	7.914	0.005	1	88.04	0.29	-85	7.755	0.006	1	88.04	0.29	-85	4.532	0.006	1	117.88	0.43	-85	2.492	0.008	1
80	0.454131	9.354084	46.897083	-72.834167	J030735.31-725002.5	46.8971528	-72.8340422	11.094	0.023	47.8	9.812	10.432	0.02	54.6	3.229	7.993	0.016	66	2.012	5.759	0.031	34.5	1.02	5	13.93	0.83	-35	11.046	0.006	0	13.93	0.83	-35	10.459	0.006	0	13.93	0.83	-35	8.263	0.007	0	17.37	0.89	-35	6.28	0.019	1
81	0.478003	-119.851169	73.995833	-75.541111	J045558.88-753228.2	73.9953721	-75.5411772	9.661	0.023	46.8	9.899	8.717	0.02	54.5	4.322	5.568	0.015	73.4	3.003	3.28	0.021	52.3	0.7302	5	23.64	0.84	10	9.47	0.005	1	23.64	0.84	10	8.655	0.006	1	23.64	0.84	10	5.703	0.006	1	26.03	0.87	10	3.486	0.006	17
82	0.195283	115.437768	279.584583	-65.4275	J183820.32-652539.0	279.5847011	-65.4275233	9.67	0.022	48.4	4.593	8.12	0.021	51.7	1.396	4.364	0.014	74.9	3.647	1.506	0.016	68.2	0.9983	5	27.5	0.41	35	9.585	0.006	1	27.5	0.41	35	8.158	0.005	1	27.5	0.41	35	4.634	0.005	1	33.48	0.54	35	1.749	0.006	1
83	0.668041	-141.541712	95.94	-60.978889	J062345.54-605844.5	95.9397621	-60.9790342	11.555	0.023	47.8	30.18	11.085	0.02	53.6	7.693	8.367	0.017	64.7	1.246	5.896	0.032	33.5	1.011	5	23.54	0.69	85	10.581	0.006	1	23.54	0.69	85	10.389	0.006	1	23.54	0.69	85	8.341	0.009	1	26.56	0.76	85	6.108	0.024	17
84	0.787715	-72.554342	248.80875	-58.08	J163514.00-580447.7	248.8083552	-58.0799344	9.908	0.024	44.7	45.27	9.529	0.021	50.7	17.950001	6.101	0.017	62.1	3.113	3.061	0.022	48.9	1.17	5	56.55	0.87	30	7.022	0.007	17	56.55	0.87	30	6.868	0.006	1	56.55	0.87	30	5.198	0.015	3	58.83	0.88	30	3.016	0.025	1
85	0.439376	-19.665776	264.412917	-59.940833	J173739.08-595626.5	264.4128347	-59.9407184	10.017	0.023	48.2	12.09	9.37	0.018	59.1	5.163	6.715	0.015	72.9	2.397	4.525	0.023	46.7	1.716	5	32.84	0.79	25	9.371	0.007	1	32.84	0.79	25	8.966	0.006	1	32.84	0.79	25	6.187	0.006	1	34.55	0.81	25	4.323	0.015	1
86	0.422709	73.840195	290.30875	-58.670278	J192114.15-584012.8	290.3089669	-58.6702451	8.988	0.023	48	2.054	8.134	0.019	55.9	1.214	5.715	0.016	68.8	1.272	3.602	0.02	54	0.7111	4	16.62	0.85	35	9.029	0.005	0	16.62	0.85	35	8.186	0.005	0	16.62	0.85	35	5.984	0.006	0	19.82	0.9	35	4.035	0.009	1
87	1.393781	-61.585669	65.600833	-56.225833	J042224.05-561332.3	65.6002208	-56.2256491	10.348	0.022	49	4.51	9.599	0.02	55.6	2.685	7.231	0.014	76.2	1.847	5.149	0.023	46.6	1.081	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
88	0.659792	-62.093027	15.145833	-47.867778	J010034.94-475203.6	15.1455919	-47.867692	11.214	0.022	48.6	5.071	10.545	0.021	52.7	1.806	7.521	0.014	75.5	1.432	5.052	0.032	34.1	0.9872	5	11.64	0.72	85	11.37	0.006	1	11.64	0.72	85	10.738	0.007	1	11.64	0.72	85	8.103	0.008	1	18.24	0.87	85	5.583	0.026	1
89	0.472017	25.634875	32.71875	-49.698611	J021052.52-494154.5	32.7188377	-49.6984929	11.225	0.024	44.5	20	10.524	0.02	54.7	6.111	7.123	0.015	72.8	7.742	4.596	0.023	47.1	1.266	5	18.7	0.51	70	11.044	0.006	0	18.7	0.51	70	10.492	0.006	0	18.7	0.51	70	7.37	0.006	0	25.65	0.7	70	4.849	0.014	1
90	0.723101	4.651195	39.582083	-52.1925	J023819.70-521132.2	39.5821099	-52.1922998	10.644	0.023	47.4	2.911	9.868	0.02	55.7	1.71	7.421	0.016	69.5	1.393	5.278	0.029	38	0.9579	5	11.8	0.91	-40	10.726	0.006	0	11.8	0.91	-40	9.996	0.006	0	11.8	0.91	-40	7.903	0.007	0	15.51	0.96	-40	5.934	0.02	1
91	0.510161	-144.22294	120.491667	-49.778333	J080157.96-494642.4	120.4915384	-49.7784483	9.534	0.022	49.2	6.477	8.602	0.02	54	2.51	5.64	0.014	78	3.676	3.228	0.017	63	0.9904	5	22.31	0.47	60	9.511	0.006	0	22.31	0.47	60	8.652	0.006	0	22.31	0.47	60	5.939	0.006	0	28.53	0.61	60	3.528	0.007	1
92	0.619029	-112.466381	22.463333	-42.326389	J012951.14-421935.2	22.4631184	-42.3264546	11.077	0.023	48.1	44.75	10.408	0.02	54.8	16.74	7.037	0.015	74.2	33.540001	4.573	0.026	41.1           1	0.03	5	21.5	0.47	40	10.719	0.006	0	21.5	0.47	40	10.241	0.006	0	21.5	0.47	40	7.081	0.006	0	28.45	0.63	40	4.664	0.012	1
93	0.474028	-176.966077	152.450833	-42.811111	J100948.19-424840.4	152.4508238	-42.8112426	10.862	0.024	45.3	8.066	9.887	0.02	53	2.17	6.929	0.014	77.7	1.353	4.404	0.022	48.5	0.8152	5	24.25	0.84	15	10.42	0.006	1	24.25	0.84	15	9.713	0.006	1	24.25	0.84	15	6.896	0.007	1	26.7	0.87	15	4.565	0.013	1
94	0.541996	-104.623595	24.655	-40.011389	J013837.15-400041.1	24.6548098	-40.0114269	10.323	0.022	49.9	38.040001	9.724	0.021	52.9	8.9	6.617	0.015	73.1	4.558	4.502	0.024	45.6	1.314	5	37.75	0.37	-35	9.838	0.006	0	37.75	0.37	-35	9.441	0.006	0	37.75	0.37	-35	6.588	0.006	0	42.81	0.45	-35	4.619	0.022	1
95	0.591298	39.838222	196.60875	-40.414722	J130626.13-402452.5	196.6088882	-40.4145961	8.001	0.023	46.8	2.604	7.179	0.02	55.1	1.694	4.456	0.014	75	3.131	2.173	0.015	70.1	0.8627	5	29.61	0.85	60	7.918	0.005	1	29.61	0.85	60	7.154	0.005	1	29.61	0.85	60	4.591	0.005	1	31.55	0.87	60	2.272	0.006	1
96	0.190244	72.398724	79.899167	-32.657778	J051935.81-323927.9	79.8992265	-32.6577618	9.786	0.023	47	12.51	9.118	0.02	54.5	3.529	5.667	0.014	78	3.947	3.108	0.019	58.2	0.693	5	24.05	0.78	-40	9.586	0.005	1	24.05	0.78	-40	9.024	0.006	1	24.05	0.78	-40	5.762	0.006	1	26.62	0.83	-40	3.316	0.007	1
97	0.557603	2.155701	153.332917	-35.982778	J101319.90-355857.4	153.3329239	-35.982623	11.345	0.022	49.6	24.209999	10.769	0.02	53.9	5.999	6.608	0.016	68.2	2.507	3.805	0.021	50.6	0.8513	5	23.95	0.46	-80	10.976	0.006	0	23.95	0.46	-80	10.565	0.007	0	23.95	0.46	-80	6.886	0.006	0	29.69	0.59	-80	4.093	0.008	1
98	0.272104	150.646196	203.35875	-34.014722	J133326.11-340053.2	203.3587947	-34.0147881	9.583	0.022	48.7	4.633	8.288	0.021	50.8	1.738	5.203	0.015	74.3	1.781	3.081	0.017	62.5	1.905	4	14.09	0.64	-85	9.721	0.005	0	14.09	0.64	-85	8.444	0.005	0	14.09	0.64	-85	5.711	0.005	0	21.08	0.82	-85	3.507	0.006	1
99	4.461881	38.643624	301.740417	-34.549444	J200657.92-343254.5	301.7413564	-34.5484764	9.847	0.023	47.1	13.17	9.091	0.022	50.3	2.598	6.521	0.015	72.9	2.818	4.455	0.025	43.6	1.001	5	20.63	0.68	50	9.743	0.006	1	20.63	0.68	50	9.062	0.006	1	20.63	0.68	50	6.672	0.006	1	24.58	0.77	50	4.722	0.013	1
100	0.501953	123.00011	44.089583	-32.185556	J025621.53-321108.2	44.0897215	-32.1856315	10.687	0.022	50.3	18.889999	10.458	0.021	52.6	7.885	8.184	0.017	62.8	1.267	5.508	0.031	35.2	1.009	5	22.36	0.85	50	10.315	0.006	1	22.36	0.85	50	10.16	0.006	1	22.36	0.85	50	8.239	0.01	1	24.9	0.88	50	5.729	0.021	1
101	0.612657	19.14506	95.943333	-32.216667	J062346.41-321259.4	95.9433993	-32.2165059	10.538	0.023	47.5	18.33	9.751	0.019	57	4.452	6.584	0.014	77.7	2.074	4.032	0.02	53.7	1.535	5	32.01	0.72	-45	9.986	0.006	1	32.01	0.72	-45	9.503	0.006	1	32.01	0.72	-45	6.635	0.007	17	34.26	0.76	-45	4.137	0.01	1
102	0.679078	121.016688	171.8475	-29.2575	J112723.44-291527.3	171.8476853	-29.2575972	10.883	0.026	42.1	51.5	10.543	0.021	52.4	21.57	6.502	0.016	69.6	3.782	3.86	0.024	46.1	1.148	5	38.65	0.45	-80	10.014	0.006	1	38.65	0.45	-80	9.83	0.007	1	38.65	0.45	-80	6.446	0.008	1	42.84	0.53	-80	3.951	0.01	1
103	0.394451	-14.204231	315.599167	-28.174722	J210223.79-281028.6	315.5991362	-28.174616	11.845	0.024	45.1	25.52	11.307	0.022	49.9	6.623	8.069	0.019	57.9	1.632	5.49	0.037	29.2	1.005	5	21.3	0.47	35	11.437	0.006	1	21.3	0.47	35	11.083	0.008	1	21.3	0.47	35	8.342	0.013	1	28.18	0.63	35	5.752	0.031	1
104	0.309702	46.249755	41.19875	-24.513889	J024447.71-243049.7	41.1988183	-24.5138294	11.01	0.022	48.6	18.959999	10.817	0.019	56.3	5.781	8.72	0.02	54.3	1.082	6.442	0.046	23.6	1.164	5	18.34	0.71	-25	10.789	0.006	0	18.34	0.71	-25	10.643	0.006	0	18.34	0.71	-25	8.892	0.013	0	22.73	0.81	-25	6.765	0.048	17
105	0.131644	-111.193545	100.04875	-25.895278	J064011.69-255343.0	100.0487121	-25.895291	9.647	0.022	48.8	8.66	8.889	0.021	52.9	2.544	5.741	0.014	78.1	2.842	2.955	0.018	60.1	1.528	5	24.86	0.63	20	9.497	0.006	1	24.86	0.63	20	8.845	0.006	1	24.86	0.63	20	5.907	0.006	1	28.42	0.71	20	3.19	0.007	1
106	0.270842	-56.394398	151.480833	-23.056944	J100555.38-230324.8	151.4807652	-23.0569028	10.284	0.022	48.5	12.76	9.645	0.02	54.3	6.563	6.725	0.015	71.7	2.726	4.436	0.022	48.7	1.185	5	17.76	0.83	-80	10.146	0.006	0	17.76	0.83	-80	9.617	0.006	0	17.76	0.83	-80	6.939	0.007	0	21.18	0.88	-80	4.808	0.015	1
107	0.170598	117.280174	189.7275	-27.307778	J123854.61-271828.0	189.7275474	-27.3077995	10.059	0.022	48.4	25.940001	8.976	0.02	53.7	5.263	5.965	0.015	72.6	3.66	3.779	0.02	55.2	2.36	5	34.15	0.47	75	9.717	0.006	1	34.15	0.47	75	8.861	0.006	1	34.15	0.47	75	6.039	0.006	1	38.11	0.55	75	3.896	0.008	1
108	0.843246	-82.86845	202.807917	-25.402778	J133113.83-252409.8	202.8076594	-25.4027487	10.622	0.022	48.7	16	10.16	0.02	53.1	4.803	6.895	0.015	71.3	1.783	4.372	0.023	46.5	0.95	5	13.59	0.59	40	10.701	0.006	0	13.59	0.59	40	10.3	0.006	0	13.59	0.59	40	7.474	0.006	0	19.2	0.77	40	4.913	0.013	17
109	0.728919	45.717212	203.665	-23.446667	J133439.63-232647.4	203.665158	-23.4465253	11.042	0.022	49.4	19.6	10.304	0.019	56.5	4.909	6.332	0.013	83.1	3.639	3.587	0.017	62.7	1.029	5	21.8	0.49	85	10.718	0.006	1	21.8	0.49	85	10.13	0.006	1	21.8	0.49	85	6.616	0.006	1	27.89	0.64	85	3.864	0.009	1
110	0.220929	92.409475	214.843333	-26.644722	J141922.41-263841.0	214.8434019	-26.6447248	10.214	0.022	49.4	13.61	9.535	0.02	53.2	4.712	6.885	0.015	74.7	3.101	4.917	0.025	44.1	1.304	5	29.61	0.91	-85	9.68	0.006	1	29.61	0.91	-85	9.218	0.006	1	29.61	0.91	-85	6.556	0.008	1	31.45	0.92	-85	4.785	0.016	1
111	0.33365	77.765686	338.7075	-25.676944	J223449.82-254036.9	338.7076005	-25.6769248	10.993	0.022	48.6	34	10.86	0.021	51.8	10.48	8.795	0.026	42.1	1.669	6.558	0.062	17.5	1.098	5	28.29	0.75	15	10.35	0.006	1	28.29	0.75	15	10.252	0.007	1	28.29	0.75	15	8.242	0.019	1	30.45	0.79	15	6.419	0.067	17
112	0.425075	159.130727	55.515417	-21.244167	J034203.71-211439.3	55.5154618	-21.244277	8.911	0.023	46.9	8.229	8.234	0.022	49.9	9.134	5.991	0.014	75.5	2.547	4.169	0.02	53.6	1.514	5	66.71	0.45	-45	6.724	0.005	17	66.71	0.45	-45	6.077	0.005	17	66.71	0.45	-45	5.305	0.006	1	73.94	0.53	-45	3.964	0.021	1
113	0.39403	-121.139109	60.607083	-18.0475	J040225.67-180251.2	60.6069848	-18.0475566	9.894	0.022	48.7	15.63	9.287	0.02	55.6	6.048	5.913	0.015	73.9	12.61	3.516	0.021	50.7	2.495	5	18.52	0.79	20	9.775	0.006	0	18.52	0.79	20	9.237	0.006	0	18.52	0.79	20	6.075	0.006	0	21.53	0.85	20	3.862	0.008	1
114	0.068706	27.749606	77.990833	-18.493889	J051157.80-182937.9	77.9908427	-18.493872	11.426	0.024	45.8	12.7	10.973	0.023	47.9	3.546	8.53	0.022	50.4	1.827	6.401	0.056	19.5	0.857	5	15.14	0.92	-80	11.179	0.006	0	15.14	0.92	-80	10.822	0.008	0	15.14	0.92	-80	8.532	0.015	0	18.52	0.95	-80	6.651	0.049	1
115	0.611564	-46.204897	81.61375	-21.286667	J052627.26-211711.5	81.6136184	-21.2865491	11.222	0.024	46.2	19.07	10.549	0.021	50.7	4.595	7.443	0.016	68.3	1.744	4.63	0.028	38.8	1.207	5	15.67	0.86	75	10.997	0.006	0	15.67	0.86	75	10.451	0.007	0	15.67	0.86	75	7.723	0.007	0	19.32	0.91	75	5.069	0.016	0
116	0.56679	-92.154931	143.681667	-21.927778	J093443.55-215540.0	143.6814971	-21.9277837	9.726	0.023	47.8	33.959999	9.56	0.019	56.9	19.799999	6.199	0.014	75.9	9.612	3.524	0.02	54.6	2.85	5	26.8	0.63	-10	9.445	0.005	1	26.8	0.63	-10	9.326	0.006	1	26.8	0.63	-10	6.329	0.006	1	30	0.7	-10	3.723	0.007	17
117	0.365941	51.578359	209.152917	-19.529167	J135636.72-193144.7	209.1530012	-19.5291035	11.045	0.022	49.7	18.459999	10.426	0.022	50.4	4.973	7.409	0.016	66.2	4.184	5.106	0.03	36.2	1.041	5	22.11	0.35	30	11.047	0.006	1	22.11	0.35	30	10.492	0.006	1	22.11	0.35	30	7.774	0.01	1	30.72	0.52	30	5.388	0.025	1
118	0.475376	-140.505381	129.628333	-35.9925	J083830.77-355933.3	129.6282295	-35.9926019	9.706	0.022	48.9	4.224	8.706	0.02	53.6	2.179	5.519	0.014	77.9	1.895	2.986	0.018	60.7	1.406	5	18.62	0.77	30	9.652	0.006	0	18.62	0.77	30	8.718	0.006	0	18.62	0.77	30	5.735	0.006	0	21.65	0.83	30	3.375	0.006	1
119	0.533949	-168.570728	125.754583	-4.934722	J082301.09-045605.5	125.7545538	-4.9348676	10.488	0.023	47.9	8.646	9.512	0.019	56.5	1.85	6.654	0.015	73.5	2.704	4.766	0.025	43.4	0.9335	5	14.53	0.62	25	10.59	0.006	0	14.53	0.62	25	9.66	0.006	0	14.53	0.62	25	7.176	0.007	0	20.53	0.8	25	5.234	0.018	1
120	0.966913	-31.2576	279.242917	-59.4025	J183658.23-592408.1	279.2426429	-59.4022704	8.439	0.022	50.3	1.56	7.426	0.019	57.1	0.9048	4.505	0.015	73.2	1.782	2.067	0.016	67.8	0.6632	5	15.14	0.91	-60	8.498	0.005	1	15.14	0.91	-60	7.51	0.005	1	15.14	0.91	-60	4.827	0.005	0	18.67	0.95	-60	2.593	0.006	1
121	0.196555	-14.664917	281.225	-62.364722	J184453.99-622152.8	281.2249702	-62.3646694	8.569	0.023	47.3	1.218	7.722	0.021	52.9	0.8886	4.892	0.014	75.7	1.851	2.441	0.015	70.2	0.8371	5	27.9	0.48	5	8.556	0.005	0	27.9	0.48	5	7.749	0.005	0	27.9	0.48	5	5.112	0.006	0	32.15	0.57	5	2.66	0.006	1
122	0.389438	-49.378356	20.940833	-58.805833	J012345.76-584820.7	20.9406748	-58.8057629	9.064	0.023	47.7	3.597	7.978	0.02	55.5	3.148	5.208	0.016	68.7	2.377	3.131	0.017	62.8	0.9024	5	18.18	0.97	-45	9.06	0.005	1	18.18	0.97	-45	8.023	0.005	1	18.18	0.97	-45	5.413	0.005	0	21.09	0.98	-45	3.47	0.006	1
123	0.471073	-176.502459	41.240417	62.468611	J024457.69+622806.5	41.2403994	62.4684805	8.769	0.023	47.5	1.161	7.63	0.019	56.5	1.177	4.845	0.014	76.6	1.906	2.67	0.017	65.2	0.7563	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
124	0.402425	-137.419393	120.0875	26.613611	J080020.97+263648.7	120.0874154	26.6135288	10.289	0.023	47	16.1	9.569	0.021	51.4	3.604	6.553	0.016	69.9	2.094	3.949	0.024	45.4	0.9611	5	20.63	0.98	65	10.051	0.006	1	20.63	0.98	65	9.465	0.006	1	20.63	0.98	65	6.619	0.007	1	23.08	0.98	65	4.192	0.011	1
125	0.312064	166.445127	18.529167	-32.650833	J011407.00-323903.3	18.5291908	-32.6509176	10.315	0.023	46.8	73.57	10.166	0.019	58.4	39.400002	6.823	0.014	75.5	28.879999	4.512	0.023	47.0           2	8.139999	5	45.98	0.3	-10	9.381	0.006	1	45.98	0.3	-10	9.266	0.006	1	45.98	0.3	-10	6.18	0.006	1	56.17	0.42	-10	3.958	0.01	1
126	0.702704	-151.023161	37.9625	-36.671944	J023150.97-364019.6	37.9623821	-36.6721152	10.569	0.022	48.7	31.42	9.968	0.02	53.7	8.786	6.11	0.015	74	4.489	3.389	0.021	52.2	1.003	5	28.09	0.94	-20	9.849	0.006	1	28.09	0.94	-20	9.501	0.006	1	28.09	0.94	-20	6.074	0.006	1	29.74	0.95	-20	3.486	0.007	1
127	1.226054	-165.478093	139.991667	37.191389	J091957.97+371127.8	139.9915595	37.1910592	10.447	0.023	47.5	50.98	10.071	0.02	54.5	21.610001	7.093	0.017	65.6	16.16	4.872	0.025	44	3.198	5	39.96	0.3	-40	9.784	0.006	1	39.96	0.3	-40	9.535	0.006	1	39.96	0.3	-40	6.694	0.007	1	48.81	0.42	-40	4.644	0.019	17
128	1.164828	101.550727	168.457083	9.586389	J111349.77+093510.7	168.4574048	9.5863241	10.421	0.022	49.2	31.690001	10.035	0.019	55.7	14.74	6.114	0.016	66.8	18.719999	4.187	0.026	41.2	2.594	5	18.67	0.88	-20	10.227	0.006	0	18.67	0.88	-20	9.896	0.006	0	18.67	0.88	-20	6.322	0.006	0	21.32	0.91	-20	4.489	0.011	1
129	0.462902	-35.936724	173.205417	10.296389	J113249.28+101747.3	173.20534	10.296493	10.63	0.023	48	3.332	9.835	0.02	53.5	1.333	7.139	0.017	63.7	0.8908	4.911	0.031	34.9	0.9824	1	11.08	0.67	-50	10.837	0.006	0	11.08	0.67	-50	10.118	0.006	0	11.08	0.67	-50	7.867	0.007	0	17.91	0.85	-50	5.51	0.024	1
130	0.493816	-110.732833	207.330417	-30.309444	J134919.26-301834.1	207.3302681	-30.309493	7.729	0.024	45.5	2.156	6.62	0.02	54.5	1.226	3.754	0.013	80.5	2.555	1.504	0.015	70.8	1.923	4	45.02	0.37	45	7.773	0.005	17	45.02	0.37	45	6.649	0.005	17	45.02	0.37	45	3.902	0.005	1	51.05	0.45	45	1.57	0.006	17
