#Name	cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1rchi2	w2mpro	w2sigmpro	w2rchi2	w3mpro	w3sigmpro	w3rchi2	w4mpro	w4sigmpro	w4rchi2	cc_flags	ext_flg	ph_qual	w1mag	w1sigm	w1flg	w1mcor	w2mag	w2sigm	w2flg	w2mcor	w3mag	w3sigm	w3flg	w3mcor	w4mag	w4sigm	w4flg	w4mcor	w1mag_1	w1sigm_1	w1flg_1	w2mag_1	w2sigm_1	w2flg_1	w3mag_1	w3sigm_1	w3flg_1	w4mag_1	w4sigm_1	w4flg_1	w1mag_2	w1sigm_2	w1flg_2	w2mag_2	w2sigm_2	w2flg_2	w3mag_2	w3sigm_2	w3flg_2	w4mag_2	w4sigm_2	w4flg_2	w1mag_3	w1sigm_3	w1flg_3	w2mag_3	w2sigm_3	w2flg_3	w3mag_3	w3sigm_3	w3flg_3	w4mag_3	w4sigm_3	w4flg_3	w1mag_4	w1sigm_4	w1flg_4	w2mag_4	w2sigm_4	w2flg_4	w3mag_4	w3sigm_4	w3flg_4	w4mag_4	w4sigm_4	w4flg_4	w1mag_5	w1sigm_5	w1flg_5	w2mag_5	w2sigm_5	w2flg_5	w3mag_5	w3sigm_5	w3flg_5	w4mag_5	w4sigm_5	w4flg_5	w1mag_6	w1sigm_6	w1flg_6	w2mag_6	w2sigm_6	w2flg_6	w3mag_6	w3sigm_6	w3flg_6	w4mag_6	w4sigm_6	w4flg_6	w1mag_7	w1sigm_7	w1flg_7	w2mag_7	w2sigm_7	w2flg_7	w3mag_7	w3sigm_7	w3flg_7	w4mag_7	w4sigm_7	w4flg_7	w1mag_8	w1sigm_8	w1flg_8	w2mag_8	w2sigm_8	w2flg_8	w3mag_8	w3sigm_8	w3flg_8	w4mag_8	w4sigm_8	w4flg_8	xscprox	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
ARP151	64	0.450813	-76.51562	171.400833	54.3825	J112536.14+542257.1	171.4006242	54.3825292	10.806	0.023	2.892	10.006	0.021	1.637	7.552	0.017	1.006	5.469	0.034	0.8435	0	4	AAAA	10.807	0.006	0	0.261	10.006	0.006	0	0.319	7.545	0.008	0	0.825	5.473	0.027	1	0.576	11.466	0.006	0	10.775	0.006	0	8.961	0.009	0	6.54	0.029	1	11.068	0.006	0	10.325	0.006	0	8.37	0.008	0	6.049	0.027	1	10.915	0.006	1	10.149	0.006	1	8.047	0.008	1	5.769	0.028	1	10.846	0.006	1	10.078	0.006	1	7.868	0.008	1	5.619	0.031	1	10.807	0.006	1	10.043	0.006	1	7.77	0.008	1	5.547	0.037	17	10.778	0.006	1	10.021	0.006	1	7.717	0.009	1	5.502	0.043	17	10.754	0.006	1	10.004	0.006	1	7.689	0.01	1	5.462	0.05	17	10.734	0.006	17	9.991	0.007	1	7.673	0.011	1	5.427	0.057	17	0.32	11.43	0.68	-20	10.992	0.006	1	11.43	0.68	-20	10.243	0.006	1	11.43	0.68	-20	8.226	0.008	1	18.82	0.88	-20	5.98	0.027	1
AXJ1737.4-2907	65	0.92405	-8.020246	264.368333	-29.134167	J173728.39-290802.0	264.3682923	-29.1339125	9.365	0.03	2.152	8.589	0.024	1.125	6.014	0.016	1.401	3.45	0.019	1.282	d000	0	AAAA	9.603	0.195	1	0.261	8.683	0.076	1	0.319	6.062	0.041	1	0.825	3.448	0.013	1	0.576	10.198	0.188	0	9.42	0.079	0	7.49	0.05	0	4.524	0.014	1	9.864	0.195	1	9.002	0.076	1	6.887	0.041	1	4.024	0.013	1	9.695	0.217	1	8.828	0.084	1	6.555	0.039	1	3.732	0.014	1	9.394	0.203	1	8.668	0.089	1	6.362	0.04	1	3.58	0.015	1	8.93	0.159	1	8.437	0.087	1	6.243	0.044	1	3.516	0.018	17	8.487	0.125	1	8.183	0.081	1	6.163	0.048	1	3.492	0.021	17	8.176	0.109	1	7.973	0.077	1	6.106	0.053	1	3.491	0.026	17	7.955	0.102	1	7.811	0.077	1	6.064	0.058	1	3.497	0.031	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
CenA	66	0.313829	127.966649	201.365	-43.019167	J132527.62-430109.1	201.365094	-43.0192203	5.262	0.051	19.1	4.757	0.041	12.23	2.621	0.012	20.43	0.279	0.015	18.98	hhhh	5	AAAA	6.883	0.007	16	0.261	6.019	0.006	16	0.319	3.148	0.009	16	0.825	0.36	0.007	0	0.576	7.816	0.007	16	6.933	0.006	16	4.7	0.011	16	1.524	0.008	0	7.144	0.007	16	6.338	0.006	16	3.973	0.009	16	0.936	0.007	0	6.741	0.006	16	6.022	0.006	16	3.52	0.008	16	0.562	0.007	0	6.458	0.006	16	5.82	0.006	16	3.206	0.008	16	0.323	0.007	0	6.245	0.006	16	5.67	0.006	16	2.979	0.008	16	0.165	0.007	1	6.077	0.006	16	5.552	0.006	16	2.804	0.008	16	0.048	0.008	17	5.941	0.006	16	5.455	0.006	16	2.662	0.008	16	-0.047	0.008	17	5.828	0.006	16	5.375	0.006	16	2.54	0.008	16	-0.13	0.009	17	2.33	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
CGCG102-048	67	0.51738	-98.108081	206.065417	19.566667	J134415.66+193359.9	206.0652657	19.5666464	11.469	0.024	20.42	11.336	0.021	6.321	8.91	0.025	1.093	6.532	0.055	0.9226	0	5	AAAA	11.485	0.006	0	0.261	11.271	0.007	0	0.319	8.805	0.019	0	0.825	6.407	0.086	1	0.576	12.26	0.006	0	12.129	0.008	0	10.261	0.024	0	7.513	0.094	1	11.746	0.006	0	11.59	0.007	0	9.63	0.019	0	6.983	0.086	1	11.488	0.006	1	11.325	0.007	1	9.266	0.018	1	6.663	0.088	1	11.336	0.006	1	11.175	0.007	1	9.043	0.018	1	6.494	0.098	1	11.228	0.006	1	11.075	0.007	1	8.903	0.019	1	6.441	0.119	1	11.141	0.006	1	10.997	0.008	1	8.809	0.02	1	6.44	0.148	1	11.071	0.006	1	10.936	0.008	1	8.744	0.022	1	6.461	0.184	1	11.021	0.006	1	10.889	0.008	1	8.698	0.024	1	6.488	0.226	1	0.48	20.4	0.47	30	11.287	0.006	1	20.4	0.47	30	11.146	0.007	1	20.4	0.47	30	9.043	0.018	1	26.99	0.63	30	6.723	0.089	1
CGCG122-055	68	0.18433	-91.208597	145.52	23.685278	J094204.78+234106.9	145.5199441	23.6852767	10.964	0.022	8.387	10.18	0.02	2.795	6.604	0.016	1.044	3.863	0.023	0.8215	0	5	AAAA	10.965	0.006	0	0.261	10.188	0.006	0	0.319	6.617	0.006	0	0.825	3.842	0.011	1	0.576	11.665	0.006	0	10.979	0.006	0	8.043	0.007	0	4.899	0.011	1	11.226	0.006	0	10.507	0.006	0	7.442	0.006	0	4.418	0.011	1	11.039	0.006	1	10.313	0.006	1	7.111	0.006	1	4.135	0.012	1	10.946	0.006	1	10.226	0.006	1	6.921	0.006	1	3.989	0.013	1	10.892	0.006	1	10.181	0.006	1	6.814	0.006	1	3.927	0.015	1	10.857	0.006	1	10.152	0.006	1	6.754	0.007	1	3.9	0.018	1	10.832	0.006	1	10.134	0.007	1	6.721	0.007	1	3.891	0.021	1	10.813	0.006	1	10.121	0.007	1	6.702	0.007	1	3.889	0.025	1	0.45	14.9	0.65	-70	11.003	0.006	1	14.9	0.65	-70	10.29	0.006	1	14.9	0.65	-70	7.061	0.006	1	20.11	0.78	-70	4.346	0.011	1
CGCG229-015	69	0.520896	122.01592	286.357917	42.461111	J190525.93+422739.7	286.358083	42.4610344	11.577	0.023	12.02	10.88	0.02	4.372	7.722	0.018	0.95	5.068	0.03	0.8566	0	5	AAAA	11.537	0.006	0	0.261	10.863	0.007	0	0.319	7.69	0.008	0	0.825	5.05	0.015	1	0.576	12.263	0.006	0	11.663	0.007	0	9.126	0.009	0	6.115	0.016	1	11.798	0.006	0	11.182	0.007	0	8.515	0.008	0	5.626	0.015	1	11.583	0.006	0	10.974	0.007	0	8.179	0.008	0	5.351	0.016	1	11.469	0.006	1	10.876	0.007	1	7.991	0.008	1	5.22	0.018	1	11.399	0.006	1	10.821	0.007	1	7.886	0.009	1	5.169	0.021	1	11.343	0.006	1	10.782	0.008	1	7.83	0.009	1	5.147	0.025	1	11.291	0.007	17	10.752	0.008	1	7.8	0.01	1	5.14	0.03	1	11.247	0.007	17	10.729	0.009	1	7.784	0.011	1	5.141	0.036	1	0.2	14	0.72	45	11.537	0.006	1	14	0.72	45	10.939	0.007	1	14	0.72	45	8.122	0.008	1	18.21	0.83	45	5.623	0.015	1
CGCG300-062	70	0.1914	13.809262	265.8225	62.839167	J174317.40+625021.1	265.8225278	62.8392183	11.878	0.023	12.19	11.157	0.02	3.132	8.295	0.018	1.724	5.864	0.035	0.9529	0	5	AAAA	11.83	0.006	17	0.261	11.135	0.006	17	0.319	8.193	0.008	1	0.825	5.799	0.019	17	0.576	12.587	0.006	1	11.955	0.006	17	9.665	0.009	1	6.88	0.02	17	12.091	0.006	17	11.454	0.006	17	9.018	0.008	1	6.375	0.019	17	11.849	0.006	17	11.226	0.006	17	8.65	0.007	1	6.091	0.02	17	11.705	0.006	17	11.105	0.006	17	8.431	0.007	1	5.949	0.022	17	11.593	0.006	17	11.019	0.006	17	8.302	0.008	1	5.884	0.026	17	11.473	0.006	17	10.939	0.006	17	8.225	0.008	1	5.853	0.032	17	11.345	0.006	17	10.859	0.006	17	8.179	0.009	1	5.841	0.038	17	11.242	0.006	17	10.793	0.006	17	8.151	0.009	1	5.837	0.045	17	0.58	11.85	0.83	-85	11.864	0.006	17	11.85	0.83	-85	11.242	0.006	17	11.85	0.83	-85	8.675	0.007	1	17.32	0.91	-85	6.375	0.018	17
CGCG312-012	71	0.40022	-159.409121	142.407917	62.544167	J092937.87+623238.6	142.4078319	62.5440626	10.971	0.022	15.19	10.596	0.021	3.944	8.553	0.023	1.29	6.341	0.057	0.9071	0	5	AAAA	10.969	0.006	16	0.261	10.59	0.006	0	0.319	8.492	0.014	0	0.825	6.374	0.08	1	0.576	11.703	0.006	0	11.405	0.007	0	9.938	0.017	0	7.414	0.082	0	11.23	0.006	16	10.909	0.006	0	9.317	0.014	0	6.95	0.08	1	11.016	0.006	16	10.691	0.006	0	8.972	0.013	0	6.697	0.087	1	10.909	0.006	16	10.588	0.006	0	8.77	0.014	0	6.579	0.102	1	10.848	0.006	16	10.533	0.007	0	8.652	0.014	0	6.543	0.126	1	10.808	0.006	16	10.498	0.007	0	8.584	0.016	0	6.525	0.153	17	10.777	0.006	17	10.473	0.007	17	8.542	0.017	1	6.521	0.186	17	10.753	0.006	17	10.455	0.008	17	8.519	0.019	1	6.52	0.224	17	0.42	12.56	0.97	45	10.954	0.006	16	12.56	0.97	45	10.631	0.006	0	12.56	0.97	45	8.857	0.013	0	16.15	0.99	45	6.979	0.079	1
CGCG319-007	72	0.455162	-157.159447	229.890417	65.599722	J151933.67+653558.5	229.8902979	65.5996057	10.905	0.022	15.26	10.056	0.02	4.249	6.959	0.016	2.576	4.527	0.023	0.809	0	5	AAAA	10.905	0.006	1	0.261	10.067	0.006	1	0.319	6.968	0.006	0	0.825	4.513	0.01	1	0.576	11.646	0.006	0	10.876	0.006	0	8.41	0.007	0	5.58	0.01	1	11.166	0.006	1	10.386	0.006	1	7.793	0.006	0	5.089	0.01	1	10.946	0.006	1	10.176	0.006	1	7.458	0.006	1	4.805	0.01	1	10.829	0.006	1	10.077	0.006	17	7.271	0.006	1	4.661	0.011	1	10.758	0.006	1	10.023	0.006	17	7.168	0.006	1	4.602	0.013	1	10.709	0.006	1	9.988	0.006	17	7.111	0.006	1	4.574	0.015	1	10.673	0.006	1	9.964	0.006	17	7.079	0.007	1	4.559	0.018	1	10.643	0.006	1	9.944	0.006	17	7.061	0.007	1	4.551	0.021	17	0.27	16.06	0.71	35	10.834	0.006	1	16.06	0.71	35	10.085	0.006	1	16.06	0.71	35	7.293	0.006	1	19.91	0.81	35	5.004	0.01	1
CGCG341-006	73	0.585758	-174.994467	281.359167	72.183889	J184526.18+721101.4	281.3591203	72.1837268	11.281	0.023	7.18	10.475	0.02	2.65	6.79	0.016	2.715	4.015	0.022	1.027	0	5	AAAA	11.282	0.006	17	0.261	10.474	0.006	1	0.319	6.803	0.006	0	0.825	3.994	0.007	17	0.576	11.974	0.006	16	11.264	0.006	0	8.236	0.006	0	5.065	0.007	17	11.543	0.006	17	10.793	0.006	1	7.628	0.006	0	4.57	0.007	17	11.363	0.006	17	10.6	0.006	1	7.3	0.006	1	4.285	0.007	17	11.277	0.006	17	10.514	0.006	1	7.117	0.006	1	4.138	0.007	17	11.233	0.006	17	10.471	0.006	17	7.016	0.006	1	4.074	0.008	17	11.208	0.006	17	10.445	0.006	17	6.96	0.006	1	4.043	0.008	17	11.192	0.007	17	10.428	0.006	17	6.93	0.006	1	4.031	0.009	17	11.18	0.007	17	10.415	0.006	17	6.912	0.006	1	4.026	0.01	17	0.72	11.62	0.6	15	11.494	0.006	16	11.62	0.6	15	10.748	0.006	0	11.62	0.6	15	7.551	0.006	0	18.12	0.81	15	4.589	0.007	17
CGCG367-009	74	0.613192	177.507278	244.830417	81.046667	J161919.31+810247.3	244.8304643	81.0464965	11.202	0.022	18.4	10.776	0.02	5.188	7.868	0.017	1.21	5.45	0.031	1.011	0	5	AAAA	11.22	0.006	0	0.261	10.78	0.006	16	0.319	7.845	0.009	0	0.825	5.446	0.017	1	0.576	11.968	0.006	0	11.6	0.007	16	9.283	0.01	0	6.513	0.017	1	11.481	0.006	0	11.099	0.006	16	8.67	0.009	0	6.022	0.017	1	11.254	0.006	0	10.874	0.006	16	8.331	0.008	0	5.736	0.017	1	11.135	0.006	1	10.765	0.007	17	8.135	0.009	1	5.591	0.02	1	11.067	0.006	1	10.705	0.007	17	8.023	0.009	1	5.528	0.023	1	11.023	0.006	1	10.669	0.007	17	7.957	0.01	1	5.501	0.028	17	10.993	0.006	17	10.645	0.008	17	7.917	0.011	1	5.495	0.033	17	10.971	0.006	17	10.629	0.008	17	7.891	0.012	1	5.494	0.04	17	0.4	15.06	0.59	-5	11.219	0.006	0	15.06	0.59	-5	10.851	0.006	16	15.06	0.59	-5	8.311	0.009	0	21.27	0.77	-5	5.901	0.017	1
CGCG420-015	75	0.909024	-98.441297	73.3575	4.061667	J045325.73+040341.8	73.3572496	4.0616296	9.619	0.022	4.479	8.363	0.021	1.207	5.243	0.014	4.203	2.925	0.018	1.072	0	5	AAAA	9.631	0.006	0	0.261	8.379	0.005	0	0.319	5.254	0.006	0	0.825	2.911	0.007	1	0.576	10.307	0.006	0	9.151	0.006	0	6.677	0.006	0	3.981	0.008	1	9.892	0.006	0	8.698	0.005	0	6.079	0.006	0	3.487	0.007	1	9.721	0.005	0	8.518	0.005	0	5.752	0.006	0	3.2	0.007	1	9.638	0.005	0	8.442	0.005	0	5.568	0.006	0	3.053	0.008	1	9.59	0.005	0	8.404	0.005	0	5.467	0.006	0	2.991	0.009	1	9.557	0.005	1	8.38	0.006	1	5.412	0.006	1	2.963	0.01	1	9.532	0.005	1	8.364	0.006	1	5.381	0.006	1	2.952	0.012	1	9.514	0.006	1	8.352	0.006	1	5.363	0.006	1	2.949	0.013	1	0.38	17.71	0.73	45	9.614	0.005	0	17.71	0.73	45	8.425	0.005	0	17.71	0.73	45	5.524	0.006	0	21.96	0.84	45	3.289	0.007	1
CGCG468-002NED01	76	0.108259	63.389218	77.082083	17.363333	J050819.70+172148.0	77.0821115	17.3633468	10.152	0.023	10.36	9.624	0.019	3.616	6.297	0.015	1.415	3.511	0.022	6.661	000d	5	AAAA	10.151	0.006	0	0.261	9.606	0.006	0	0.319	6.306	0.008	0	0.825	3.333	0.009	1	0.576	10.866	0.006	0	10.411	0.006	0	7.738	0.009	0	4.491	0.01	0	10.412	0.006	0	9.925	0.006	0	7.131	0.008	0	3.909	0.009	1	10.207	0.006	0	9.714	0.006	0	6.795	0.007	0	3.489	0.009	1	10.094	0.006	0	9.609	0.006	0	6.595	0.007	0	3.141	0.008	1	10.021	0.006	0	9.546	0.006	0	6.469	0.008	0	2.858	0.008	1	9.968	0.006	0	9.5	0.006	0	6.374	0.008	0	2.668	0.008	1	9.924	0.006	1	9.459	0.006	1	6.281	0.008	1	2.56	0.009	1	9.875	0.006	1	9.408	0.006	1	6.171	0.009	1	2.498	0.01	1	0.55	21.65	0.69	-75	9.988	0.006	0	21.65	0.69	-75	9.522	0.006	0	21.65	0.69	-75	6.44	0.008	0	25.01	0.77	-75	3.527	0.009	1
CGCG493-002	77	0.461493	115.555322	324.639167	32.085	J213833.43+320505.8	324.6393032	32.0849447	10.269	0.023	6.384	9.443	0.02	1.868	6.266	0.015	1.399	3.852	0.023	0.648	0	5	AAAA	10.292	0.006	0	0.261	9.468	0.006	0	0.319	6.274	0.006	0	0.825	3.818	0.008	1	0.576	10.975	0.006	0	10.245	0.006	0	7.701	0.006	0	4.889	0.008	1	10.553	0.006	0	9.787	0.006	0	7.099	0.006	0	4.394	0.008	1	10.375	0.006	1	9.6	0.006	1	6.77	0.006	1	4.107	0.008	17	10.288	0.006	1	9.519	0.006	1	6.587	0.006	1	3.96	0.008	17	10.238	0.006	1	9.476	0.006	17	6.485	0.006	1	3.898	0.009	17	10.203	0.006	1	9.45	0.006	17	6.428	0.006	1	3.869	0.011	17	10.178	0.006	1	9.432	0.006	17	6.396	0.006	1	3.857	0.012	17	10.158	0.006	1	9.42	0.006	17	6.378	0.006	1	3.852	0.014	17	0.47	17.15	0.63	-40	10.291	0.006	1	17.15	0.63	-40	9.528	0.006	17	17.15	0.63	-40	6.618	0.006	1	22.03	0.76	-40	4.242	0.008	17
CGCG535-012	78	0.695994	-121.251538	9.0875	45.665	J003620.94+453953.6	9.0872635	45.6648997	10.572	0.022	3.853	9.807	0.019	1.932	7.203	0.016	1.279	4.938	0.028	0.8248	dd00	5	AAAA	10.588	0.006	0	0.261	9.809	0.006	0	0.319	7.199	0.007	0	0.825	4.919	0.02	1	0.576	11.254	0.006	0	10.584	0.006	0	8.626	0.008	0	5.983	0.021	0	10.849	0.006	0	10.128	0.006	0	8.024	0.007	0	5.495	0.02	1	10.688	0.006	0	9.945	0.006	0	7.694	0.007	0	5.215	0.021	1	10.613	0.006	0	9.868	0.006	0	7.508	0.007	0	5.072	0.024	17	10.57	0.006	0	9.828	0.006	0	7.403	0.007	0	5.012	0.028	17	10.542	0.006	0	9.803	0.006	0	7.343	0.007	0	4.987	0.034	17	10.521	0.006	1	9.785	0.006	17	7.308	0.008	1	4.974	0.041	17	10.502	0.006	1	9.77	0.006	17	7.285	0.008	1	4.961	0.049	17	0.46	12.19	0.85	-35	10.679	0.006	0	12.19	0.85	-35	9.935	0.006	0	12.19	0.85	-35	7.674	0.007	0	17.81	0.93	-35	5.451	0.02	1
ESO005-G004	79	1.191755	-14.881876	91.423333	-86.631944	J060541.25-863753.8	91.4218863	-86.6316245	9.214	0.022	72.25	8.993	0.019	45	5.692	0.014	40.16	3.191	0.018	22.950001	0	5	AAAA	9.163	0.005	0	0.261	8.964	0.005	0	0.319	5.718	0.006	0	0.825	3.071	0.007	0	0.576	10.057	0.006	0	9.928	0.006	0	7.267	0.006	0	4.256	0.007	0	9.424	0.005	0	9.283	0.005	0	6.543	0.006	0	3.647	0.007	0	9.058	0.005	0	8.912	0.005	0	6.089	0.006	0	3.266	0.007	1	8.822	0.005	0	8.673	0.005	0	5.776	0.006	0	3.029	0.007	1	8.657	0.005	0	8.505	0.005	0	5.547	0.006	0	2.882	0.007	1	8.533	0.005	0	8.378	0.005	0	5.37	0.006	0	2.786	0.007	1	8.436	0.005	0	8.278	0.005	0	5.228	0.006	0	2.721	0.008	1	8.356	0.005	0	8.197	0.005	0	5.111	0.006	0	2.676	0.009	1	1.25	88.04	0.29	-85	7.93	0.005	17	88.04	0.29	-85	7.772	0.006	17	88.04	0.29	-85	4.527	0.006	1	117.88	0.43	-85	2.484	0.008	1
ESO031-G008	80	0.484346	24.352437	46.897083	-72.834167	J030735.34-725002.5	46.8972713	-72.8340441	11.142	0.023	10.31	10.488	0.019	3.833	7.997	0.018	1.872	5.746	0.033	0.9437	0	5	AAAA	11.122	0.006	0	0.261	10.473	0.006	0	0.319	7.928	0.007	0	0.825	5.675	0.019	1	0.576	11.845	0.006	0	11.277	0.006	0	9.384	0.008	0	6.762	0.02	1	11.383	0.006	0	10.792	0.006	0	8.753	0.007	0	6.251	0.019	1	11.168	0.006	0	10.579	0.006	0	8.396	0.007	0	5.955	0.02	1	11.051	0.006	1	10.477	0.006	1	8.188	0.007	0	5.798	0.022	17	10.978	0.006	1	10.419	0.006	1	8.064	0.007	1	5.722	0.026	17	10.929	0.006	1	10.383	0.006	1	7.991	0.007	1	5.685	0.031	17	10.898	0.006	1	10.36	0.006	17	7.948	0.007	1	5.668	0.037	17	10.878	0.006	17	10.346	0.006	17	7.922	0.008	1	5.655	0.043	17	0.42	13.93	0.83	-35	11.089	0.006	0	13.93	0.83	-35	10.51	0.006	0	13.93	0.83	-35	8.255	0.007	0	17.37	0.89	-35	6.258	0.019	1
ESO033-G002	81	0.417069	-126.241137	73.995833	-75.541111	J045558.91-753228.2	73.9954591	-75.5411796	9.637	0.023	7.555	8.697	0.02	2.466	5.554	0.015	3.676	3.289	0.019	0.744	d000	5	AAAA	9.667	0.005	0	0.261	8.719	0.005	16	0.319	5.569	0.006	0	0.825	3.269	0.007	1	0.576	10.362	0.005	0	9.504	0.006	16	6.991	0.006	0	4.341	0.007	1	9.928	0.005	0	9.038	0.005	16	6.394	0.006	0	3.845	0.007	1	9.732	0.005	1	8.843	0.005	17	6.067	0.006	1	3.557	0.007	17	9.624	0.005	17	8.753	0.005	17	5.882	0.006	1	3.407	0.007	17	9.556	0.005	17	8.703	0.006	17	5.78	0.006	1	3.343	0.008	17	9.507	0.005	17	8.67	0.006	17	5.723	0.006	1	3.313	0.009	17	9.469	0.006	17	8.647	0.006	17	5.691	0.006	1	3.302	0.01	17	9.44	0.006	17	8.629	0.006	17	5.672	0.006	1	3.297	0.012	17	0.51	23.64	0.84	10	9.476	0.005	17	23.64	0.84	10	8.65	0.006	17	23.64	0.84	10	5.696	0.006	1	26.03	0.87	10	3.481	0.007	17
ESO103-035	82	0.238856	141.465063	279.584583	-65.4275	J183820.32-652539.1	279.5846827	-65.4275519	9.691	0.023	5.723	8.121	0.02	2.352	4.367	0.014	3.675	1.518	0.02	0.9489	h000	5	AAAA	9.699	0.006	1	0.261	8.144	0.005	1	0.319	4.386	0.005	1	0.825	1.481	0.006	1	0.576	10.38	0.006	0	8.919	0.006	0	5.819	0.005	0	2.549	0.006	1	9.96	0.006	1	8.463	0.005	1	5.211	0.005	1	2.057	0.006	1	9.781	0.006	1	8.282	0.005	1	4.876	0.005	1	1.774	0.006	1	9.69	0.006	1	8.205	0.005	1	4.685	0.005	1	1.629	0.006	1	9.633	0.006	1	8.166	0.005	1	4.576	0.005	1	1.568	0.006	1	9.594	0.006	1	8.142	0.005	17	4.515	0.005	1	1.54	0.006	1	9.563	0.006	1	8.125	0.005	17	4.481	0.005	1	1.53	0.006	1	9.537	0.006	1	8.112	0.006	17	4.462	0.005	1	1.526	0.006	1	0.23	27.5	0.41	35	9.608	0.006	1	27.5	0.41	35	8.176	0.005	17	27.5	0.41	35	4.633	0.005	1	33.48	0.54	35	1.751	0.006	1
ESO121-IG028	83	0.547805	-141.816921	95.94	-60.978889	J062345.55-605844.4	95.9398061	-60.9790085	11.575	0.023	32.470001	11.105	0.02	8.483	8.375	0.019	1.093	5.877	0.035	0.9592	dd00	5	AAAA	11.431	0.006	0	0.261	11.005	0.008	0	0.319	8.308	0.009	0	0.825	5.825	0.022	1	0.576	12.261	0.006	0	11.881	0.009	0	9.751	0.011	0	6.905	0.023	1	11.692	0.006	0	11.324	0.008	0	9.133	0.009	0	6.401	0.022	1	11.369	0.006	0	11.029	0.008	0	8.778	0.009	0	6.105	0.023	17	11.15	0.006	0	10.84	0.008	0	8.561	0.009	0	5.955	0.025	17	10.97	0.006	1	10.69	0.008	1	8.424	0.009	1	5.892	0.03	17	10.779	0.006	1	10.537	0.008	1	8.332	0.01	1	5.865	0.036	17	10.538	0.006	17	10.358	0.008	1	8.265	0.01	1	5.858	0.044	17	10.29	0.006	17	10.177	0.008	1	8.213	0.011	1	5.864	0.053	17	0.19	23.54	0.69	85	10.606	0.006	1	23.54	0.69	85	10.419	0.008	1	23.54	0.69	85	8.323	0.01	1	26.56	0.76	85	6.072	0.023	17
ESO137-34	84	0.783335	-80.423594	248.80875	-58.08	J163514.00-580447.8	248.8083442	-58.0799638	10.261	0.079	2.548	9.696	0.045	2.574	6.115	0.017	2.502	3.064	0.019	1.082	hh00	4	AAAA	8.679	0.006	17	0.261	8.326	0.006	1	0.319	5.929	0.007	1	0.825	3.057	0.009	1	0.576	9.903	0.007	1	9.625	0.007	1	7.423	0.008	1	4.152	0.01	1	8.94	0.006	17	8.645	0.006	1	6.754	0.007	1	3.633	0.009	1	8.26	0.006	17	7.952	0.006	1	6.347	0.007	1	3.318	0.009	1	7.833	0.006	17	7.524	0.006	1	6.085	0.006	1	3.136	0.01	1	7.598	0.006	17	7.3	0.006	1	5.912	0.006	1	3.035	0.011	1	7.481	0.006	17	7.193	0.006	1	5.789	0.007	1	2.974	0.013	1	7.416	0.006	17	7.136	0.006	17	5.693	0.007	1	2.94	0.014	1	7.371	0.006	17	7.1	0.006	17	5.613	0.007	1	2.921	0.017	1	0.9	56.55	0.87	30	7.099	0.007	17	56.55	0.87	30	6.879	0.006	17	56.55	0.87	30	5.161	0.01	1	58.83	0.88	30	2.849	0.015	1
ESO139-G012	85	0.475188	-27.922313	264.412917	-59.940833	J173739.07-595626.5	264.4127933	-59.9407167	10.018	0.022	10.7	9.347	0.019	3.801	6.713	0.015	2.396	4.522	0.025	1.648	dh00	5	AAAA	10.006	0.006	0	0.261	9.357	0.006	0	0.319	6.673	0.006	0	0.825	4.36	0.013	1	0.576	10.734	0.006	0	10.162	0.006	0	8.153	0.007	0	5.504	0.014	0	10.267	0.006	0	9.676	0.006	0	7.498	0.006	0	4.936	0.013	1	10.03	0.006	0	9.451	0.006	0	7.1	0.006	0	4.587	0.013	1	9.877	0.006	0	9.324	0.006	0	6.835	0.006	0	4.387	0.014	1	9.762	0.006	0	9.236	0.006	0	6.645	0.006	0	4.28	0.015	1	9.668	0.007	0	9.165	0.006	0	6.499	0.006	0	4.22	0.018	1	9.587	0.007	1	9.105	0.006	1	6.385	0.006	1	4.187	0.021	1	9.514	0.007	1	9.051	0.006	1	6.296	0.006	1	4.169	0.024	1	0.17	32.84	0.79	25	9.382	0.007	1	32.84	0.79	25	8.961	0.006	1	32.84	0.79	25	6.184	0.007	1	34.55	0.81	25	4.309	0.015	1
