#Name	cntr_01	dist_x	pang_x	ra_01	dec_01	designation	ra	dec	w1mpro	w1sigmpro	w1rchi2	w2mpro	w2sigmpro	w2rchi2	w3mpro	w3sigmpro	w3rchi2	w4mpro	w4sigmpro	w4rchi2	cc_flags	ext_flg	ph_qual	w1mag	w1sigm	w1flg	w1mcor	w2mag	w2sigm	w2flg	w2mcor	w3mag	w3sigm	w3flg	w3mcor	w4mag	w4sigm	w4flg	w4mcor	w1mag_1	w1sigm_1	w1flg_1	w2mag_1	w2sigm_1	w2flg_1	w3mag_1	w3sigm_1	w3flg_1	w4mag_1	w4sigm_1	w4flg_1	w1mag_2	w1sigm_2	w1flg_2	w2mag_2	w2sigm_2	w2flg_2	w3mag_2	w3sigm_2	w3flg_2	w4mag_2	w4sigm_2	w4flg_2	w1mag_3	w1sigm_3	w1flg_3	w2mag_3	w2sigm_3	w2flg_3	w3mag_3	w3sigm_3	w3flg_3	w4mag_3	w4sigm_3	w4flg_3	w1mag_4	w1sigm_4	w1flg_4	w2mag_4	w2sigm_4	w2flg_4	w3mag_4	w3sigm_4	w3flg_4	w4mag_4	w4sigm_4	w4flg_4	w1mag_5	w1sigm_5	w1flg_5	w2mag_5	w2sigm_5	w2flg_5	w3mag_5	w3sigm_5	w3flg_5	w4mag_5	w4sigm_5	w4flg_5	w1mag_6	w1sigm_6	w1flg_6	w2mag_6	w2sigm_6	w2flg_6	w3mag_6	w3sigm_6	w3flg_6	w4mag_6	w4sigm_6	w4flg_6	w1mag_7	w1sigm_7	w1flg_7	w2mag_7	w2sigm_7	w2flg_7	w3mag_7	w3sigm_7	w3flg_7	w4mag_7	w4sigm_7	w4flg_7	w1mag_8	w1sigm_8	w1flg_8	w2mag_8	w2sigm_8	w2flg_8	w3mag_8	w3sigm_8	w3flg_8	w4mag_8	w4sigm_8	w4flg_8	xscprox	w1rsemi	w1ba	w1pa	w1gmag	w1gerr	w1gflg	w2rsemi	w2ba	w2pa	w2gmag	w2gerr	w2gflg	w3rsemi	w3ba	w3pa	w3gmag	w3gerr	w3gflg	w4rsemi	w4ba	w4pa	w4gmag	w4gerr	w4gflg
2MASXJ03342453-1513402	11	0.299904	-32.217603	53.602083	-15.227778	J033424.48-151339.7	53.6020373	-15.2277073	11.354	0.026	2.351	10.662	0.023	1.365	7.188	0.02	1.366	4.776	0.041	0.8838	0	4	AAAA	11.309	0.006	1	0.261	10.591	0.006	1	0.319	7.091	0.007	1	0.825	4.664	0.017	1	0.576	11.996	0.006	1	11.383	0.006	1	8.529	0.008	1	5.738	0.018	1	11.57	0.006	1	10.91	0.006	1	7.916	0.007	1	5.24	0.017	1	11.404	0.006	1	10.72	0.006	1	7.582	0.007	1	4.946	0.018	1	11.337	0.006	1	10.643	0.006	1	7.395	0.007	1	4.78	0.02	1	11.306	0.006	1	10.607	0.006	1	7.291	0.008	1	4.682	0.023	1	11.289	0.006	17	10.586	0.006	1	7.234	0.008	1	4.607	0.026	1	11.276	0.006	17	10.571	0.006	1	7.201	0.009	1	4.555	0.03	1	11.263	0.006	17	10.558	0.006	1	7.177	0.009	1	4.525	0.035	1	0.88	9.97	0.84	-75	11.501	0.006	1	9.97	0.84	-75	10.836	0.006	1	9.97	0.84	-75	7.793	0.007	1	15.25	0.93	-75	5.371	0.017	1
2MASXJ03502377-5018354	12	0.450297	-92.520242	57.599167	-50.31	J035023.75-501836.0	57.598971	-50.3100055	12.38	0.023	11.56	12.128	0.021	3.312	8.409	0.019	2.502	5.793	0.035	1.632	hh00	5	AAAA	12.232	0.006	0	0.261	11.976	0.008	0	0.319	8.301	0.008	0	0.825	5.403	0.02	17	0.576	12.997	0.006	0	12.84	0.009	0	9.767	0.01	0	6.641	0.025	1	12.493	0.006	0	12.295	0.008	0	9.126	0.008	0	5.979	0.02	17	12.229	0.006	0	12.006	0.008	0	8.754	0.008	0	5.476	0.018	17	12.039	0.006	0	11.798	0.008	0	8.507	0.008	0	5.067	0.016	17	11.852	0.006	1	11.58	0.008	1	8.303	0.008	1	4.776	0.016	17	11.619	0.006	1	11.28	0.007	1	8.085	0.008	1	4.601	0.017	17	11.299	0.006	1	10.853	0.007	1	7.824	0.007	1	4.496	0.018	17	10.886	0.006	1	10.348	0.006	1	7.532	0.007	1	4.435	0.021	17	0.61	10.84	0.83	35	12.323	0.006	0	10.84	0.83	35	12.109	0.008	0	10.84	0.83	35	8.89	0.008	0	16.03	0.93	35	6.09	0.021	17
2MASXJ03534246+3714077	13	0.729953	-28.246171	58.427083	37.235278	J035342.47+371407.6	58.4269628	37.2354564	10.996	0.024	14.73	10.537	0.021	4.073	7.207	0.017	2.938	4.807	0.03	0.7658	0	5	AAAA	11.013	0.006	0	0.261	10.541	0.006	0	0.319	7.19	0.013	0	0.825	4.785	0.022	1	0.576	11.756	0.006	0	11.361	0.006	0	8.637	0.015	0	5.853	0.023	1	11.274	0.006	0	10.86	0.006	0	8.015	0.013	0	5.361	0.022	1	11.055	0.006	1	10.636	0.006	1	7.668	0.012	1	5.078	0.023	1	10.941	0.006	1	10.529	0.006	1	7.466	0.012	1	4.928	0.026	1	10.872	0.006	1	10.468	0.006	1	7.347	0.013	1	4.853	0.03	1	10.827	0.006	1	10.43	0.006	1	7.275	0.014	1	4.813	0.036	1	10.796	0.006	1	10.405	0.006	1	7.231	0.015	1	4.796	0.043	1	10.772	0.006	1	10.387	0.007	1	7.204	0.017	1	4.792	0.051	1	0.14	12.84	0.76	75	11.044	0.006	0	12.84	0.76	75	10.631	0.007	0	12.84	0.76	75	7.659	0.012	0	17.8	0.88	75	5.353	0.018	1
2MASXj03540948+0249307	14	0.655303	-125.142557	58.539583	2.825278	J035409.46+024930.6	58.5394343	2.825173	11.283	0.023	2.632	10.226	0.019	2.007	7.094	0.017	0.893	4.544	0.027	0.8895	0	0	AAAA	11.28	0.006	17	0.261	10.24	0.006	17	0.319	7.102	0.008	0	0.825	4.595	0.024	1	0.576	11.933	0.006	0	11.004	0.006	0	8.516	0.009	0	5.662	0.025	1	11.541	0.006	17	10.559	0.006	17	7.927	0.008	0	5.171	0.024	1	11.392	0.006	17	10.385	0.006	17	7.604	0.008	1	4.885	0.025	1	11.325	0.006	17	10.313	0.006	17	7.424	0.008	1	4.735	0.028	1	11.288	0.006	17	10.277	0.006	17	7.326	0.008	1	4.673	0.034	1	11.264	0.006	17	10.256	0.006	17	7.273	0.009	1	4.639	0.04	1	11.247	0.006	17	10.241	0.006	17	7.245	0.01	1	4.618	0.048	17	11.233	0.007	17	10.23	0.007	17	7.228	0.011	1	4.603	0.057	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2MASXJ04234080+0408017	15	0.572036	-109.365207	65.92	4.133889	J042340.76+040801.8	65.9198497	4.1338362	10.911	0.023	2.705	9.66	0.02	1.216	6.582	0.017	1.163	3.971	0.025	0.5654	0	4	AAAA	10.886	0.006	0	0.261	9.646	0.006	0	0.319	6.605	0.006	0	0.825	3.941	0.011	1	0.576	11.547	0.006	0	10.414	0.006	0	8.024	0.007	0	5.009	0.011	1	11.147	0.006	0	9.965	0.006	0	7.43	0.006	0	4.517	0.011	1	10.987	0.006	1	9.788	0.006	1	7.103	0.006	1	4.232	0.011	1	10.911	0.006	1	9.715	0.006	1	6.917	0.006	1	4.088	0.012	1	10.865	0.006	1	9.677	0.006	1	6.813	0.007	1	4.026	0.014	1	10.829	0.006	1	9.653	0.006	1	6.754	0.007	1	3.996	0.017	1	10.798	0.006	1	9.634	0.006	1	6.722	0.007	1	3.981	0.02	1	10.775	0.006	17	9.621	0.006	1	6.704	0.008	1	3.973	0.023	1	0.63	13.27	0.79	50	10.961	0.006	1	13.27	0.79	50	9.766	0.006	1	13.27	0.79	50	7.049	0.006	1	18.07	0.89	50	4.487	0.011	1
2MASXJ04440903+2813003	16	0.387061	127.424701	71.0375	28.216944	J044409.02+281300.7	71.0375969	28.2168791	9.906	0.023	25.790001	9.429	0.02	10.97	6.474	0.016	5.657	4.407	0.029	1.082	0	5	AAAA	9.858	0.006	0	0.261	9.414	0.006	0	0.319	6.487	0.009	0	0.825	4.346	0.018	1	0.576	10.636	0.006	0	10.265	0.006	0	7.961	0.011	0	5.44	0.019	1	10.119	0.006	0	9.733	0.006	0	7.312	0.009	0	4.922	0.018	1	9.85	0.006	0	9.47	0.006	0	6.938	0.009	0	4.624	0.018	1	9.684	0.006	0	9.32	0.006	0	6.711	0.009	0	4.472	0.021	1	9.568	0.006	0	9.219	0.006	0	6.57	0.009	0	4.407	0.024	1	9.477	0.006	1	9.142	0.006	1	6.481	0.01	1	4.375	0.029	1	9.399	0.006	1	9.078	0.006	1	6.422	0.01	1	4.359	0.035	1	9.328	0.006	1	9.02	0.006	17	6.38	0.011	1	4.35	0.041	1	0.42	35.7	0.64	55	9.265	0.006	1	35.7	0.64	55	8.969	0.006	17	35.7	0.64	55	6.339	0.013	1	38.04	0.69	55	4.428	0.023	1
2MASXJ05020903+0331499	17	0.726935	96.270801	75.5375	3.530556	J050209.04+033149.9	75.5377011	3.5305335	11.453	0.024	11.12	11.066	0.021	2.714	8.572	0.026	1.056	6.142	0.055	1.055	0	5	AAAA	11.39	0.006	0	0.261	11.026	0.008	0	0.319	8.513	0.02	0	0.825	6.131	0.079	1	0.576	12.127	0.006	0	11.842	0.009	0	9.954	0.025	0	7.199	0.083	1	11.651	0.006	0	11.345	0.008	0	9.338	0.02	0	6.707	0.079	1	11.431	0.006	0	11.123	0.008	0	8.994	0.019	0	6.397	0.082	1	11.313	0.006	0	11.013	0.009	0	8.788	0.019	0	6.224	0.091	1	11.241	0.006	0	10.95	0.009	0	8.658	0.021	0	6.137	0.107	1	11.191	0.006	1	10.91	0.01	1	8.571	0.022	1	6.08	0.126	1	11.156	0.006	1	10.884	0.011	1	8.512	0.024	1	6.043	0.148	1	11.131	0.006	1	10.866	0.012	1	8.477	0.027	1	6.028	0.175	1	0.15	13.05	0.82	-55	11.389	0.006	0	13.05	0.82	-55	11.085	0.008	0	13.05	0.82	-55	8.927	0.019	0	17.57	0.9	-55	6.695	0.079	1
2MASXJ05054575-2351139	18	0.396102	102.550963	76.440417	-23.853889	J050545.72-235114.0	76.4405341	-23.8539128	11.66	0.023	3.331	10.37	0.02	1.642	6.942	0.015	1.419	4.567	0.026	0.807	0	1	AAAA	11.656	0.006	1	0.261	10.378	0.006	1	0.319	6.948	0.006	0	0.825	4.566	0.014	1	0.576	12.331	0.006	0	11.153	0.006	0	8.365	0.007	0	5.629	0.015	1	11.917	0.006	1	10.697	0.006	1	7.773	0.006	0	5.142	0.014	1	11.747	0.006	1	10.517	0.006	1	7.449	0.006	1	4.857	0.015	1	11.662	0.006	1	10.442	0.006	1	7.266	0.006	1	4.711	0.016	1	11.611	0.006	1	10.404	0.006	1	7.164	0.006	1	4.652	0.019	1	11.576	0.006	1	10.381	0.007	1	7.106	0.006	1	4.628	0.023	1	11.547	0.006	1	10.365	0.007	1	7.074	0.007	1	4.624	0.028	1	11.522	0.006	1	10.353	0.007	1	7.055	0.007	1	4.626	0.034	17	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
2MASXJ05580206-3820043	19	0.863588	48.478705	89.508333	-38.334722	J055802.05-382004.4	89.5085623	-38.3345632	8.633	0.023	1.425	7.438	0.02	1.033	4.822	0.014	1.247	2.91	0.021	0.805	0	4	AAAA	8.65	0.005	0	0.261	7.453	0.005	0	0.319	4.848	0.005	0	0.825	2.916	0.006	1	0.576	9.287	0.005	0	8.215	0.005	0	6.267	0.005	0	3.987	0.006	0	8.911	0.005	0	7.772	0.005	0	5.673	0.005	0	3.492	0.006	1	8.776	0.005	0	7.603	0.005	0	5.348	0.005	0	3.203	0.006	1	8.721	0.005	0	7.536	0.005	0	5.165	0.005	0	3.054	0.006	1	8.695	0.005	0	7.504	0.005	0	5.065	0.005	0	2.991	0.007	1	8.679	0.005	0	7.485	0.005	0	5.01	0.005	0	2.964	0.007	1	8.667	0.005	0	7.473	0.005	0	4.98	0.005	0	2.953	0.008	1	8.658	0.005	1	7.463	0.005	1	4.963	0.005	0	2.948	0.009	17	0.16	11.94	0.67	-45	8.834	0.005	0	11.94	0.67	-45	7.679	0.005	0	11.94	0.67	-45	5.495	0.005	0	17.46	0.83	-45	3.537	0.006	0
2MASXJ06411806+3249313	20	0.353796	129.915586	100.325	32.825556	J064118.02+324931.7	100.3250897	32.8254925	11.66	0.022	0.9393	10.551	0.019	1.008	7.352	0.016	0.9607	4.937	0.035	0.939	0	0	AAAA	11.615	0.007	1	0.261	10.542	0.007	1	0.319	7.348	0.012	1	0.825	4.999	0.045	1	0.576	12.291	0.007	1	11.316	0.007	1	8.764	0.015	1	6.055	0.047	1	11.876	0.007	1	10.861	0.007	1	8.173	0.012	1	5.575	0.045	1	11.681	0.007	1	10.674	0.007	1	7.851	0.012	1	5.303	0.048	1	11.565	0.007	1	10.588	0.007	1	7.672	0.012	1	5.174	0.055	1	11.5	0.007	1	10.545	0.007	1	7.575	0.013	1	5.131	0.067	1	11.468	0.007	1	10.522	0.008	1	7.522	0.015	1	5.111	0.082	1	11.451	0.008	1	10.51	0.009	1	7.496	0.016	1	5.104	0.1	1	11.441	0.009	1	10.502	0.009	1	7.483	0.019	1	5.109	0.12	1	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
