Name,RA_(J2000),DEC_(J2000),RA_deg,DEC_deg,Redshift,Dist_[Mpc],BAT_Type
1RXSJ044154.5-082639,04h41m54.1s,-08d26m34s,70.47541667,-8.442777778,0.044,194.7667351,Sy 1
1RXSJ045205.0+493248,04h52m05.0s,+49d32m45s,73.02083333,49.54583333,0.029,126.9623967,Sy 1
2E1739.1-1210,17h41m55.3s,-12d11m57s,265.4804167,-12.19916667,0.037,162.94605,Sy 1
2MASSJ07594181-3843560,07h59m41.7s,-38d43m57s,119.92375,-38.7325,0.04,176.5453557,Sy 1.2
2MASSJ17485512-3254521,17h48m55.1s,-32d54m52s,267.2295833,-32.91444444,0.02,86.97319195,Sy 1
2MASXiJ1802473-145454,18h02m47.3s,-14d54m55s,270.6970833,-14.91527778,0.0034,14.59966892,Sy 1
2MASXJ00253292+6821442,00h25m32.9s,+68d21m44s,6.387083333,68.36222222,0.012,51.86889568,Sy 2
2MASXJ01064523+0638015,01h06m45.3s,+06d38m02s,16.68875,6.633888889,0.041,181.0911818,Sy 2
2MASXJ01073963-1139117,01h07m39.6s,-11d39m12s,16.915,-11.65333333,0.047459,210.6053425,Sy 2 Double Source
2MASXJ03305218+0538253,03h30m52.2s,+05d38m26s,52.7175,5.640555556,0.046,203.91543,Sy 1
2MASXJ03342453-1513402,03h34m24.5s,-15d13m40s,53.60208333,-15.22777778,0.034938,153.6320709,Sy 1.5
2MASXJ03502377-5018354,03h50m23.8s,-50d18m36s,57.59916667,-50.31,0.036492,160.6489124,Sy 2
2MASXJ03534246+3714077,03h53m42.5s,+37d14m07s,58.42708333,37.23527778,0.018646,81.00245744,Sy 2
2MASXj03540948+0249307,03h54m09.5s,+02d49m31s,58.53958333,2.825277778,0.036,158.4256956,Sy 1
2MASXJ04234080+0408017,04h23m40.8s,+04d08m02s,65.92,4.133888889,0.045,199.3379212,Sy 2
2MASXJ04440903+2813003,04h44m09.0s,+28d13m01s,71.0375,28.21694444,0.011268,48.67774271,Sy 2
2MASXJ05020903+0331499,05h02m09.0s,+03d31m50s,75.5375,3.530555556,0.01599,69.32496001,Sy 1
2MASXJ05054575-2351139,05h05m45.7s,-23d51m14s,76.44041667,-23.85388889,0.035041,154.0966737,Sy 2 HII
2MASXJ05580206-3820043,05h58m02.0s,-38d20m05s,89.50833333,-38.33472222,0.03387,148.8186348,Sy 1
2MASXJ06411806+3249313,06h41m18.0s,+32d49m32s,100.325,32.82555556,0.047,208.4992543,Sy 2
2MASXJ06561197-4919499,06h56m12.0s,-49d19m50s,104.05,-49.33055556,0.041002,181.1002798,Sy 2
2MASXJ07262635-3554214,07h26m26.4s,-35d54m22s,111.61,-35.90611111,0.029404,128.7697285,Sy 2
2MASXJ07595347+2323241,07h59m53.5s,+23d23m24s,119.9729167,23.39,0.029183,127.7809342,Sy 2
2MASXJ08032736+0841523,08h03m27.4s,+08d41m52s,120.8641667,8.697777778,0.0468,207.5819846,Sy 1
2MASXJ09023729-4813339,09h02m37.3s,-48d13m34s,135.6554167,-48.22611111,0.0391,172.4595476,Sy 1
2MASXJ09043699+5536025,09h04m36.9s,+55d36m03s,136.15375,55.60083333,0.037142,163.5884577,Sy 1
2MASXJ09235371-3141305,09h23m53.7s,-31d41m31s,140.97375,-31.69194444,0.042366,187.3110411,Sy 1.9
2MASXJ09254750+6927532,09h25m47.5s,+69d27m53s,141.4479167,69.46472222,0.039,172.0058871,Sy 1
2MASXJ09360622-6548336,09h36m06.3s,-65d48m33s,144.02625,-65.80916667,0.03922,173.0040243,Sy 1.8
2MASXJ09594263-3112581,09h59m42.6s,-31d12m58s,149.9275,-31.21611111,0.037,162.94605,Sy 1
2MASXJ10402231-4625264,10h40m22.5s,-46d25m26s,160.09375,-46.42388889,0.023923,104.3396383,Sy 2
2MASXJ11454045-1827149,11h45m40.5s,-18d27m16s,176.41875,-18.45444444,0.032949,144.6735842,Sy 1
2MASXJ12005792+0648226,12h00m57.9s,+06d48m23s,180.24125,6.806388889,0.036045,158.6289744,Sy 2
2MASXJ12313717-4758019,12h31m37.2s,-47d58m02s,187.905,-47.96722222,0.027652,120.9395932,Sy 1
2MASXJ12335145-2103448,12h33m51.4s,-21d03m45s,188.4641667,-21.0625,0.023036,100.4043152,Sy 1 (58 month)
2MASXJ12475784-5829599,12h47m57.8s,-58d30m00s,191.9908333,-58.5,0.028,122.4933211,Sy 1.9
2MASXJ13411287-1438407,13h41m12.9s,-14d38m41s,205.30375,-14.64472222,0.04179,184.6868749,Sy 1
2MASXJ13512953-1813468,13h51m29.5s,-18d13m47s,207.8729167,-18.22972222,0.012218,52.81994512,Sy 1 NL
2MASXJ14080674-3023537,14h08m06.8s,-30d23m54s,212.0283333,-30.39833333,0.023456,102.2670803,Sy 1.4
2MASXJ14530794+2554327,14h53m07.9s,+25d54m33s,223.2829167,25.90916667,0.0465,206.2065531,Sy 1
2MASXJ15064412+0351444,15h06m44.1s,+03d51m44s,226.68375,3.862222222,0.0377,166.1140937,Sy 2
2MASXJ15115979-2119015,15h11m59.8s,-21d19m02s,227.9991667,-21.31722222,0.044607,197.5406906,Sy 1 NL
2MASXJ15462424+6929102,15h46m24.3s,+69d29m10s,236.60125,69.48611111,0.037389,164.7061915,Sy 1.9
2MASXJ16481523-3035037,16h48m15.3s,-30d35m04s,252.06375,-30.58444444,0.031,135.919844,Sy 1
2MASXJ18570768-7828212,18h57m07.8s,-78d28m21s,284.2825,-78.4725,0.042,185.6433584,Sy 1
2MASXJ19373299-0613046,19h37m33.0s,-06d13m05s,294.3875,-6.218055556,0.010254,44.26301761,Sy 1.5
2MASXJ19380437-5109497,19h38m04.4s,-51d09m50s,294.5183333,-51.16388889,0.040018,176.6271244,Sy 1.2
2MASXJ20005575-1810274,20h00m55.7s,-18d10m27s,300.2320833,-18.17416667,0.037119,163.484397,Sy 1 Merger
2MASXJ20101740+4800214,20h10m17.4s,+48d00m21s,302.5725,48.00583333,0.025628,111.9184465,Sy 2
2MASXJ20183871+4041003,20h18m38.7s,+40d41m00s,304.66125,40.68333333,0.0144,62.35630841,Sy 2
2MASXJ21090996-0940147,21h09m10.0s,-09d40m15s,317.2916667,-9.670833333,0.026515,115.8686308,Sy 1.2 LINER
2MASXJ21355399+4728217,21h35m54.0s,+47d28m22s,323.975,47.47277778,0.025,109.1247701,Sy 1
2MASXJ23272195+1524375,23h27m22.0s,+15d24m37s,351.8416667,15.41027778,0.045717,202.6193539,Sy 1
2MFGC02280,02h50m42.6s,+54d42m18s,42.6775,54.705,0.015154,65.65888097,Sy 2
3C111.0,04h18m21.3s,+38d01m36s,64.58875,38.02666667,0.0485,215.3868174,Sy 1
3C120,04h33m11.1s,+05d21m16s,68.29625,5.354444444,0.03301,144.9479527,Sy 1
4U1344-60,13h47m36.0s,-60d37m04s,206.9,-60.61777778,0.012879,55.70553482,Sy 1.5
6dFJ0626586-370559,06h26m58.6s,-37d05m59s,96.74416667,-37.09972222,0.038517,169.8156027,Sy 1.5
6dFJ2132022-334254,21h32m02.2s,-33d42m54s,323.0091667,-33.715,0.029974,131.321462,Sy 1
Ark120,05h16m11.4s,-00d08m59s,79.0475,-0.149722222,0.032713,143.6123175,Sy 1
ARK241,10h21m40.2s,-03d27m14s,155.4175,-3.453888889,0.040845,180.3861627,Sy 1
ARK347,12h04m29.7s,+20d18m58s,181.12375,20.31611111,0.022445,97.78507352,Sy 2
ARP102B,17h19m14.5s,+48d58m49s,259.8104167,48.98027778,0.024167,105.4230778,Sy 1 LINER
ARP151,11h25m36.2s,+54d22m57s,171.4008333,54.3825,0.021091,91.7928419,Sy 1
AXJ1737.4-2907,17h37m28.4s,-29d08m03s,264.3683333,-29.13416667,0.0214,93.15929812,Sy 1
CenA,13h25m27.6s,-43d01m09s,201.365,-43.01916667,0.001825,3.57,Sy 2
CGCG102-048,13h44m15.7s,+19d34m00s,206.0654167,19.56666667,0.027065,118.3205621,Sy 1.9
CGCG122-055,09h42m04.8s,+23d41m07s,145.52,23.68527778,0.021371,93.03102831,Sy 1
CGCG229-015,19h05m25.9s,+42d27m40s,286.3579167,42.46111111,0.027879,121.9529996,Sy 1
CGCG300-062,17h43m17.4s,+62d50m21s,265.8225,62.83916667,0.032999,144.8984746,Sy 2
CGCG312-012,09h29m37.9s,+62d32m39s,142.4079167,62.54416667,0.025611,111.842788,Sy 2
CGCG319-007,15h19m33.7s,+65d35m59s,229.8904167,65.59972222,0.044,194.7667351,Sy 1.9
CGCG341-006,18h45m26.2s,+72d11m02s,281.3591667,72.18388889,0.0463,205.2899145,Sy 2
CGCG367-009,16h19m19.3s,+81d02m48s,244.8304167,81.04666667,0.023917,104.3130012,Sy 2
CGCG420-015,04h53m25.8s,+04d03m42s,73.3575,4.061666667,0.02939,128.7070806,Sy 2
CGCG468-002NED01,05h08m19.7s,+17d21m48s,77.08208333,17.36333333,0.017505,75.98025031,Sy 2
CGCG493-002,21h38m33.4s,+32d05m06s,324.6391667,32.085,0.0248,108.2355992,Sy 1.5
CGCG535-012,00h36m21.0s,+45d39m54s,9.0875,45.665,0.047643,211.4499862,Sy 1.2
ESO005-G004,06h05m41.6s,-86d37m55s,91.42333333,-86.63194444,0.006228,22,Sy 2
ESO031-G008,03h07m35.3s,-72d50m03s,46.89708333,-72.83416667,0.027619,120.7922975,Sy 1.2
ESO033-G002,04h55m59.0s,-75d32m28s,73.99583333,-75.54111111,0.0181,78.59813509,Sy 2
ESO103-035,18h38m20.3s,-65d25m39s,279.5845833,-65.4275,0.013286,57.48371287,Sy 2
ESO121-IG028,06h23m45.6s,-60d58m44s,95.94,-60.97888889,0.040521,178.9129383,Sy 2
ESO137-34,16h35m14.1s,-58d04m48s,248.80875,-58.08,0.009144,39.43807052,Sy 2
ESO139-G012,17h37m39.1s,-59d56m27s,264.4129167,-59.94083333,0.017018,73.839261,Sy 2
ESO141-G055,19h21m14.1s,-58d40m13s,290.30875,-58.67027778,0.037109,163.4391543,Sy 1
ESO157-G023,04h22m24.2s,-56d13m33s,65.60083333,-56.22583333,0.04353,192.6204637,Sy 2
ESO195-IG021NED03,01h00m35.0s,-47d52m04s,15.14583333,-47.86777778,0.048247,214.224121,Sy 1.8
ESO197-G027,02h10m52.5s,-49d41m55s,32.71875,-49.69861111,0.04809,213.5028085,Sy 2
ESO198-024,02h38m19.7s,-52d11m33s,39.58208333,-52.1925,0.0455,201.6258857,Sy 1
ESO209-G012,08h01m58.0s,-49d46m42s,120.4916667,-49.77833333,0.040495,178.7947455,Sy 1.5
ESO244-IG030,01h29m51.2s,-42d19m35s,22.46333333,-42.32638889,0.025598,111.7849327,Sy 2
ESO263-G013,10h09m48.2s,-42d48m40s,152.4508333,-42.81111111,0.033537,147.3193088,Sy 2
ESO297-018,01h38m37.2s,-40d00m41s,24.655,-40.01138889,0.025227,110.1342922,Sy 2
ESO323-077,13h06m26.1s,-40d24m53s,196.60875,-40.41472222,0.015014,65.0453904,Sy 1.2
ESO362-18,05h19m35.8s,-32d39m28s,79.89916667,-32.65777778,0.012445,53.81058898,Sy 1.5
ESO374-G044,10h13m19.9s,-35d58m58s,153.3329167,-35.98277778,0.028453,124.5170147,Sy 2
