Name,RA_(J2000),DEC_(J2000),Redshift,Dist_[Mpc],BAT_Type,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PMW,PMW_err,PLW,PLW_err,BAT_flux,L_X
2MASXJ06561197-4919499,06h56m12.0s,-49d19m50s,0.041002,181.1002798,Sy 2,0.259185275,0.015562386000000001,0.125976378,0.022875059,0.110329544,0.020531357,0.0,0.090739469,0.0,0.069256105,1.2199999999999999e-11,4.78850318643394e+43
2MASXJ07262635-3554214,07h26m26.4s,-35d54m22s,0.029404000000000003,128.76972849999999,Sy 2,1.1128446570000001,0.059029122,0.0,0.699665284,0.0,0.33652222299999995,0.0,0.346295575,0.0,0.21900192100000002,2.34e-11,4.643496525590141e+43
2MASXJ07595347+2323241,07h59m53.5s,+23d23m24s,0.029182999999999997,127.78093419999999,Sy 2,2.310934376,0.119616076,4.9433541530000005,0.250313595,2.139119329,0.208871505,0.9068618979999999,0.09066479300000001,0.314319224,0.03402586,3.45e-11,6.741443830998111e+43
2MASXJ08032736+0841523,08h03m27.4s,+08d41m52s,0.0468,207.5819846,Sy 1,0.0,0.079177093,0.0,0.11232192,0.0,0.06263218400000001,0.0,0.066732002,0.0,0.049926139,1.73e-11,8.92127917591648e+43
2MASXJ09023729-4813339,09h02m37.3s,-48d13m34s,0.0391,172.4595476,Sy 1,0.092385964,0.010113543000000001,0.0,0.800918817,0.0,1.4663319330000002,0.0,1.6829293319999998,0.0,1.005474072,2.9399999999999997e-11,1.046462145584801e+44
2MASXJ09043699+5536025,09h04m36.9s,+55d36m03s,0.037142,163.5884577,Sy 1,0.18113854,0.010170494,0.0,0.129970076,0.054565353,0.007185575,0.0,0.038539198,0.0,0.043903387,1.52e-11,4.868000467655927e+43
2MASXJ09235371-3141305,09h23m53.7s,-31d41m31s,0.042366,187.31104109999998,Sy 1.9,0.10951674300000001,0.006748633,0.0,0.163251927,0.0,0.078750225,0.0,0.051862135999999996,0.0,0.090966202,1.92e-11,8.0617567823807295e+43
2MASXJ09254750+6927532,09h25m47.5s,+69d27m53s,0.039,172.0058871,Sy 1,0.08592937699999999,0.008628537,0.0,0.200130024,0.0,0.233097325,0.0,0.062061976,0.0,0.077829703,9.23e-12,3.268060074616079e+43
2MASXJ09360622-6548336,09h36m06.3s,-65d48m33s,0.03922,173.0040243,Sy 1.8,0.0,0.074269746,0.0,0.118357345,0.0,0.052205902,0.0,0.073000489,0.0,0.069204935,1.2999999999999999e-11,4.656477092538448e+43
2MASXJ09594263-3112581,09h59m42.6s,-31d12m58s,0.037000000000000005,162.94605,Sy 1,0.281769333,0.01802662,0.270397371,0.026960012999999998,0.197218397,0.024654661,0.0,0.082262166,0.0,0.06621517,1.72e-11,5.465348103901297e+43
