Name,IP_dist,IP12,IP12_err,IP25,IP25_err,IP60,IP60_err,IP100,IP100_err
ESO578-G009,,,,,,,,,
Fairall1146,15.627979,,,0.597,0.0597,1.09,0.0981,,
Fairall272,37.474482,,,,,0.835,0.09185,,
Fairall49,6.789399,0.592,0.04144,1.37,0.1096,3.21,0.2889,4.25,0.425
Fairall51,46.312253,0.381,0.03048,0.861,0.24108,2,0.16,2.62,0.524
Fairall9,,,,,,,,,
HB890241+622,6.548272,0.593,0.04744,,,,,,
IC0486,5.506686,,,0.438,0.05256,0.986,0.07888,,
IC1657,10.296833,,,,,2.77,0.3324,7.64,0.9168
IC1816,4.815526,,,0.423,0.02961,1.42,0.0994,2.4,0.144
IC2461,7.994996,,,,,1.28,0.1152,3.2,0.32
IC2637,5.896607,,,,,1.95,0.2145,3.42,0.4104
IC2921,,,,,,,,,
IC4329A,33.692193,1.05,0.063,2.25,0.18,2.04,0.1836,1.62,0.162
IC4518A,18.058501,0.34,0.0272,1.32,0.0924,7.77,0.6216,14,1.12
IC4709,4.9941,,,,,0.701,0.0701,,
IC5063,4.333144,1.16,0.0812,3.84,0.2688,5.98,0.7176,4.43,0.3987
IGRJ11366-6002,33.304596,0.587,0.04109,0.398,0.03582,0.85,0.0935,,
IGRJ23308+7120,,,,,,,,,
IISZ010,,,,,,,,,
IIZw083,9.279958,0.375,0.03,0.913,0.08217,1.12,0.1008,1.68,0.168
IRAS03219+4031,14.230566,,,,,1.29,0.1161,,
IRAS04124-0803,8.178282,,,0.537,0.0537,0.661,0.05949,,
IRAS05078+1626,7.060372,,,1.33,0.1197,1.33,0.1064,,
IRAS05218-1212,23.453001,,,0.322,0.02898,,,,
IRAS05589+2828,13.053262,,,0.688,0.1376,1.03,0.1133,,
KAZ320,,,,,,,,,
KUG1141+371,,,,,,,,,
KUG1208+386,,,,,,,,,
LCRSB034324.7-394349,,,,,,,,,
LCRSB232242.2-384320,5.639633,,,,,,,1.67,0.1837
LEDA138501,,,,,,,,,
LEDA170194,37.935839,,,,,,,1.38,0.1242
LEDA214543,,,,,,,,,
LEDA38038,2.724168,0.309,0.02781,0.937,0.06559,1.92,0.1344,,
M106,,,,,,,,,
MCG-01-05-047,17.005698,,,,,1.8,0.198,4.75,0.6175
MCG-01-09-045,,,,,,,,,
MCG-01-13-025,,,,,,,,,
MCG-01-24-012,11.323808,,,,,,,1.11,0.1221
MCG-01-30-041,4.039401,,,,,1.38,0.1518,2.18,0.3924
MCG-01-33-063,,,,,,,,,
MCG-01-40-001,11.356353,,,,,1.97,0.1773,3.61,0.3249
MCG-02-02-095,,,,,,,,,
MCG-02-08-014,,,,,,,,,
MCG-02-08-038,,,,,,,,,
MCG-02-12-050,2.752929,,,,,0.688,0.04816,1.72,0.1204
MCG-02-14-009,12.78945,,,,,0.434,0.04774,,
MCG-03-04-072,,,,,,,,,
MCG-03-34-064,15.948786,0.887,0.09757,2.79,0.279,5.71,0.7423,5.81,0.7553
MCG-05-23-016,,,,,,,,,
MCG-06-30-015,37.344737,0.402,0.02814,0.805,0.07245,1.12,0.0896,,
MCG-07-03-007,,,,,,,,,
MCG+00-09-042,3.051251,,,,,2.57,0.2313,5.11,0.4599
MCG+01-57-016,9.763088,,,,,0.858,0.07722,1.43,0.1144
MCG+02-21-013,6.156252,,,,,0.568,0.06816,,
MCG+02-57-002,,,,,,,,,
MCG+04-22-042,,,,,,,,,
MCG+04-48-002,10.816092,0.58,0.058,1.06,0.0848,11.2,1.008,17.6,1.76
MCG+05-03-013,14.764391,,,,,0.95,0.1235,,
MCG+05-28-032,7.642598,,,,,0.672,0.07392,1.16,0.116
MCG+06-16-028,15.227167,0.242,0.03388,0.699,0.06291,2.25,0.225,3.16,0.2844
MCG+06-24-008,10.073959,,,,,0.6,0.132,1.31,0.131
MCG+06-49-019,,,,,,,,,
