Name,PACS70,PACS70_err,PACS160,PACS160_err,PSW,PSW_err,PSW_flag,PMW,PMW_err,PMW_flag,PLW,PLW_err,PLW_flag
2MASXJ18570768-7828212,0.34948785,0.018752913,0.356083689,0.03096538,0.195235952,0.023600866,A,0,0.1029706,U,0,0.086126661,U
2MASXJ19373299-0613046,3.587559723,0.183705774,4.963942213,0.271667169,1.900515726,0.133043746,A,0.700113831,0.056822573,A,0.203329034,0.029320955,A
2MASXJ19380437-5109497,0.077916779,0.010140477,0.211094216,0.023789344,0.21842109,0.035020317,A,0.092529055,0.017031078,A,0,0.042457115,U
2MASXJ20005575-1810274,0.886354591,0.046215542,0.696158552,0.061629865,0.26882897,0.032496508,A,0.172323177,0.025021536,A,0,0.063603489,U
2MASXJ20101740+4800214,0.198223735,0.01151012,0.352082399,0.033449402,0.17591,0.03160974,A,0,0.0972365,U,0,0.088477774,U
2MASXJ20183871+4041003,0,0.371069243,0,0.611111434,0,4.475630926,UC,0,3.16866679,UC,0,1.648379128,UC
2MASXJ21090996-0940147,0.307347255,0.018176661,0.228519791,0.03007486,0.155967594,0.012305276,AC,0.0853403,0.012137743,AC,0,0.108639315,UC
2MASXJ21355399+4728217,0.518364395,0.036793504,0.74938918,0.099929798,0.408288433,0.065892641,AC,0,0.243943682,UC,0,0.17588992,UC
2MASXJ23272195+1524375,0.134769115,0.009111597,0.24713247,0.024314192,0.17136102,0.011250573,A,0.142150003,0.01035839,A,0.149597278,0.012201813,A
2MFGC02280,1.541255897,0.080588742,2.062762738,0.136917085,0.701597295,0.062103493,A,0.278574624,0.04378577,A,0,0.278046363,U
3C111.0,0.266283454,0.016951288,0.531878906,0.061945973,0.573093975,0.032868339,AC,0.737190762,0.041967443,AC,0.882948821,0.050144536,AC
3C120,1.368109096,0.070052045,1.509334123,0.102327557,0.635646782,0.03552003,A,0.466934155,0.026639192,A,0.437941906,0.025530188,A
4U1344-60,2.04024662,0.116356578,0,0.155876524,0,2.14101769,UC,0,1.656853177,UC,0,1.29503662,UC
6dFJ0626586-370559,0.209494359,0.012810317,0.442123528,0.032302947,0.236705528,0.014631265,A,0.10832369,0.009019617,A,0.060563334,0.011073761,A
6dFJ2132022-334254,0.078977599,0.007340631,0,0.081826912,0,0.073849117,U,0,0.088735614,U,0,0.060523504,U
Ark120,0.68491298,0.038676385,1.175719942,0.097058752,0.605411057,0.053600054,A,0.301743168,0.037427155,A,0,0.10621272,U
ARK241,0.081042439,0.005204836,0,0.1780683,0.145160486,0.021229632,A,0.090306493,0.017368232,A,0,0.076023627,U
ARK347,0.364732939,0.019009589,0.497467183,0.030096558,0.253915667,0.015167669,A,0.116404006,0.009164261,A,0,0.076336092,U
ARP102B,0.102834469,0.008521684,0,0.132532985,0.050061961,0.00633139,A,0,0.083123202,U,0,0.115593273,U
ARP151,0,0.048471896,0,0.070142904,0,0.061960687,U,0,0.053053037,U,0,0.063230585,U
AXJ1737.4-2907,0.451376505,0.029428845,0,0.617487659,0,2.557798099,UC,0,2.05417299,UC,0,1.445259835,UC
CenA,400.576,20.0305102,732.884,36.64687606,301.3315411,21.13803562,A,123.5265003,9.057324393,A,48.11237055,3.648022824,A
CGCG102-048,0.052120999,0.007810032,0,0.147456092,0.224645317,0.0330632,A,0.165215843,0.030840633,A,0,0.081347505,U
CGCG122-055,0.650671466,0.040379173,0.57190077,0.039036268,0.225515981,0.013659648,A,0.11046485,0.009974595,A,0,0.05008223,U
CGCG229-015,0.147645505,0.009333784,0.270280081,0.022021445,0.148809823,0.010226071,A,0.080265944,0.007902816,A,0,0.081942765,U
CGCG300-062,0.101696038,0.00632634,0.286005832,0.021149347,0.234140956,0.026632899,Ad,0.112316904,0.018268412,Ad,0,0.08178358,Ud
CGCG312-012,0.071459854,0.005576721,0.189163878,0.027399176,0.093773594,0.008178926,A,0.04376906,0.007200686,A,0,0.06208933,U
