Name,IF_dist,IF12,IF12_err,IF25,IF25_err,IF60,IF60_err,IF100,IF100_err
ESO565-G019,4.639212,0.146,0.02482,0.381,0.04191,2.49,0.1494,,
ESO578-G009,,,,,,,,,
Fairall1146,,,,,,,,,
Fairall272,25.914799,,,0.197,0.03349,,,,
Fairall49,1.67584,0.623,0.04361,1.39,0.0834,3.23,0.1615,,
Fairall51,4.569604,,,1.04,0.052,1.84,0.1472,,
Fairall9,,,,,,,,,
HB890241+622,,,,,,,,,
IC0486,16.398212,,,0.407,0.04884,0.933,0.05598,,
IC1657,25.132109,,,0.273,0.05187,2.77,0.1939,,
IC1816,1.171709,0.161,0.01771,0.393,0.02358,1.39,0.0556,,
IC2461,6.298035,,,,,1.18,0.0708,,
IC2637,20.822709,,,,,1.75,0.1225,,
IC2921,,,,,,,,,
IC4329A,2.648196,1.08,0.054,2.21,0.1105,2.03,0.1015,,
IC4518A,21.662695,0.345,0.0276,1.31,0.0786,,,,
IC4709,20.276403,,,0.241,0.03133,,,,
IC5063,10.73014,1.07,0.1284,3.91,0.1955,5.34,0.534,,
IGRJ11366-6002,,,,,,,,,
IGRJ23308+7120,,,,,,,,,
IISZ010,,,,,,,,,
IIZw083,3.130048,0.394,0.03546,0.913,0.07304,1.16,0.0812,,
IRAS03219+4031,,,,,,,,,
IRAS04124-0803,9.637168,0.189,0.02646,0.521,0.04168,0.634,0.05706,,
IRAS05078+1626,5.748602,0.392,0.03528,1.34,0.0938,,,,
IRAS05218-1212,41.643256,,,0.3,0.027,0.456,0.05016,,
IRAS05589+2828,,,,,,,,,
KAZ320,,,,,,,,,
KUG1141+371,,,,,,,,,
KUG1208+386,,,,,,,,,
LCRSB034324.7-394349,13.734883,,,,,0.24,0.0336,,
LCRSB232242.2-384320,7.007542,,,,,0.584,0.07008,,
LEDA138501,,,,,,,,,
LEDA170194,52.589028,,,,,0.426,0.05112,,
LEDA214543,,,,,,,,,
LEDA38038,,,,,,,,,
M106,,,,,,,,,
MCG-01-05-047,16.668481,,,,,1.88,0.1316,,
MCG-01-09-045,,,,,,,,,
MCG-01-13-025,,,,,,,,,
MCG-01-24-012,14.837673,,,0.381,0.04191,0.654,0.05886,,
MCG-01-30-041,24.855489,,,,,1.31,0.1048,,
MCG-01-33-063,,,,,,,,,
