Name,_r,_RAJ2000,_DEJ2000,RA2000,DE2000,GLON,GLAT,SGLON,SGLAT,name,altname,desig,PGC,type,typesr,T,e_T,lumcl,e_lumcl,o_lumcl,D25,u_D25,e_D25,R25,u_R25,e_R25,Do,Ae,e_Ae,PA,BT,BT_code,e_BT,Bmag,e_Bmag,BoT,m'25,e_m'25,m'e,e_m'e,mFIR,m21,e_m21,B-VT,e_B-VT,B-Ve,e_B-Ve,B-VoT,U-BT,e_U-BT,U-Be,e_U-Be,U-BoT,HI,Ai,A21,Ag,W20,e_W20,W50,e_W50,V21,e_V21,cz,e_cz,VGSR,V3K
ESO244-IG030,0.188,22.4657,-42.3238,12951.7,-421926,278.12,-72.9,256.24,-16.87,,ESO244-30,IRAS01276-4235,PGC5584,.P.....,S,99.0,,,,,1.05,,0.05,0.34,,0.04,1.06,,,44.0,14.6,,0.2,14.76,0.21,,,,,,12.88,,,0.65,0.08,,,,0.02,0.09,,,,,0.51,0.17,0.03,,,,,,,7572.0,63.0,7498.0,7375.0
ESO263-G013,0.205,152.4548,-42.8131,100949.1,-424847,273.98,10.79,159.96,-40.55,,ESO263-13,FAIR427,PGC29565,.SXT3..,S,3.0,0.8,,,,1.09,,0.05,0.11,,0.05,1.16,,,14.0,,,,14.89,0.21,13.97,,,,,,,,,,,,,,,,,,,0.15,0.06,0.7,,,,,,,9980.0,190.0,9755.0,10256.0
ESO297-018,0.083,24.6565,-40.0113,13837.5,-400041,268.72,-73.83,258.83,-18.27,,ESO297-18,IRAS01363-4016,PGC6078,.S..1*/,S,1.0,1.2,,,,1.21,,0.04,0.53,,0.04,1.21,,,143.0,,,,14.24,0.21,,,,,,13.3,,,,,,,,,,,,,,0.54,0.27,0.03,,,,,,,,,,
ESO323-077,0.126,196.6116,-40.4139,130626.7,-402450,306.02,22.37,156.28,-7.99,,ESO323-77,IRAS13035-4008,PGC45371,RLXT0..,Sr,-2.2,0.6,,,,1.17,,0.05,0.17,,0.04,1.19,,,155.0,,,,13.56,0.21,13.09,,,,,11.34,,,,,,,,,,,,,,0.0,,0.4,,,,,,,4477.0,17.0,4311.0,4743.0
ESO362-18,0.046,79.8986,-32.6583,51935.6,-323930,236.02,-32.57,254.05,-62.54,,ESO362-18,IRAS05177-3242,PGC17103,.SBS0*P,S,-0.3,0.7,,,,1.08,,0.05,0.19,,0.04,1.07,,,160.0,,,,13.78,0.21,13.58,,,,,12.83,,,,,,,,,,,,,,0.14,,0.0,,,,,,,3773.0,20.0,3603.0,3796.0
ESO374-G044,0.02,153.3332,-35.9831,101319.9,-355859,270.4,16.71,150.96,-41.62,,ESO374-44,FAIR1149,PGC29778,PSBT1*.,Sr,1.1,0.6,,,,1.06,,0.05,0.14,,0.04,1.1,,,112.0,,,,15.0,0.21,14.35,,,,,,,,,,,,,,,,,,,0.15,0.07,0.4,,,,,,,8530.0,14.0,8310.0,8830.0
ESO417-G006,0.03,44.0903,-32.1858,25621.6,-321109,231.11,-62.49,267.92,-33.76,,ESO417-6,,PGC11104,RSA.0?.,r,-0.1,1.7,,,,1.05,,0.06,0.04,,0.04,1.05,,,130.0,,,,14.25,0.21,14.15,,,,,,,,,,,,,,,,,,,0.03,,0.0,,,,,,,4884.0,24.0,4792.0,4729.0
ESO426-G002,0.104,95.9415,-32.2161,62345.9,-321258,239.93,-19.5,228.35,-72.03,,ESO426-2,IRAS06219-3211,PGC18948,PSBR0..,Sr,-0.1,0.5,,,,1.19,,0.05,0.03,,0.05,1.2,0.68,0.03,,14.36,,0.14,14.28,0.21,,15.11,0.31,13.25,0.1,,,,0.95,0.02,1.07,0.02,,0.37,0.02,0.51,0.02,,,0.02,,0.11,,,,,,,,,,
ESO439-G009,0.067,171.8474,-29.2586,112723.3,-291531,281.73,30.13,141.74,-26.46,,ESO439-9,IRAS11249-2859,PGC35241,RSBR1P*,Sr,1.0,1.8,,,,1.21,,0.04,0.63,,0.03,1.23,,,99.0,,,,14.71,0.21,13.71,,,,,,,,,,,,,,,,,,,0.64,0.31,0.27,,,,,,,7454.0,99.0,7263.0,7784.0
ESO464-G016,0.099,315.6008,-28.1741,210224.1,-281027,17.63,-39.76,241.73,36.37,,ESO464-16,,PGC65953,.SBR3?P,S,3.0,0.9,,,,1.22,,0.04,0.61,,0.03,1.26,,,22.0,,,,15.19,0.21,13.81,,,,,,,,,,,,,,,,,,,0.84,0.3,0.46,,,,,,,10938.0,,10994.0,10693.0
ESO479-G031,0.045,41.199,-24.5147,24447.7,-243053,213.48,-64.41,276.95,-31.07,,ESO479-31,,PGC10398,.LBS0..,S,-2.0,0.8,,,,1.03,,0.05,0.16,,0.04,1.01,,,150.0,,,,14.71,0.21,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,
ESO499-G041,0.205,151.4844,-23.0572,100556.2,-230326,260.42,25.84,133.55,-44.57,,ESO499-41,,PGC29323,RLBR+*.,r,-1.3,1.0,,,,1.02,,0.06,0.28,,0.03,0.99,,,93.0,,,,14.52,0.21,,,,,,,,,,,,,,,,,,,,0.0,,0.13,,,,,,,,,,
ESO506-G027,0.028,189.727,-27.3081,123854.4,-271829,299.51,35.48,142.05,-10.62,,ESO506-27,,PGC42287,.L.+*P/,S,-1.0,1.2,,,,1.14,,0.04,0.5,,0.03,1.1,,,70.0,,,,14.55,0.21,,,,,,,,,,,,,,,,,,,,0.0,,0.36,,,,,,,,,,
ESO511-G030,0.136,214.8449,-26.6428,141922.7,-263834,326.23,32.22,148.33,10.85,A1416-26,ESO511-30,IRAS14165-2625,PGC51169,.SAT5P.,PS,5.0,0.5,1.7,0.6,2.0,1.4,,0.03,0.15,,0.04,1.43,,,,,,,13.3,0.21,12.71,,,,,13.48,,,,,,,,,,,,,,0.23,0.08,0.32,,,,,,,6683.0,59.0,6584.0,6924.0
ESO533-G050,0.063,338.7075,-25.678,223449.7,-254041,27.79,-59.47,259.39,22.39,,ESO533-50,,PGC69216,RSBR0..,Sr,-0.1,0.5,,,,1.19,,0.04,0.04,,0.03,1.19,,,104.0,,,,14.04,0.21,13.87,,,,,,,,,,,,,,,,,,,0.03,,0.02,,,,,,,7928.0,52.0,7981.0,7627.0
ESO548-G081,0.061,55.5144,-21.2444,34203.4,-211440,213.83,-50.83,281.88,-44.08,,ESO548-81,IRAS03398-2124,PGC13590,.SBT1P?,S,1.0,1.1,,,,1.22,,0.04,0.14,,0.03,1.23,,,,,,,12.83,0.21,12.6,,,,,13.38,,,,,,,,,,,,,,0.14,0.07,0.04,,,,,,,4341.0,60.0,4249.0,4219.0
ESO553-G043,0.051,81.6127,-21.2864,52627.0,-211711,223.95,-27.78,278.21,-68.3,,ESO553-43,,PGC17287,.L...+P,S,-1.0,0.8,,,,1.03,,0.05,0.08,,0.03,1.03,,,,,,,14.79,0.21,,,,,,,,,,,,,,,,,,,,0.0,,0.14,,,,,,,,,,
ESO565-G019,0.095,143.6832,-21.9283,93443.9,-215542,253.87,21.68,132.11,-51.8,,ESO565-19,IRAS09324-2142,PGC27227,.E?....,,,,,,,1.05,,0.05,0.24,,0.03,1.0,,,171.0,13.66,,0.13,13.63,0.21,,13.32,0.31,,,12.06,,,0.85,0.01,,,,,,,,,,0.0,,0.14,,,,,,,,,,
Fairall51,0.093,281.2272,-62.3636,184454.4,-622149,333.2,-23.09,205.25,11.9,,ESO140-43,FAIR51,PGC62346,PSBS3*.,Sr,2.8,0.4,5.6,1.3,1.0,1.21,,0.04,0.28,,0.04,1.24,,,162.0,14.7,,0.2,14.11,0.21,13.66,14.88,0.3,,,12.52,,,0.72,0.02,,,0.51,-0.21,0.05,,,-0.35,,0.38,0.14,0.35,,,,,,,4207.0,16.0,4115.0,4178.0
Fairall9,0.083,20.9403,-58.8044,12345.6,-584816,295.07,-57.83,238.98,-17.1,,ESO113-45,FAIR9,PGC5106,,,,,,,,0.9,,0.07,0.07,,0.06,0.9,0.08,0.04,111.0,13.5,v,0.2,14.05,0.21,13.55,,,9.34,0.1,,,,0.32,0.03,0.18,0.03,,-0.85,0.03,-0.93,0.03,,,,,0.0,,,,,,,13834.0,17.0,13718.0,13708.0
IC0486,0.186,120.0852,26.6159,80020.4,263657,194.9,26.1,47.2,-44.8,IC486,UGC4155,IRAS07572+2645,PGC22445,.SB.1..,U,1.0,0.9,,,,0.97,,0.07,0.11,,0.05,0.98,,,145.0,,,,14.6,0.18,14.33,,,,,,15.81,0.3,,,,,,,,,,,1.42,0.12,0.06,0.05,,,376.0,7.0,8057.0,10.0,,,7999.0,8249.0
IC1657,0.079,18.5307,-32.6505,11407.3,-323902,262.63,-82.61,265.64,-12.33,IC1657,ESO352-24,IRAS01117-3254,PGC4440,RSBS4*.,BSr,3.7,0.4,2.2,0.5,1.0,1.37,,0.04,0.63,,0.04,1.37,,,170.0,,,,13.15,0.21,12.19,,,,,11.83,,,,,,,,,,,,,,0.92,0.31,0.02,,,,,,,3552.0,19.0,3516.0,3309.0
IC1816,0.082,37.964,-36.6713,23151.3,-364017,243.42,-66.74,262.86,-28.58,IC1816,ESO355-25,FAIR1090,PGC9634,.SBR2P?,BS,2.4,0.6,,,,1.16,,0.04,0.07,,0.04,1.16,,,,,,,13.83,0.21,13.66,,,,,12.79,,,,,,,,,,,,,,0.09,0.04,0.03,,,,,,,5176.0,20.0,5086.0,5008.0
IC2461,0.027,139.9923,37.1909,91958.1,371127,186.28,44.72,58.37,-27.05,IC2461,UGC4943,IRAS09168+3724,PGC26390,.S..3..,U,3.0,0.9,3.5,1.2,1.0,1.37,,0.04,0.75,,0.05,1.37,,,143.0,,,,14.8,0.2,13.74,,,,,12.72,,,,,,,,,,,,,,1.04,0.38,0.0,,,,,,,2265.0,19.0,2246.0,2491.0
IC2637,0.042,168.457,9.587,111349.6,93513,245.6,61.06,99.34,-21.13,IC2637,UGC6259,MK732,PGC34199,.E+..P.,F,-4.0,0.9,,,,0.92,,0.07,0.03,,0.05,0.92,,,70.0,,,,14.04,0.18,13.89,,,,,12.43,,,,,,,,,,,,,,0.0,,0.02,,,,,,,8768.0,29.0,8670.0,9115.0
IC4329A,0.05,207.3312,-30.3098,134919.4,-301835,317.5,30.92,149.24,3.35,IC4329A,ESO445-50,IRAS13464-3003,PGC49051,.LA.+*/,PS,-0.7,0.8,,,,1.14,,0.05,0.56,,0.03,1.07,0.51,0.07,45.0,14.0,,0.2,13.78,0.21,13.67,13.17,0.32,12.01,0.24,12.66,,,0.97,0.03,1.01,0.01,0.86,0.28,0.06,0.32,0.03,0.25,,0.0,,0.15,,,,,,,4793.0,27.0,4668.0,5056.0
IC5063,0.072,313.0092,-57.07,205202.1,-570412,339.99,-38.73,222.28,13.26,IC5063,ESO187-23,IRAS20481-5715,PGC65600,.LAS+*.,RS,-0.8,0.4,,,,1.33,,0.04,0.17,,0.04,1.33,0.95,0.02,116.0,12.89,,0.13,12.86,0.15,12.58,13.99,0.25,13.13,0.08,11.5,14.95,0.3,1.02,0.01,1.06,0.01,0.93,0.43,0.02,0.4,0.01,0.38,2.37,0.0,,0.25,537.0,21.0,502.0,15.0,3380.0,12.0,3408.0,24.0,3326.0,3260.0
LEDA38038,0.125,180.6965,-53.834,120247.1,-535002,295.71,8.35,168.65,-20.3,,,,PGC38038,.LB.0?P,S,-2.0,1.2,,,,1.2,,0.09,0.35,,0.08,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.08,,,,,,,,,,
M106,0.077,184.7416,47.3045,121857.9,471816,138.32,68.84,68.74,5.55,NGC4258,UGC7353,VV448,PGC39600,.SXS4..,R,4.0,0.3,3.5,0.5,2.0,2.27,,0.01,0.41,,0.02,2.27,1.62,0.02,150.0,9.1,M,0.07,9.29,0.15,8.53,14.28,0.1,12.61,0.05,9.43,10.76,0.1,0.69,0.03,0.77,0.03,0.55,,,,,,2.03,0.6,0.2,0.0,436.0,5.0,416.0,4.0,448.0,3.0,480.0,13.0,510.0,657.0
MCG-01-05-047,0.018,28.2045,-3.4469,15249.0,-32649,157.36,-62.14,297.02,-14.84,,MCG-1-5-47,IRAS01503-0341,PGC6966,.SAS5?/,E,5.0,0.8,,,,1.46,,0.04,0.86,,0.05,1.46,,,,,*,,,,,,,,,12.32,,,,,,,,,,,,,,1.28,0.43,0.07,,,,,5018.0,,,,5050.0,4742.0
MCG-01-13-025,0.027,72.9232,-3.8097,45141.5,-34835,201.94,-28.26,314.64,-57.43,,MCG-1-13-25,,PGC16185,.LXS+P*,E,-1.0,0.9,,,,1.14,,0.08,0.26,,0.08,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.1,,,,,,,,,,
MCG-01-24-012,0.069,140.1936,-8.0569,92046.4,-80325,239.78,28.07,108.63,-53.58,,MCG-1-24-12,,PGC26440,.SXT5*.,E,5.0,0.9,3.1,1.2,1.0,1.13,,0.06,0.25,,0.05,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.12,0.1,,,,,5892.0,,,,5714.0,6207.0
MCG-01-40-001,0.649,233.3254,-8.7,153318.0,-84200,356.27,36.89,138.99,34.42,,MCG-1-40-1,IRAS15306-0832,PGC55410,.S?....,,,,,,,1.12,,0.08,0.46,,0.07,1.16,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,0.56,0.23,0.51,,,,,6983.0,,,,6982.0,7144.0
MCG-02-08-014,0.043,43.0978,-8.5111,25223.4,-83040,185.56,-55.89,295.7,-30.44,,MCG-2-8-14,,PGC10875,.S..1?/,E,0.5,1.3,,,,1.14,,0.05,0.75,,0.04,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.37,0.14,,,,,5029.0,,,,5006.0,4825.0
MCG-05-23-016,0.049,146.9165,-30.9492,94739.9,-305657,262.74,17.23,145.49,-47.86,,ESO434-40,,PGC28144,.L?....,,,,,,,1.05,,0.05,0.34,,0.03,1.05,0.5,0.21,50.0,,*,,14.07,0.21,13.54,,,11.84,0.71,,,,,,0.97,0.02,,,,0.47,0.04,,,0.0,,0.49,,,,,,,2482.0,42.0,2263.0,2785.0
MCG-06-30-015,0.064,203.9753,-34.295,133554.0,-341742,313.29,27.68,152.05,-0.66,,ESO383-35,IRAS13329-3402,PGC47969,.S?....,,,,,,,0.98,,0.06,0.22,,0.05,0.99,0.48,0.2,116.0,13.7,,0.4,13.86,0.21,13.33,12.89,0.51,11.57,0.7,,,,,,0.84,0.02,,,,0.35,0.03,,,0.34,0.11,0.12,,,,,,,2354.0,40.0,2213.0,2618.0
MCG+01-57-016,0.06,340.0712,8.0547,224017.0,80317,76.17,-42.6,295.49,34.51,,UGC12138,,PGC69449,.SB.1..,U,1.0,0.9,,,,0.92,,0.07,0.08,,0.05,0.95,,,,,,,14.24,0.19,13.79,,,,,,,,,,,,,,,,,,,0.08,0.04,0.28,,,,,,,7487.0,50.0,7650.0,7132.0
MCG+05-03-013,0.035,12.8953,29.4008,5134.8,292403,122.97,-33.47,324.75,8.37,,UGC524,,PGC3019,PSBS3..,U,3.0,0.9,,,,0.95,,0.07,0.0,,0.05,0.97,,,,,,,14.4,0.18,14.12,,,,,,16.56,0.2,,,,,,,,,,,2.44,0.0,0.0,0.2,272.0,7.0,255.0,5.0,10779.0,7.0,10781.0,46.0,10934.0,10475.0
MCG+06-16-028,0.08,108.5173,35.2803,71404.1,351649,182.49,19.57,31.44,-38.81,,UGC3752,IRAS07107+3521,PGC20450,.S?....,,,,,,,0.67,,0.1,0.07,,0.05,0.7,,,,,,,14.8,0.3,14.39,,,,,12.37,17.0,0.3,,,,,,,,,,,2.58,0.09,0.03,0.25,,,128.0,5.0,4705.0,9.0,4657.0,155.0,4689.0,4826.0
MCG+06-24-008,0.056,161.204,38.1803,104448.9,381049,182.22,61.33,69.49,-13.87,,UGC5856,IRAS10419+3826,PGC32071,.S?....,,,,,,,0.91,,0.07,0.64,,0.05,0.91,,,97.0,,,,15.3,0.2,14.23,,,,,13.61,,,,,,,,,,,,,,0.95,0.32,0.0,,,,,,,7759.0,,7757.0,8015.0
MCG+06-49-019,0.02,336.7746,36.3616,222705.8,362142,93.02,-17.99,330.8,38.82,,UGC12040,,PGC68893,RLB.0..,U,-2.0,0.8,,,,1.11,,0.07,0.11,,0.03,1.16,,,175.0,,,,14.3,0.16,,,,,,,,,,,,,,,,,,,,0.0,,0.56,,,,,,,,,,
MCG+08-11-011,0.081,88.7248,46.4403,55453.9,462625,165.73,10.41,14.95,-26.39,,UGC3374,IRAS05511+4625,PGC18078,.SB?...,,,,,,,1.32,,0.05,0.15,,0.06,1.48,,,90.0,15.0,v,0.2,,,13.03,16.08,0.37,10.13,0.25,12.08,15.15,0.1,0.88,0.01,0.68,0.02,0.44,-0.29,0.03,-0.69,0.04,-0.6,2.05,0.22,0.07,1.66,417.0,16.0,,,6141.0,7.0,6189.0,46.0,6191.0,6155.0
Mrk10,0.033,116.8714,60.9331,74729.1,605559,155.99,30.21,32.93,-12.64,A0743+61,UGC4013,MK10,PGC21810,.S..3..,U,3.0,0.8,3.5,1.1,1.0,1.25,,0.03,0.38,,0.04,1.27,0.99,0.07,130.0,13.34,,0.19,13.95,0.18,12.88,13.49,0.27,13.78,0.25,13.14,14.7,0.1,0.68,0.04,0.66,0.02,0.45,-0.42,0.09,-0.44,0.04,-0.59,1.63,0.53,0.19,0.19,,,508.0,15.0,8753.0,12.0,8720.0,29.0,8826.0,8822.0
Mrk1018,0.045,31.5674,-0.2917,20616.1,-1730,159.82,-57.7,301.13,-17.21,,UGC1597,MK1018,PGC8029,.L.....,U,-2.0,0.8,,,,1.04,,0.11,0.14,,0.05,1.02,,,0.0,,,,14.3,0.15,14.1,,,,,,,,,,,,,,,,,,,0.0,,0.01,,,,,,,12702.0,34.0,12734.0,12437.0
Mrk1210,0.057,121.0252,5.1142,80406.0,50651,216.7,18.48,67.2,-63.06,,UGC4203,MK1210,PGC22641,.S?....,,,,,,,0.91,,0.18,0.0,,0.12,0.92,,,,,,,14.34,0.18,14.21,,,,,12.76,16.69,0.3,,,,,,,,,,,2.48,0.0,0.0,0.07,,,62.0,7.0,4046.0,10.0,4035.0,60.0,3910.0,4279.0
Mrk1310,0.058,180.3107,-3.6778,120114.5,-34040,279.54,56.9,116.38,-13.93,,CGCG13-24,MK1310,PGC37916,.E.....,F,-5.0,0.9,,,,,,,,,,,,,,,,,14.49,0.18,14.33,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,5830.0,49.0,5711.0,6183.0
Mrk1392,0.022,226.4858,3.707,150556.5,34225,2.75,50.26,122.16,32.47,,CGCG48-115,MK1392,PGC53898,,,,,,,,,,,,,,,,,,,,,15.2,0.4,14.93,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,10833.0,47.0,10852.0,11025.0
Mrk18,0.109,135.4947,60.1534,90158.7,600912,155.76,39.37,41.86,-9.94,A0858+60,UGC4730,MK18,PGC25370,.S?....,,,,,,,0.94,,0.07,0.45,,0.05,0.96,,,93.0,,,,14.6,0.3,13.68,,,,,12.42,,,,,,,,,,,,,,0.66,0.22,0.21,,,,,,,3235.0,45.0,3307.0,3351.0
Mrk198,0.106,182.3107,47.0573,120914.5,470326,142.75,68.41,68.46,3.9,A1206+47,MCG8-22-73,MK198,PGC38613,RLX.0P.,P,-2.0,0.9,,,,0.9,,0.17,0.0,,0.07,0.9,,,,,,,14.97,0.15,14.86,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,7183.0,59.0,7239.0,7394.0
Mrk202,0.139,184.479,58.6576,121754.9,583927,131.14,57.93,57.73,8.66,A1215+58,CGCG293-9,MK202,PGC39472,,,,,,,,,,,,,,,,,,,,,16.0,0.2,15.91,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,6300.0,110.0,6396.0,6448.0
Mrk279,0.119,208.2583,69.3081,135301.9,691829,115.04,46.87,47.77,19.79,A1351+69,UGC8823,MK279,PGC49321,.L.....,RU,-2.0,0.4,,,,0.94,,0.06,0.23,,0.03,0.91,,,33.0,,,,14.57,0.17,14.43,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,9176.0,34.0,9323.0,9241.0
Mrk290,0.091,233.9713,57.9026,153553.0,575409,91.49,47.95,55.76,34.03,A1534+58,,MK290,PGC55551,.E.1.$.,P,-5.0,1.8,,,,,,,,,,,,,,15.21,,0.15,,,15.07,,,,,,,,0.62,0.03,,,0.53,-0.75,0.05,,,-0.7,,,,0.01,,,,,,,8867.0,45.0,9028.0,8918.0
Mrk3,0.191,93.9,71.0344,61536.0,710204,143.3,22.72,23.26,-2.99,A0609+71B,UGC3426,MK3,PGC18722,.L...*.,U,-2.0,1.1,,,,1.26,,0.13,0.06,,0.08,1.31,0.23,0.03,,14.03,M,0.08,13.55,0.17,13.39,15.06,0.69,10.6,0.12,11.92,15.37,0.1,1.06,0.01,1.14,0.01,0.91,0.18,0.03,0.16,0.02,0.09,1.98,0.0,,0.49,424.0,16.0,258.0,15.0,3998.0,6.0,4030.0,24.0,4124.0,3994.0
Mrk335,0.028,1.5816,20.2025,619.5,201209,108.76,-41.42,313.36,16.5,A0003+19,,MK335,PGC473,,,,,,,,0.5,,0.14,0.0,,0.12,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,7688.0,31.0,7846.0,7347.0
Mrk348,0.117,12.1949,31.9555,4846.7,315720,122.27,-30.91,327.13,9.53,NGC262,UGC499,MK348,PGC2855,.SAS0*.,R,0.0,0.4,,,,1.03,,0.08,0.0,,0.06,1.05,0.91,0.06,,13.9,,0.19,14.68,0.2,13.94,13.89,0.47,13.94,0.21,12.89,14.38,0.1,0.84,0.04,0.91,0.02,0.74,0.14,0.06,0.23,0.04,0.11,0.44,0.0,,0.26,91.0,7.0,66.0,5.0,4507.0,4.0,4719.0,46.0,4669.0,4209.0
Mrk352,0.095,14.9703,31.8266,5952.8,314936,125.02,-31.01,327.56,7.21,A0057+31,CGCG501-58,MK352,PGC3575,.LA....,R,-2.0,0.5,,,,,,,,,,,,,,,,,14.8,0.5,14.49,,,,,,16.32,0.2,,,,,,,,,,,1.83,,,0.24,242.0,6.0,229.0,6.0,4456.0,6.0,4466.0,32.0,4611.0,4163.0
Mrk359,0.082,21.8853,19.1775,12732.4,191039,134.6,-42.88,317.1,-2.28,A0124+18,UGC1032,MK359,PGC5435,.P.....,R,99.0,,,,,0.78,,0.09,0.08,,0.05,0.8,0.27,0.03,10.0,14.16,,0.13,14.0,0.29,,,,11.0,0.09,12.98,,,0.7,0.01,0.68,0.01,,-0.08,0.04,-0.21,0.02,,,0.1,0.04,0.13,,,,,,,5043.0,36.0,5155.0,4746.0
Mrk417,0.06,162.3778,22.965,104930.6,225754,214.72,62.14,83.71,-20.85,A1046+23,,MK417,PGC32398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,9820.0,31.0,9761.0,10132.0
Mrk477,0.203,220.1612,53.5015,144038.6,533005,93.03,56.82,63.64,28.18,A1439+53,CGCG273-23,MK477,PGC52436,.S...*P,R,,,,,,0.62,,0.11,0.11,,0.12,0.62,,,,,,,15.4,0.2,15.23,,,,,12.93,,,,,,,,,,,,,,,,0.0,,,,,,,11379.0,28.0,11511.0,11484.0
Mrk50,0.086,185.852,2.6786,122324.4,24043,286.4,64.65,111.7,-6.86,A1220+02,,MK50,PGC40220,,,,,,,,,,,,,,,0.52,0.07,,15.0,,0.3,,,14.89,,,13.09,0.17,,,,,,0.64,0.03,,,,-0.14,0.06,,,,,0.0,,,,,,,7025.0,72.0,6937.0,7366.0
Mrk590,0.048,33.6407,-0.7667,21433.7,-4600,163.5,-56.94,301.27,-19.33,NGC863,UGC1727,MK590,PGC8586,.SAS1*.,UE,1.3,0.7,,,,1.03,,0.03,0.03,,0.04,1.04,,,,,,,13.85,0.18,13.67,,,,,13.61,15.62,0.1,,,,,,,,,,,1.93,0.03,0.02,0.06,367.0,15.0,286.0,15.0,7910.0,12.0,8061.0,60.0,7942.0,7660.0
Mrk595,0.024,40.3957,7.1872,24134.9,71114,164.76,-46.55,311.64,-23.23,,CGCG414-40,MK595,PGC10201,,,,,,,,,,,,,,,,,,,,,14.74,0.18,14.36,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,8299.0,52.0,8330.0,8071.0
Mrk6,0.049,103.0496,74.4264,65211.9,742535,140.33,26.11,26.27,0.14,IC450,UGC3547,MK6,PGC19756,.LX.+*.,PU,-0.5,0.6,,,,0.88,,0.06,0.2,,0.05,0.89,0.25,0.07,130.0,15.0,,0.2,14.88,0.16,14.48,13.76,0.4,11.73,0.2,13.33,19.45,0.1,1.06,0.02,1.1,0.02,0.91,0.12,0.04,0.1,0.04,0.05,4.97,0.0,,0.36,,,,,5850.0,10.0,5501.0,32.0,5947.0,5820.0
Mrk618,0.081,69.0919,-10.3772,43622.0,-102238,206.72,-34.66,301.12,-55.86,A0434-10,MCG-2-12-45,MK618,PGC15623,.SBS3P.,E,3.0,0.9,,,,0.94,,0.08,0.12,,0.05,0.95,,,,,,,,,,,,,,12.13,,,,,,,,,,,,,,0.17,0.06,0.13,,,,,,,10825.0,45.0,10729.0,10769.0
Mrk704,0.044,139.609,16.3056,91826.1,161820,213.82,39.72,75.9,-42.29,,MCG3-24-43,MK704,PGC26292,.S?....,,,,,,,0.82,,0.13,0.23,,0.07,0.82,,,,,,,15.38,0.19,14.89,,,,,,,,,,,,,,,,,,,0.31,0.11,0.05,,,,,,,8968.0,45.0,8867.0,9256.0
Mrk728,0.022,165.2578,11.047,110101.8,110249,239.37,59.48,96.61,-23.51,,CGCG66-94,MK728,PGC33214,,,,,,,,,,,,,,,,,,,,,14.9,0.6,14.73,,,,,,18.14,0.3,,,,,,,,,,,3.41,,,0.01,386.0,12.0,,,10686.0,9.0,10698.0,18.0,10591.0,11032.0
Mrk739E,0.053,174.122,21.5967,113629.2,213548,226.83,72.08,89.83,-11.6,NGC3758,MCG4-27-73,MK739,PGC35905,.S?....,,,,,,,0.74,,0.14,0.05,,0.07,0.74,,,,,,,15.2,0.2,15.0,,,,,12.78,17.74,0.3,,,,,,,,,,,2.72,0.07,0.02,0.0,333.0,12.0,,,8912.0,9.0,8914.0,29.0,8865.0,9230.0
Mrk766,0.034,184.6103,29.8134,121826.4,294848,190.68,82.27,85.39,0.11,NGC4253,UGC7344,MK766,PGC39525,PSBS1*.,PU,1.0,0.6,,,,0.98,,0.04,0.06,,0.04,0.99,,,,,,,14.0,0.2,13.79,,,,,11.83,,,,,,,,,,,,,,0.06,0.03,0.1,,,,,,,3819.0,25.0,3819.0,4101.0
Mrk79,0.123,115.6352,49.8114,74232.4,494841,168.6,28.38,34.79,-23.64,A0738+49,UGC3973,MK79,PGC21618,.SB.3..,U,3.0,0.8,,,,1.08,,0.06,0.0,,0.05,1.11,0.33,0.07,,13.9,v,0.2,13.36,0.19,13.33,14.17,0.36,11.04,0.26,12.79,15.92,0.1,0.59,0.01,0.5,0.01,0.49,-0.52,0.02,-0.73,0.02,-0.59,2.59,0.0,0.0,0.24,218.0,21.0,172.0,7.0,6652.0,8.0,6570.0,30.0,6682.0,6754.0
Mrk817,0.052,219.0933,58.7948,143622.3,584741,100.3,53.48,57.98,26.42,,UGC9412,MK817,PGC52202,.S?....,,,,,,,0.81,,0.11,0.0,,0.06,0.81,,,,,,,14.5,0.2,14.36,,,,,12.48,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,9392.0,31.0,9533.0,9481.0
Mrk885,0.03,247.4526,67.3784,162948.5,672242,99.4,38.26,42.25,33.25,,MCG11-20-16,MK885,PGC58354,.S?....,,,,,,,0.86,,0.08,0.24,,0.06,0.87,,,,,,,15.4,0.18,14.79,,,,,,,,,,,,,,,,,,,0.36,0.12,0.14,,,,,,,7593.0,30.0,7776.0,7588.0
