Name,_r,_RAJ2000,_DEJ2000,RA2000,DE2000,GLON,GLAT,SGLON,SGLAT,name,altname,desig,PGC,type,typesr,T,e_T,lumcl,e_lumcl,o_lumcl,D25,u_D25,e_D25,R25,u_R25,e_R25,Do,Ae,e_Ae,PA,BT,BT_code,e_BT,Bmag,e_Bmag,BoT,m'25,e_m'25,m'e,e_m'e,mFIR,m21,e_m21,B-VT,e_B-VT,B-Ve,e_B-Ve,B-VoT,U-BT,e_U-BT,U-Be,e_U-Be,U-BoT,HI,Ai,A21,Ag,W20,e_W20,W50,e_W50,V21,e_V21,cz,e_cz,VGSR,V3K
NGC5610,0.058,216.0966,24.6139,142423.1,243650,31.3,68.97,96.37,26.45,NGC5610,UGC9230,IRAS14221+2450,PGC51450,.SBS2..,U,2.0,0.8,,,,1.31,,0.04,0.48,,0.05,1.31,,,108.0,,,,14.11,0.19,13.47,,,,,11.43,,,,,,,,,,,,,,0.59,0.24,0.0,,,,,,,5078.0,30.0,5130.0,5286.0
NGC5674,0.09,218.4674,5.4597,143352.1,52735,355.89,57.39,117.78,25.23,NGC5674,UGC9369,8ZW434,PGC52042,.SX.5..,U,5.0,0.8,,,,1.04,,0.06,0.02,,0.05,1.04,,,,,,,13.7,0.18,13.57,,,,,12.58,15.76,0.3,,,,,,,,,,,2.18,0.03,0.01,0.06,293.0,7.0,244.0,7.0,7472.0,11.0,7442.0,59.0,7473.0,7701.0
NGC5683,0.006,218.7187,48.662,143452.4,483943,86.98,60.62,69.22,28.14,NGC5683,MCG8-27-3,MK474,PGC52114,.SBS0$.,R,0.0,0.6,,,,1.1,,0.05,0.3,,0.05,1.1,,,,15.67,,0.16,15.2,0.2,14.98,15.26,0.32,,,,,,0.84,0.03,,,0.66,-0.25,0.07,,,-0.25,,0.22,,0.13,,,,,,,10732.0,38.0,10852.0,10858.0
NGC5728,0.063,220.6008,-17.2533,144224.1,-171512,337.32,38.1,141.72,19.56,NGC5728,MCG-3-37-5,IRAS14396-1702,PGC52521,.SXR1*.,R,1.0,0.4,,,,1.49,,0.02,0.24,,0.03,1.53,1.12,0.03,30.0,12.27,,0.14,12.37,0.22,11.65,13.97,0.19,13.36,0.1,10.83,14.87,0.1,0.92,0.02,0.97,0.02,0.75,0.29,0.02,0.31,0.02,0.17,3.03,0.25,0.12,0.37,418.0,11.0,433.0,25.0,2788.0,8.0,2885.0,30.0,2735.0,3019.0
NGC5899,0.05,228.7646,42.0495,151503.4,420258,69.4,57.22,75.41,36.26,NGC5899,UGC9789,IRAS15132+4214,PGC54428,.SXT5..,R,5.0,0.4,2.8,0.7,2.0,1.5,,0.02,0.43,,0.03,1.51,1.02,0.02,18.0,12.5,,0.13,12.53,0.15,11.78,13.79,0.18,13.09,0.07,11.51,14.3,0.1,0.79,0.02,0.88,0.02,0.64,0.22,0.03,0.3,0.02,0.11,2.31,0.64,0.21,0.08,529.0,6.0,486.0,5.0,2562.0,5.0,2549.0,56.0,2688.0,2673.0
NGC6221,0.07,253.1951,-59.2164,165246.7,-591259,329.74,-9.57,191.07,11.05,NGC6221,ESO138-3,IRAS16484-5908,PGC59175,.SBS5..,R,5.0,0.3,3.6,0.4,3.0,1.55,,0.02,0.16,,0.03,1.63,1.35,0.02,5.0,10.66,,0.15,11.14,0.16,9.77,12.87,0.2,12.9,0.05,9.12,12.65,0.2,0.74,0.02,0.8,0.01,0.49,0.16,0.08,0.18,0.02,-0.02,2.8,0.25,0.08,0.86,311.0,6.0,276.0,7.0,1482.0,6.0,1350.0,31.0,1368.0,1528.0
NGC6240,0.098,253.2458,2.4025,165258.9,22409,20.73,27.29,137.26,57.14,NGC6240,UGC10592,VV617,PGC59186,.I.0.*P,R,90.0,,,,,1.33,,0.03,0.29,,0.03,1.34,,,20.0,13.8,,0.3,,,,,,,,9.9,15.67,0.3,0.88,0.03,,,,0.32,0.06,,,,,0.22,,0.31,,,172.0,7.0,7287.0,9.0,7351.0,44.0,7373.0,7326.0
NGC6300,0.048,259.2476,-62.8198,171659.3,-624911,328.49,-14.05,195.38,9.16,NGC6300,ESO101-25,VV734,PGC60001,.SBT3..,4,3.0,0.3,3.1,0.6,2.0,1.65,,0.02,0.18,,0.02,1.69,1.34,0.03,118.0,10.98,M,0.05,10.91,0.21,10.2,13.6,0.14,13.05,0.06,10.04,13.02,0.2,0.78,0.01,0.86,0.01,0.59,0.13,0.03,0.2,0.01,-0.01,2.73,0.25,0.09,0.52,326.0,6.0,299.0,7.0,1110.0,6.0,1064.0,41.0,997.0,1142.0
NGC6552,0.025,270.0314,66.6153,180007.4,663655,96.45,29.8,33.34,38.29,NGC6552,UGC11096,IRAS18001+6638,PGC61252,.SB?...,,,,,,,1.0,,0.05,0.14,,0.04,1.02,,,105.0,,,,14.57,0.18,14.05,,,,,12.57,,,,,,,,,,,,,,0.22,0.07,0.18,,,,,,,7846.0,,8049.0,7786.0
NGC6814,0.056,295.67,-10.3236,194240.7,-101925,29.35,-16.01,231.57,61.42,NGC6814,MCG-2-50-1,IRAS19399-1026,PGC63545,.SXT4..,R,4.0,0.3,1.8,0.5,3.0,1.48,,0.02,0.03,,0.03,1.54,1.14,0.02,,12.06,,0.13,11.85,0.26,11.32,14.25,0.18,13.25,0.05,10.96,13.52,0.0,0.84,0.03,0.96,0.01,0.67,0.25,0.07,0.3,0.02,0.12,2.18,0.05,0.02,0.64,97.0,5.0,80.0,6.0,1563.0,4.0,1509.0,24.0,1676.0,1359.0
