Name,J_2MASS,J_2MASS_err,H_2MASS,H_2MASS_err,K_2MASS,K_2MASS_err,2MASS_cat
ESO103-035,11.497,0.022,10.779,0.03,10.434,0.039,XSC
ESO121-IG028,12,0.038,11.285,0.058,10.949,0.078,XSC
ESO137-34,9.345,0.018,8.655,0.018,8.362,0.02,LGA
ESO139-G012,10.891,0.027,10.237,0.037,9.909,0.042,XSC
ESO141-G055,11.882,0.034,11.051,0.04,10.296,0.036,XSC
ESO157-G023,13.819,0.067,12.778,0.068,11.962,0.048,PSC
ESO195-IG021NED03,12.848,0.028,12.058,0.034,11.631,0.048,XSC
ESO197-G027,12.536,0.031,11.801,0.033,11.435,0.056,XSC
ESO198-024,12.788,0.03,11.95,0.034,11.204,0.037,XSC
ESO209-G012,11.684,0.025,10.768,0.027,10.144,0.027,XSC
ESO244-IG030,12.137,0.028,11.394,0.036,11.033,0.051,XSC
ESO263-G013,12.083,0.049,11.398,0.062,11.085,0.096,XSC
ESO297-018,11.237,0.02,10.442,0.029,10.13,0.037,XSC
ESO323-077,10.335,0.015,9.481,0.016,8.863,0.017,XSC
ESO362-18,11.17,0.018,10.452,0.022,10.134,0.037,XSC
ESO374-G044,12.178,0.038,11.425,0.045,11.122,0.074,XSC
ESO383-18,12.928,0.041,12.163,0.043,11.418,0.054,XSC
ESO399-20,11.806,0.032,11.046,0.04,10.665,0.049,XSC
ESO417-G006,11.401,0.023,10.682,0.033,10.435,0.044,XSC
ESO426-G002,11.47,0.033,10.779,0.042,10.441,0.062,XSC
ESO439-G009,11.263,0.023,10.495,0.026,10.177,0.04,XSC
ESO464-G016,12.579,0.031,11.898,0.044,11.527,0.064,XSC
ESO479-G031,11.883,0.025,11.182,0.038,10.908,0.055,XSC
ESO490-IG026,11.256,0.024,10.481,0.032,9.972,0.035,XSC
ESO499-G041,11.655,0.021,10.933,0.027,10.535,0.044,XSC
ESO506-G027,11.222,0.019,10.432,0.02,10.039,0.03,XSC
ESO509-G038,11.901,0.018,11.163,0.019,10.797,0.036,XSC
ESO509-IG066NED01,12.01,0.029,11.246,0.033,10.962,0.056,XSC
ESO511-G030,11.005,0.023,10.296,0.028,9.893,0.041,XSC
ESO533-G050,11.481,0.022,10.787,0.034,10.508,0.043,XSC
ESO548-G081,9.469,0.011,8.97,0.015,8.706,0.023,XSC
ESO549-G049,11.462,0.021,10.698,0.027,10.298,0.038,XSC
ESO553-G022,12.432,0.042,11.793,0.054,11.385,0.076,XSC
ESO553-G043,12.286,0.036,11.566,0.047,11.346,0.075,XSC
ESO565-G019,10.614,0.014,9.902,0.019,9.562,0.023,XSC
ESO578-G009,12.601,0.029,11.77,0.04,11.343,0.058,XSC
Fairall1146,11.873,0.033,11.031,0.033,10.533,0.044,XSC
Fairall272,12.437,0.032,11.694,0.041,11.334,0.06,XSC
Fairall49,11.599,0.017,10.59,0.019,9.677,0.015,XSC
Fairall51,11.37,0.02,10.5,0.024,9.809,0.021,XSC
Fairall9,11.99,0.027,11.168,0.031,10.53,0.039,XSC
HB890241+622,12.788,0.029,11.501,0.032,10.181,0.018,PSC
IC0486,11.64,0.015,10.942,0.021,10.583,0.031,XSC
IC1657,10.546,0.014,9.83,0.019,9.524,0.027,XSC
IC1816,11.04,0.02,10.339,0.023,10.06,0.033,XSC
IC2461,11.363,0.016,10.528,0.021,10.108,0.021,XSC
IC2637,11.702,0.029,10.976,0.034,10.613,0.054,XSC
IC2921,12.996,0.032,12.244,0.033,11.67,0.05,XSC
IC4329A,10.302,0.013,9.496,0.017,8.805,0.012,XSC
IC4518A,13.565,0.103,12.548,0.077,11.731,0.053,PSC
IC4709,11.542,0.025,10.821,0.035,10.503,0.047,XSC
IC5063,9.836,0.014,9.124,0.016,8.853,0.021,XSC
IGRJ11366-6002,12.196,0.095,11.266,0.088,10.871,0.097,XSC
IGRJ23308+7120,12.896,0.046,12,0.052,11.586,0.068,XSC
IISZ010,13.71,0.034,13.036,0.039,12.383,0.054,XSC
