Name,SDSS_u_petro,SDSS_u_petro_err,SDSS_g_petro,SDSS_g_petro_err,SDSS_r_petro,SDSS_r_petro_err,SDSS_i_petro,SDSS_i_petro_err,SDSS_z_petro,SDSS_z_petro_err
ESO553-G022,,,,,,,,,,
ESO553-G043,,,,,,,,,,
ESO565-G019,,,,,,,,,,
ESO578-G009,,,,,,,,,,
Fairall1146,,,,,,,,,,
Fairall272,16.70285,0.08613596,14.9922,0.08683988,14.21891,0.05914119,13.80994,0.04441698,13.49889,0.03567832
Fairall49,,,,,,,,,,
Fairall51,,,,,,,,,,
Fairall9,,,,,,,,,,
HB890241+622,,,,,,,,,,
IC0486,15.83455,0.02048223,14.16297,0.003872764,13.38221,0.003011947,13.01459,0.002859854,12.81191,0.003565529
IC1657,,,,,,,,,,
IC1816,,,,,,,,,,
IC2461,16.1444,0.07681406,14.41188,0.04860896,13.55229,0.04853594,13.09718,0.04077799,12.76353,0.03572863
IC2637,15.43787,0.01060326,14.00969,0.003561679,13.45474,0.002922755,13.14772,0.002969923,12.85168,0.005452277
IC2921,17.52267,0.03520326,15.91114,0.01715333,15.04866,0.01695029,14.57294,0.01880814,14.26798,0.01801497
IC4329A,,,,,,,,,,
IC4518A,,,,,,,,,,
IC4709,,,,,,,,,,
IC5063,,,,,,,,,,
IGRJ11366-6002,,,,,,,,,,
IGRJ23308+7120,,,,,,,,,,
IISZ010,,,,,,,,,,
IIZw083,,,,,,,,,,
IRAS03219+4031,17.9609,0.07978445,16.34229,0.02790855,15.68099,0.02638803,15.28396,0.03364915,15.16502,0.05277202
IRAS04124-0803,,,,,,,,,,
IRAS05078+1626,33.35764,5.922606,15.13703,1.089816,14.00859,0.507156,13.50941,0.4533702,14.17125,4.673976
IRAS05218-1212,,,,,,,,,,
IRAS05589+2828,,,,,,,,,,
KAZ320,16.21449,0.005888144,15.67158,0.004402282,15.35374,0.005558594,15.06938,0.006033616,14.86198,0.007183994
KUG1141+371,17.08661,0.02760932,15.63914,0.003515756,14.86294,0.003020604,14.46084,0.003319924,14.22541,0.01085668
KUG1208+386,16.21505,0.01362329,14.80322,0.002098728,14.08058,0.001963335,13.74936,0.002330872,13.50081,0.00526561
LCRSB034324.7-394349,,,,,,,,,,
LCRSB232242.2-384320,,,,,,,,,,
LEDA138501,,,,,,,,,,
LEDA170194,16.1635,0.02392543,14.65383,0.01581366,14.0176,0.01546459,13.64744,0.01545309,13.44348,0.01506146
LEDA214543,,,,,,,,,,
LEDA38038,,,,,,,,,,
M106,12.19987,0.005994929,10.71221,0.002479452,9.948293,0.002822881,9.519935,0.001210964,9.193309,0.002608334
MCG-01-05-047,16.07252,0.6683539,13.69192,0.07948469,12.9347,0.07151105,12.47938,0.03563548,12.06625,0.05591544
MCG-01-09-045,,,,,,,,,,
MCG-01-13-025,15.99538,0.01657196,14.0645,0.00295115,13.2139,0.003186818,12.84507,0.002903781,12.55603,0.003772684
MCG-01-24-012,,,,,,,,,,
MCG-01-30-041,,,,,,,,,,
MCG-01-33-063,,,,,,,,,,
MCG-01-40-001,,,,,,,,,,
MCG-02-02-095,,,,,,,,,,
MCG-02-08-014,16.79494,0.1584067,14.86937,0.2077965,14.00836,0.1761425,13.51635,0.1755941,13.1865,0.1322537
MCG-02-08-038,,,,,,,,,,
MCG-02-12-050,,,,,,,,,,
MCG-02-14-009,,,,,,,,,,
MCG-03-04-072,,,,,,,,,,
MCG-03-34-064,,,,,,,,,,
MCG-05-23-016,,,,,,,,,,
MCG-06-30-015,,,,,,,,,,
MCG-07-03-007,,,,,,,,,,
MCG+00-09-042,17.83529,0.05594036,15.89332,0.05492952,14.80031,0.04560151,14.18656,0.04435405,13.73291,0.04068806
MCG+01-57-016,15.74116,0.02089863,14.68771,0.03808239,14.05156,0.03757104,13.72493,0.03961539,13.47243,0.03590714
MCG+02-21-013,16.22993,0.07641719,14.49652,0.04263512,13.71,0.03425609,13.2687,0.02475998,12.92714,0.02986009
MCG+02-57-002,16.67881,0.03550105,15.31963,0.01743376,14.54783,0.01818358,14.174,0.0175072,13.94427,0.01313105
MCG+04-22-042,15.59799,0.03654682,14.609,0.07779329,13.97248,0.09806243,13.57771,0.02436739,13.3967,0.06710922
MCG+04-48-002,,,,,,,,,,
MCG+05-03-013,16.45107,7.228949,14.6067,0.4268329,13.8977,0.2193925,13.56523,0.3244016,13.47635,1.059322
MCG+05-28-032,16.77587,0.0477333,15.11244,0.02009015,14.25501,0.01456236,13.77834,0.01317242,13.38271,0.01417212
MCG+06-16-028,,,,,,,,,,
MCG+06-24-008,16.22465,0.04290153,14.71523,0.01459239,13.97885,0.01677915,13.5766,0.01566514,13.26913,0.02276329
MCG+06-49-019,15.9922,0.03778159,14.02519,0.08541399,13.16193,0.07194934,12.71866,0.05940552,12.49781,0.04070598
MCG+08-11-011,,,,,,,,,,
MCG+11-11-032,18.03659,0.06972883,16.18038,0.01767273,15.11943,0.01553666,14.59299,0.01249663,14.17043,0.007965447
MCG+12-10-067,,,,,,,,,,
Mrk10,,,,,,,,,,
Mrk1018,14.94001,0.005922729,14.18674,0.01272535,13.60739,0.01385722,13.2696,0.01376718,13.11292,0.01062782
Mrk1210,15.40831,0.008908176,13.96184,0.003389418,13.33928,0.004311905,13.02651,0.005661373,12.79916,0.005175931
Mrk1310,15.63861,0.006172458,14.93608,0.004162958,14.39877,0.004326092,14.14829,0.004870678,13.90795,0.006629023
Mrk1392,15.28388,0.01175643,14.32118,0.002064236,13.72621,0.00316435,13.38013,0.00345735,13.19288,0.006336203
Mrk18,15.43264,0.02733575,14.27933,0.03317088,13.59237,0.03371047,13.28774,0.03640592,13.00778,0.03203635
Mrk198,15.96456,0.01206537,14.53942,0.005590037,13.90052,0.005540958,13.53863,0.005942934,13.32218,0.005921833
Mrk202,16.64783,0.01429752,15.532,0.005832097,14.93685,0.006141839,14.64325,0.006753276,14.40046,0.009735437
Mrk279,,,,,,,,,,
Mrk290,15.34379,0.003376331,15.06411,0.002105591,14.81024,0.003325251,14.6531,0.004167384,14.51394,0.005797816
Mrk3,,,,,,,,,,
Mrk335,14.54426,0.00267815,14.40002,0.002146421,13.99712,0.002304822,14.14091,0.003259135,13.94319,0.004018219
Mrk348,15.26523,0.02150996,13.77066,0.00786435,13.08955,0.007156795,12.74256,0.006624027,12.61892,0.00804892
Mrk352,16.22363,0.00775141,15.50627,0.001713674,14.87078,0.002585639,14.75849,0.004212573,14.67444,0.01582353
Mrk359,15.23384,0.007717669,13.99979,0.002251935,13.3821,0.002436361,13.08304,0.002797291,12.83656,0.003293065
Mrk417,16.94534,0.02128157,15.49864,0.008064895,14.75447,0.008279735,14.34742,0.009007702,14.07164,0.009801792
Mrk477,16.0889,0.00789096,14.85508,0.004788747,14.78352,0.004846858,14.48316,0.005382651,14.37046,0.005720451
Mrk50,16.6923,0.01833462,15.35923,0.01080985,14.64984,0.01936179,14.34468,0.02605593,14.14711,0.0151069
Mrk509,,,,,,,,,,
Mrk590,15.26061,0.01455938,13.57982,0.01590019,12.78246,0.01555606,12.41427,0.01562288,12.17358,0.01259149
Mrk595,16.30968,0.01217368,15.14258,0.02118829,14.36302,0.02239155,13.99754,0.02412438,13.69769,0.02205683
Mrk6,,,,,,,,,,
Mrk618,,,,,,,,,,
Mrk653,16.54924,0.03307613,14.9406,0.006797155,14.18124,0.007182904,13.82595,0.00690467,13.60996,0.01070603
Mrk704,15.34026,0.003748385,14.78896,0.004678423,14.35195,0.006135296,14.22751,0.007715229,13.99882,0.008926574
Mrk728,17.11774,0.02594568,15.857,0.01417015,15.10751,0.01432705,14.72779,0.01587152,14.44622,0.01724789
Mrk739E,16.00411,0.02495584,14.47877,0.009470761,13.79951,0.00802213,13.44707,0.009913777,13.16224,0.008574765
Mrk766,14.90535,0.006256332,13.48833,0.001476879,12.82892,0.001744891,12.57705,0.001941838,12.32698,0.00305031
Mrk79,14.62298,0.002567938,14.35727,0.002988967,15.23381,0.01072118,13.74297,0.005150168,13.62078,0.004605753
Mrk817,14.27784,0.002674918,13.91627,0.004393233,13.59032,0.004467029,13.38202,0.005000424,13.22129,0.00470953
Mrk841,14.30605,0.001876319,14.26254,0.001048875,14.2354,0.001286942,13.875,0.001208867,13.95829,0.002297898
Mrk885,,,,,,,,,,
Mrk926,15.38286,0.00824057,14.41721,0.002661928,13.80053,0.002573645,13.34107,0.002430647,13.18002,0.005268403
Mrk975,15.6883,0.02637357,14.91013,0.08080041,14.72549,0.07923571,14.19207,0.07544039,14.00525,0.06805708
