Name,P857,P857_err,P545,P545_err,P353,P353_err,P217,P217_err,P143,P143_err,P100,P100_err,P70,P70_err,P44,P44_err,P30,P30_err
ESO490-IG026,,,,,,,,,,,,,,,,,,
ESO499-G041,,,,,,,,,,,,,,,,,,
ESO506-G027,,,,,,,,,,,,,,,,,,
ESO509-G038,,,,,,,,,,,,,,,,,,
ESO509-IG066NED01,,,,,,,,,,,,,,,,,,
ESO511-G030,,,,,,,,,,,,,,,,,,
ESO533-G050,,,,,,,,,,,,,,,,,,
ESO548-G081,,,,,,,,,,,,,,,,,,
ESO549-G049,734.992,183.609,,,,,,,,,,,,,,,,
ESO553-G022,,,,,,,,,,,,,,,,,,
ESO553-G043,,,,,,,,,,,,,,,,,,
ESO565-G019,,,,,,,,,,,,,,,,,,
ESO578-G009,,,,,,,,,,,,,,,,,,
Fairall1146,,,,,,,,,,,,,,,,,,
Fairall272,,,,,,,,,,,,,,,,,,
Fairall49,,,,,,,,,,,,,,,,,,
Fairall51,,,,,,,,,,,,,,,,,,
Fairall9,,,,,,,,,,,,,,,,,,
HB890241+622,,,,,,,,,623.689,170.32,795.04,233.236,,,,,,
IC0486,,,,,,,,,,,,,,,,,,
IC1657,,,,,,,,,,,,,,,,,,
IC1816,,,,,,,,,,,,,,,,,,
IC2461,1103.71,191.672,506.048,156.737,,,,,,,,,,,,,,
IC2637,,,,,,,,,,,,,,,,,,
IC2921,,,,,,,,,,,,,,,,,,
IC4329A,,,,,,,,,,,,,,,,,,
IC4518A,,,,,,,,,,,,,,,,,,
IC4709,,,,,,,,,,,,,,,,,,
IC5063,,,,,,,,,,,,,,,,,,
IGRJ11366-6002,,,,,,,,,,,,,,,,,,
IGRJ23308+7120,,,,,,,,,,,,,,,,,,
IISZ010,,,,,,,,,,,,,,,,,,
IIZw083,,,,,,,,,,,,,,,,,,
IRAS03219+4031,,,,,,,,,,,,,,,,,,
IRAS04124-0803,,,,,,,,,,,,,,,,,,
IRAS05078+1626,,,,,,,,,,,,,,,,,,
IRAS05218-1212,,,,,,,,,,,,,,,,,,
IRAS05589+2828,,,,,,,,,,,,,,,,,,
KAZ320,,,,,,,,,,,,,,,,,,
KUG1141+371,,,,,,,,,,,,,,,,,,
KUG1208+386,,,,,,,,,,,,,,,,,,
LCRSB034324.7-394349,,,,,,,,,,,,,,,,,,
LCRSB232242.2-384320,,,,,,,,,,,,,,,,,,
LEDA138501,,,,,,,,,,,,,,,,,,
LEDA170194,,,,,,,,,,,,,,,,,,
LEDA214543,,,,,,,,,,,,,,,,,,
LEDA38038,,,,,,,,,,,,,,,,,,
M106,40373.4,1534.48,14639.7,596.477,2610.72,123.934,579.593,62.6094,,,,,,,,,,
MCG-01-05-047,2451.87,372.459,1050.17,187.586,,,,,,,,,,,,,,
MCG-01-09-045,,,,,,,,,,,,,,,,,,
MCG-01-13-025,,,,,,,,,,,,,,,,,,
MCG-01-24-012,,,,,,,,,,,,,,,,,,
MCG-01-30-041,,,,,,,,,,,,,,,,,,
MCG-01-33-063,,,,,,,,,,,,,,,,,,
MCG-01-40-001,,,,,,,,,,,,,,,,,,
MCG-02-02-095,,,,,,,,,,,,,,,,,,
MCG-02-08-014,,,,,,,,,,,,,,,,,,
MCG-02-08-038,,,,,,,,,,,,,,,,,,
MCG-02-12-050,,,,,,,,,,,,,,,,,,
MCG-02-14-009,,,,,,,,,,,,,,,,,,
MCG-03-04-072,,,,,,,,,,,,,,,,,,
MCG-03-34-064,,,,,,,,,,,,,,,,,,
MCG-05-23-016,,,,,,,,,,,,,,,,,,
MCG-06-30-015,,,,,,,,,,,,,,,,,,
MCG-07-03-007,,,,,,,,,,,,,,,,,,
MCG+00-09-042,,,,,,,,,,,,,,,,,,
MCG+01-57-016,,,,,,,,,,,,,,,,,,
MCG+02-21-013,,,,,,,,,,,,,,,,,,
MCG+02-57-002,,,,,,,,,,,,,,,,,,
MCG+04-22-042,,,,,,,,,,,,,,,,,,
MCG+04-48-002,,,,,,,,,,,,,,,,,,
MCG+05-03-013,,,,,,,,,,,,,,,,,,
MCG+05-28-032,,,,,,,,,,,,,,,,,,
MCG+06-16-028,,,,,,,,,,,,,,,,,,
MCG+06-24-008,,,,,,,,,,,,,,,,,,
MCG+06-49-019,,,,,,,,,,,,,,,,,,
MCG+08-11-011,,,,,,,,,,,,,,,,,,
MCG+11-11-032,,,,,,,,,,,,,,,,,,
MCG+12-10-067,,,,,,,,,,,,,,,,,,
Mrk10,,,,,,,,,,,,,,,,,,
Mrk1018,,,,,,,,,,,,,,,,,,
Mrk1210,,,,,,,,,,,,,,,,,,
Mrk1310,,,,,,,,,,,,,,,,,,
Mrk1392,,,,,,,,,,,,,,,,,,
Mrk18,,,,,,,,,,,,,,,,,,
Mrk198,,,,,,,,,,,,,,,,,,
Mrk202,,,,,,,,,,,,,,,,,,
Mrk279,,,,,,,,,,,,,,,,,,
Mrk290,,,,,,,,,,,,,,,,,,
Mrk3,,,,,,,,,,,,,,,,,,
Mrk335,,,,,,,,,,,,,,,,,,
Mrk348,,,,,,,244.236,71.9012,241.834,93.7146,255.877,158.39,,,,,803.672,375.581
Mrk352,,,,,,,,,,,,,,,,,,
Mrk359,,,,,,,,,,,,,,,,,,
Mrk417,,,,,,,,,,,,,,,,,,
Mrk477,,,,,,,,,,,,,,,,,,
Mrk50,,,,,,,,,,,,,,,,,,
Mrk509,,,,,,,,,,,,,,,,,,
Mrk590,,,,,,,,,,,,,,,,,,
Mrk595,,,,,,,,,,,,,,,,,,
Mrk6,,,,,,,,,,,,,,,,,,
Mrk618,,,,,,,,,,,,,,,,,,
Mrk653,,,,,,,,,,,,,,,,,,
Mrk704,,,,,,,,,,,,,,,,,,
Mrk728,,,,,,,,,,,,,,,,,,
Mrk739E,,,,,,,,,,,,,,,,,,
Mrk766,,,,,,,,,,,,,,,,,,
Mrk79,,,,,,,,,,,,,,,,,,
Mrk817,,,,,,,,,,,,,,,,,,
Mrk841,,,,,,,,,,,,,,,,,,
Mrk885,,,,,,,,,,,,,,,,,,
Mrk926,,,,,,,,,,,,,,,,,,
Mrk975,,,,,,,,,,,,,,,,,,
NGC1052,,,,,,,310.46,117.401,312.115,280.438,422.645,278.614,,,,,866.173,429.311
NGC1106,,,,,,,,,,,,,,,,,,
NGC1125,,,,,,,,,,,,,,,,,,
NGC1194,,,,,,,,,,,,,,,,,,
NGC1365,47419,550.676,12704,202.31,2317.67,240.676,615.429,98.0064,,,,,,,,,,
NGC2110,,,,,,,,,,,,,,,,,,
NGC235A,,,,,,,,,,,,,,,,,,
NGC2655,2732.53,288.133,990.157,212.954,336.781,111.42,,,,,,,,,,,,
NGC2885,,,,,,,,,,,,,,,,,,
NGC2992,,,,,,,,,,,,,,,,,,
NGC3035,,,,,,,,,,,,,,,,,,
NGC3079,21713.9,458.319,5869.06,257.382,1481.2,116.519,250.72,71.5882,,,,,,,,,,
NGC3081,1629.37,371.139,,,,,,,,,,,,,,,,
NGC3227,5829.61,236.146,1500.29,133.165,268.218,78.4233,,,,,,,,,,,,
NGC3281,,,,,,,,,,,,,,,,,,
NGC3393,,,,,,,,,,,,,,,,,,
NGC3431,,,,,790.293,183.648,1354.45,81.1839,1935.59,180.621,2662.42,196.743,3682.38,217.446,4863.18,487.58,6543.79,305.802
NGC3516,,,,,,,,,,,,,,,,,,
NGC3718,3023.25,461.102,1107,259.703,,,,,,,,,,,,,,
NGC3783,,,,,,,,,,,,,,,,,,
NGC3786,,,,,,,,,,,,,,,,,,
