Name,GALEX_FUV,GALEX_FUV_err,GALEX_NUV,GALEX_NUV_err
ESO533-G050,17.64716721,0.056511763,17.09208107,0.029778665
ESO548-G081,15.62197113,0.012997839,15.37849426,0.006433434
ESO549-G049,16.83599091,0.032022186,16.16521835,0.013066736
ESO553-G022,18.6451683,0.118792489,18.1606617,0.059265599
ESO553-G043,,,,
ESO565-G019,,,,
ESO578-G009,19.38129044,0.122950137,18.25629807,0.036877587
Fairall1146,,,,
Fairall272,,,,
Fairall49,19.21837807,0.12136136,18.18959808,0.043921676
Fairall51,,,,
Fairall9,14.78117657,0.013974463,14.59502029,0.007200639
HB890241+622,,,,
IC0486,17.98955917,0.066115536,17.38291931,0.028629471
IC1657,15.79119587,0.019349748,15.42660713,0.009575201
IC1816,17.04144478,0.013858014,16.45082283,0.006156124
IC2461,,,,
IC2637,17.4635582,0.068411537,16.76614189,0.028884379
IC2921,20.42990303,0.237402052,20.08579063,0.139575943
IC4329A,19.73842812,0.098772489,18.42847633,0.026521262
IC4518A,,,,
IC4709,,,,
IC5063,17.89663124,0.028368317,16.822052,0.008550793
IGRJ11366-6002,,,,
IGRJ23308+7120,,,,
IISZ010,16.61168861,0.044350337,16.4991169,0.023891203
IIZw083,18.06591225,0.070537016,16.94577026,0.024444113
IRAS03219+4031,,,,
IRAS04124-0803,18.34873962,0.10154666,17.85950661,0.046651922
IRAS05078+1626,19.75437927,0.198711351,18.71460342,0.060836066
IRAS05218-1212,,,15.38401,0.01366782
IRAS05589+2828,,,,
KAZ320,17.39299583,0.042305645,17.21007347,0.021449719
KUG1141+371,17.54720688,0.037667304,17.38668823,0.021780448
KUG1208+386,18.75729561,0.119395837,18.02022934,0.048315886
LCRSB034324.7-394349,16.95319748,0.050118513,16.65190697,0.024689959
LCRSB232242.2-384320,,,,
LEDA138501,,,,
LEDA170194,17.98135567,0.062381301,17.44608307,0.026665438
LEDA214543,20.20061874,0.053015962,19.5500679,0.022052545
LEDA38038,,,16.76111,0.02846415
M106,12.0677,0.004297441,11.5934,0.001206172
MCG-01-05-047,19.00723,0.08684315,17.88183,0.03070551
MCG-01-09-045,,,,
MCG-01-13-025,,,,
MCG-01-24-012,,,,
MCG-01-30-041,17.33246231,0.016377212,16.39807892,0.006148672
MCG-01-33-063,18.3094101,0.061165828,17.79684448,0.030646747
MCG-01-40-001,,,,
MCG-02-02-095,19.65584183,0.133671492,19.47861481,0.088866062
MCG-02-08-014,19.40816689,0.055312879,18.78191376,0.029658031
MCG-02-08-038,19.20512962,0.048367843,18.58381653,0.024567459
MCG-02-12-050,17.56503677,0.068041757,17.05038071,0.030099429
MCG-02-14-009,,,16.21829,0.0186455
MCG-03-04-072,16.19156456,0.028063888,15.91932583,0.013556432
MCG-03-34-064,18.12653923,0.066318229,17.5568161,0.029001521
MCG-05-23-016,,,,
MCG-06-30-015,19.08691406,0.050362635,17.71574211,0.010054274
MCG-07-03-007,20.78470802,0.286114514,19.4019146,0.086082339
MCG+00-09-042,21.46024704,0.31671527,20.01778793,0.056153111
MCG+01-57-016,16.5443821,0.031982005,16.39512062,0.01852064
MCG+02-21-013,19.32946014,0.133246779,18.11081505,0.044338927
MCG+02-57-002,,,,
MCG+04-22-042,15.33457,0.01383192,15.3214,0.008231821
MCG+04-48-002,,,,
MCG+05-03-013,17.20280647,0.068064451,16.64755058,0.032175019
MCG+05-28-032,,,,
MCG+06-16-028,16.66722298,0.031885624,16.10190582,0.01331533
MCG+06-24-008,19.79666,0.335691,18.61534,0.1129542
MCG+06-49-019,18.57037926,0.122035623,17.735569,0.041217636
MCG+08-11-011,17.34676743,0.044799183,16.60485268,0.017580496
MCG+11-11-032,,,20.78312492,0.099270687
MCG+12-10-067,19.36793327,0.163337752,19.01352882,0.089282662
Mrk10,16.5680027,0.047472693,16.24543381,0.025060788
Mrk1018,16.00872231,0.006126101,15.94877148,0.003373961
Mrk1210,17.35732651,0.045444116,16.93147659,0.021790395
Mrk1310,16.80413055,0.012437802,16.6572876,0.006650217
Mrk1392,16.23461342,0.005722508,16.036623,0.003226092
Mrk18,17.33403015,0.022960225,16.82375336,0.010168819
Mrk198,17.80919456,0.074199431,17.35666656,0.035992339
Mrk202,17.52451706,0.037721861,17.33346939,0.020464128
Mrk279,14.92098141,0.017976291,14.81487942,0.009351183
Mrk290,15.5356369,0.018340442,15.6879673,0.011659727
Mrk3,18.33934212,0.037600864,17.47360992,0.012037118
Mrk335,15.17131615,0.015960252,15.07877731,0.009114716
Mrk348,17.28351784,0.02010037,16.93543816,0.012171474
Mrk352,,,16.49075,0.01764779
Mrk359,17.05062866,0.039380558,16.77371025,0.020129712
Mrk417,19.2495079,0.159139603,19.00159454,0.091766112
Mrk477,,,,
Mrk50,16.06661034,0.026014904,15.91460323,0.01239709
Mrk509,14.60217667,0.014064614,14.49856186,0.00766887
Mrk590,16.86948776,0.008532186,16.4713707,0.004612492
Mrk595,17.57535362,0.047204815,17.52839279,0.026374782
Mrk6,19.81435013,0.108380653,18.14029312,0.031192895
Mrk618,15.91974831,0.023216652,15.87399101,0.012741856
Mrk653,18.90026093,0.092204824,18.20013428,0.042568561
Mrk704,16.47097015,0.031427715,15.9965744,0.014220939
Mrk728,18.52895355,0.055777665,18.67686844,0.039649129
Mrk739E,17.56148529,0.066076964,16.69140625,0.025460126
Mrk766,17.3697567,0.015223354,16.59469223,0.005986704
Mrk79,15.74022961,0.017850045,15.67034531,0.010923251
Mrk817,14.74112892,0.018552436,14.60527039,0.009780481
Mrk841,15.3772583,0.028796123,15.28510284,0.015422589
Mrk885,18.42960358,0.09395197,17.61648941,0.036420524
Mrk926,16.04406357,0.005099447,15.95095253,0.002957944
Mrk975,16.58785629,0.011040745,16.34757042,0.005801169
NGC1052,17.15832901,0.054331198,16.18523407,0.022127585
NGC1106,17.90676,0.1035915,,
NGC1125,17.52737427,0.017990921,16.87875366,0.007944027
NGC1194,19.50721931,0.10437385,18.37404251,0.034468815
NGC1365,,,,
NGC2110,,,19.0041,0.2249886
NGC235A,18.38859367,0.098882064,17.73411179,0.044364486
NGC2655,17.08282661,0.067434199,15.53954315,0.017098827
NGC2885,18.44627953,0.049191885,18.26945114,0.029485444
NGC2992,16.86052513,0.053728428,16.28029633,0.026131043
NGC3035,16.98978233,0.042468309,16.45454788,0.019517105
NGC3079,13.9037,0.1,13.346,0.1
NGC3081,,,15.8932,0.02928767
NGC3227,,,14.71857,0.01111481
NGC3281,18.47631264,0.143113136,17.01272964,0.031063469
NGC3393,16.37439346,0.031259153,16.0336647,0.016081626
NGC3431,18.22614861,0.0257682,17.57359505,0.012252499
NGC3516,16.0272789,0.008436004,15.31643295,0.003425728
NGC3718,15.05485916,0.006445995,14.44463158,0.004025129
NGC3783,,,,
NGC3786,16.62912369,0.044999845,16.02259064,0.019952966
NGC4051,16.05487,0.02733446,15.25476,0.01088786
NGC4102,15.80119038,0.005404916,14.9889164,0.002116454
NGC4138,15.61097717,0.005141019,15.13549423,0.002494793
NGC4151,14.35931396,0.013910985,14.10479736,0.00713545
NGC4180,17.28111649,0.046153851,16.34106445,0.017680475
NGC4235,18.95777702,0.060614109,16.95293999,0.010095526
NGC424,17.12401772,0.058821905,16.72235107,0.029571837
NGC4388,15.24458313,0.004775952,14.53580284,0.002028457
NGC4507,,,,
NGC4619,15.79168129,0.021158267,15.33649254,0.010357758
NGC4748,15.99434853,0.004267924,15.78244686,0.00226585
NGC4939,14.4579258,0.003066885,14.06348228,0.001493615
NGC4941,19.3519,0.193058,17.9276,0.05721284
NGC4992,18.54224777,0.076209322,17.7623806,0.032090995
NGC5033,13.47874069,0.007206771,13.19942284,0.004279459
NGC5106,18.09777069,0.089754798,17.31282806,0.036571059
NGC513,16.88832474,0.009371988,16.29024124,0.004138054
NGC5231,18.19775581,0.024773402,17.36190033,0.010033956
NGC5252,18.09782791,0.088654958,17.96736526,0.056892481
NGC526A,18.22778893,0.024689719,17.77256012,0.013198403
NGC5273,18.08506203,0.028120954,16.48125076,0.008664304
NGC5290,17.10318756,0.043368187,16.29204178,0.01857944
NGC5506,17.74964333,0.013813686,16.74420929,0.004687711
NGC5548,16.40526009,0.009696125,15.8130703,0.004481751
NGC5610,16.60365868,0.048021454,16.12887764,0.021655969
NGC5674,16.20178413,0.036010463,15.8092823,0.017894654
NGC5683,17.57964706,0.013261884,16.89160728,0.005380105
NGC5728,16.40194149,0.056779224,15.69130255,0.018923394
NGC5899,16.16101265,0.028992344,15.55365944,0.012888493
NGC5995,18.0361042,0.0736022,17.21971893,0.022047237
NGC6221,,,,
NGC6240,17.2404995,0.033852462,16.60847282,0.015347664
NGC6300,,,,
NGC6552,18.18875885,0.022449624,17.43358231,0.008925921
NGC6814,15.03955173,0.007704748,14.59893036,0.003787878
NGC6860,,,,
NGC7172,,,,
NGC7213,,,,
NGC7465,,,,
NGC7469,14.95256042,0.003535672,14.58307457,0.001747438
NGC7479,15.22422409,0.006754251,14.59303856,0.003191981
NGC7582,15.31849194,0.003654799,14.42943954,0.00153054
NGC7603,14.856884,0.004727783,14.47000122,0.002296426
NGC7679,15.97695541,0.02198172,15.30199432,0.009107335
NGC788,17.65261269,0.05640582,16.92921829,0.025246494
NGC931,17.17725945,0.071157418,16.69027328,0.035409715
NGC985,15.64751053,0.005061629,15.37977409,0.002604088
PG2304+042,,,17.36194,0.03798944
PICTORA,17.90319633,0.05559928,17.59420586,0.02635497
PKS2331-240,20.30810547,0.239072889,19.43242645,0.098558173
SBS0915+556,19.49643707,0.042902112,19.3198185,0.024728127
SBS1301+540,17.89701462,0.059695669,17.25710678,0.024803935
SDSSJ104326.47+110524.2,17.74503899,0.036574665,17.59264565,0.019449813
SWIFTJ212745.6+565636,,,,
UGC01479,19.56710815,0.158644781,18.83499908,0.065966696
UGC03142,,,,
UGC03478,17.76851,0.04583681,16.85590935,0.020428728
UGC03601,18.55579,0.07086273,17.79281044,0.027809562
UGC03995A,16.42426,0.01112104,15.94894,0.006065309
UGC05881,18.41888809,0.0752583,17.68257713,0.032516722
UGC06728,17.59878349,0.043725044,16.94965935,0.018508516
UGC07064,17.03187561,0.01346942,16.40579414,0.005767425
