name,ra,dec,objid,distance,Column1,run,rerun,camcol,field,type
NGC1194,45.95458,-1.103611,588015507678887987,0.00823142844493021,588015507678887987,3325,41,1,415,3
NGC2885,141.8271,23.02,587741490361204744,0.00620065528774347,587741490361204744,5061,40,4,189,3
NGC3079,150.4908,55.67979,587729387681808389,0.0220842968604504,587729387681808389,2243,40,5,213,3
NGC3227,155.8775,19.865,587742013808902217,0.00912030314739295,587742013808902217,5183,40,3,167,3
NGC3718,173.1454,53.06805,587732136993882121,0.0119136116215639,587732136993882121,2883,40,6,154,3
NGC3786,174.9275,31.90917,587739647284805725,0.0210802739670681,587739647284805725,4632,40,3,211,3
NGC4051,180.79,44.53139,588017626154074124,0.0056523804604848,588017626154074124,3818,41,3,149,3
NGC4102,181.5958,52.71111,587732135922303040,0.00488316822840815,587732135922303040,2883,40,4,187,3
NGC4138,182.3742,43.68528,588017949888086075,0.00302124842033995,588017949888086075,3893,41,6,162,3
NGC4151,182.6358,39.40583,587738946683011116,0.00649744322916675,587738946683011116,4469,40,2,436,3
NGC4180,183.2625,7.038889,588017728687636498,0.011526809785062,588017728687636498,3842,41,2,15,3
NGC4235,184.2912,7.191667,588017724937076758,0.00605640177017944,588017724937076758,3841,41,3,130,3
NGC4388,186.4446,12.66222,588017566564155399,0.022107223711747,588017566564155399,3804,41,4,191,3
NGC4619,190.4354,35.06278,587739407321006093,0.0103345033836049,587739407321006093,4576,40,4,478,3
NGC4992,197.2733,11.63417,588017702937886775,0.0026327343151204,588017702937886775,3836,41,2,321,3
NGC5033,198.3646,36.59389,587739097531088918,0.00165534493613645,587739097531088918,4504,40,3,243,3
NGC5106,200.2483,8.978333,587736541474914353,0.00395546307729072,587736541474914353,3909,40,2,33,3
NGC513,21.11208,33.79945,758877278693687486,0.0196533394001162,758877278693687486,4829,648,2,167,3
NGC5231,203.9508,2.998889,587726016153124929,0.0121378086502873,587726016153124929,1458,40,5,528,3
NGC5252,204.5667,4.5425,587729158970736727,0.0332280588812936,587729158970736727,2190,40,3,151,3
NGC5273,205.5346,35.65417,587739131878703149,0.0189669803390214,587739131878703149,4512,40,3,58,3
NGC5290,206.33,41.7125,588017949895819327,0.00518507525434331,588017949895819327,3893,41,6,280,3
NGC5506,213.3121,-3.2075,587729776369991770,0.00802767307289633,587729776369991770,2334,40,1,116,3
NGC5548,214.4979,25.13667,587739811560882185,0.0166354597333217,587739811560882185,4670,40,5,113,3
NGC5610,216.0954,24.61417,587739828738916399,0.00928418183808217,587739828738916399,4674,40,5,85,3
NGC5674,218.4675,5.458333,587730021717377093,0.0218107227321856,587730021717377093,2391,40,2,76,3
NGC5683,218.7183,48.66195,587733397025652764,0.0103687445119346,587733397025652764,3177,40,1,89,3
NGC5899,228.7633,42.04972,588018054581190758,0.0108807984443755,588018054581190758,3918,41,1,212,3
NGC7603,349.7358,0.2438889,587731186736300067,0.0133661020626456,587731186736300067,2662,40,4,214,3
NGC985,38.6575,-8.7875,587724240688382008,0.0190361133429477,587724240688382008,1045,40,2,30,3
SBS0915+556,139.805,55.46528,587725469062004828,0.001410285342348,587725469062004828,1331,40,2,228,3
SBS1301+540,195.9979,53.79167,587733079742152860,0.00108821053061847,587733079742152860,3103,40,2,199,3
SDSSJ104326.47+110524.2,160.8604,11.09,587734948595499096,0.00776718750734383,587734948595499096,3538,40,3,286,3
UGC03995A,116.0292,29.24917,587731873383710959,0.00576823011401783,587731873383710959,2822,40,3,54,3
UGC05881,161.6771,25.93167,587741709414563890,0.00823495804931975,587741709414563890,5112,40,4,342,3
UGC07064,181.1804,31.17722,587741534400086088,0.00571785759090369,587741534400086088,5071,40,6,425,3
UGC08327NED02,198.8221,44.40722,588017605225545758,0.00949382690689058,588017605225545758,3813,41,4,293,3
UGC11185NED02,274.0479,42.66028,758879745074397535,0.0218154389568056,758879745074397535,5403,648,4,102,3
UM614,207.47,2.079167,587726032260562999,0.0100650094472455,587726032260562999,1462,40,3,548,3
VIIZw073,97.60667,63.67805,758877527266820242,0.0100024802901252,758877527266820242,4887,648,1,196,3
