name,ra,dec,objid,distance,Column1,run,rerun,camcol,field,type,petroRad_u,petroMag_u,petroMagErr_u,petroRad_g,petroMag_g,petroMagErr_g,petroRad_r,petroMag_r,petroMagErr_r,petroRad_i,petroMag_i,petroMagErr_i,petroRad_z,petroMag_z,petroMagErr_z
IC2921,173.2054,10.29639,1.23766E+18,0.007192089,1.23766E+18,3031,301,5,354,3,8.810073,17.52267,0.03520326,7.535285,15.91114,0.01715333,7.156108,15.04866,0.01695029,6.893086,14.57294,0.01880814,6.454597,14.26798,0.01801497
IRAS03219+4031,51.305,40.69861,1.23766E+18,0.05714909,1.23766E+18,3628,301,1,113,3,3.575864,17.9609,0.07978445,14.57402,16.34229,0.02790855,14.57402,15.68099,0.02638803,14.50465,15.28396,0.03364915,3.913491,15.16502,0.05277202
IRAS05078+1626,77.68958,16.49889,1.23767E+18,0.036062819,1.23767E+18,6519,301,6,130,3,1.281339,33.35764,5.922606,1.329388,15.13703,1.089816,67.01218,14.00859,0.507156,57.7524,13.50941,0.4533702,1.652769,14.17125,4.673976
KAZ320,344.8871,24.91833,1.23767E+18,0.004170311,1.23767E+18,4880,301,6,114,3,1.463306,16.21449,0.005888144,1.904955,15.67158,0.004402282,2.321759,15.35374,0.005558594,2.623541,15.06938,0.006033616,2.856576,14.86198,0.007183994
KUG1141+371,176.1246,36.88583,1.23766E+18,0.008548217,1.23766E+18,4392,301,3,186,3,13.00269,17.08661,0.02760932,13.14555,15.63914,0.003515756,12.82779,14.86294,0.003020604,12.87742,14.46084,0.003319924,12.28272,14.22541,0.01085668
KUG1208+386,182.6846,38.33611,1.23766E+18,0.006672588,1.23766E+18,4392,301,6,221,3,1.910523,16.21505,0.01362329,12.21229,14.80322,0.002098728,12.15127,14.08058,0.001963335,12.66553,13.74936,0.002330872,12.71411,13.50081,0.00526561
LEDA170194,189.7762,-16.17972,1.23767E+18,0.007339397,1.23767E+18,6005,301,6,55,3,11.94487,16.1635,0.02392543,14.63756,14.65383,0.01581366,15.04054,14.0176,0.01546459,15.18036,13.64744,0.01545309,14.65644,13.44348,0.01506146
M106,184.7396,47.30389,1.23766E+18,0.004727846,1.23766E+18,3530,301,3,386,3,69.58253,12.19987,0.005994929,64.71362,10.71221,0.002479452,60.78736,9.948293,0.002822881,59.44854,9.519935,0.001210964,62.25254,9.193309,0.002608334
MCG-01-05-047,28.20417,-3.446944,1.23768E+18,0.033323226,1.23768E+18,7780,301,1,90,3,26.3618,16.07252,0.6683539,69.69453,13.69192,0.07948469,59.04399,12.9347,0.07151105,52.06174,12.47938,0.03563548,52.55999,12.06625,0.05591544
MCG-01-13-025,72.92292,-3.809167,1.23767E+18,0.012722795,1.23767E+18,6708,301,6,68,3,10.28607,15.99538,0.01657196,14.42527,14.0645,0.00295115,14.20204,13.2139,0.003186818,14.36729,12.84507,0.002903781,13.63839,12.55603,0.003772684
MCG-02-08-014,43.0975,-8.510278,1.23765E+18,0.00715654,1.23765E+18,1862,301,2,112,3,11.53813,16.79494,0.1584067,23.47678,14.86937,0.2077965,12.04381,14.00836,0.1761425,11.81416,13.51635,0.1755941,10.26156,13.1865,0.1322537
MCG+00-09-042,49.25917,1.255,1.23767E+18,0.002070471,1.23767E+18,4849,301,6,783,3,11.41712,17.83529,0.05594036,10.50685,15.89332,0.05492952,9.940681,14.80031,0.04560151,9.863758,14.18656,0.04435405,9.293914,13.73291,0.04068806
MCG+01-57-016,340.0708,8.053889,1.23767E+18,0.016939501,1.23767E+18,5640,301,6,230,3,1.475017,15.74116,0.02089863,4.786098,14.68771,0.03808239,6.095817,14.05156,0.03757104,6.875814,13.72493,0.03961539,6.495291,13.47243,0.03590714
MCG+02-21-013,121.1933,10.77667,1.23767E+18,0.003273534,1.23767E+18,5137,301,2,49,3,22.55883,16.22993,0.07641719,24.02444,14.49652,0.04263512,22.81033,13.71,0.03425609,21.57268,13.2687,0.02475998,19.56875,12.92714,0.02986009
MCG+02-57-002,335.9375,11.83583,1.23768E+18,0.004192068,1.23768E+18,7787,301,6,45,3,12.14563,16.67881,0.03550105,11.47553,15.31963,0.01743376,11.45418,14.54783,0.01818358,11.24348,14.174,0.0175072,10.70237,13.94427,0.01313105
