name,ra,dec,objid,distance,Column1,run,rerun,camcol,field,type,petroRad_u,petroMag_u,petroMagErr_u,petroRad_g,petroMag_g,petroMagErr_g,petroRad_r,petroMag_r,petroMagErr_r,petroRad_i,petroMag_i,petroMagErr_i,petroRad_z,petroMag_z,petroMagErr_z
NGC5506,213.3121,-3.2075,1.23766E+18,0.008240668,1.23766E+18,2334,301,1,116,3,48.46474,14.57079,0.01483149,53.03339,12.70699,0.008334407,53.7058,11.84701,0.006908214,52.98846,11.43928,0.004238699,51.79174,11.12797,0.008298606
NGC5548,214.4979,25.13667,1.23767E+18,0.016511527,1.23767E+18,4670,301,5,113,3,18.10536,14.65501,0.007962376,32.25827,13.14583,0.002658888,31.02275,12.48723,0.001785693,31.54574,12.16862,0.002681219,24.50775,12.02695,0.00332403
NGC5610,216.0954,24.61417,1.23767E+18,0.008931679,1.23767E+18,4674,301,5,85,3,25.02128,15.09741,0.01489585,26.26444,13.58798,0.006447243,25.78662,12.91028,0.006712719,25.77724,12.54441,0.005153727,25.14076,12.28662,0.006648388
NGC5674,218.4675,5.458333,1.23766E+18,0.020291007,1.23766E+18,2391,301,2,76,3,26.66286,16.37745,0.06567764,29.63222,13.72404,0.004685035,29.82509,12.92894,0.002193645,30.34391,12.53905,0.001877992,29.09292,12.40477,0.005008233
NGC5683,218.7183,48.66195,1.23766E+18,0.010948923,1.23766E+18,3918,301,6,150,3,1.851135,16.02183,0.005385294,3.128536,15.63481,0.001684869,3.480974,15.17879,0.001545712,3.523177,14.8757,0.001663353,4.534176,14.50013,0.003809403
NGC5899,228.7633,42.04972,1.23766E+18,0.010073239,1.23766E+18,3918,301,1,212,3,31.12015,14.88624,0.02915157,52.50459,12.62857,0.01370495,51.8008,11.7258,0.005571813,51.57691,11.28491,0.008544202,56.43209,10.828,0.01280695
NGC6240,253.2454,2.400833,1.23766E+18,0.002984049,1.23766E+18,2348,301,2,71,3,25.15507,16.00554,0.06713163,27.72847,13.79177,0.1303455,24.8214,12.97435,0.08515734,24.39592,12.49409,0.08181909,23.61713,11.95159,0.07618067
NGC7465,345.5042,15.96472,1.23768E+18,0.012822154,1.23768E+18,7713,301,2,138,3,7.943219,14.76114,0.01120092,9.670163,13.21457,0.01736095,10.17265,12.50422,0.01845525,11.40477,12.13139,0.01859667,10.73825,11.8978,0.0155919
NGC7469,345.815,8.873889,1.23768E+18,0.003859738,1.23768E+18,7814,301,2,55,3,2.429007,13.84564,0.006428879,2.831933,13.01654,0.01922297,10.32082,12.41866,0.0190455,9.980118,12.29651,0.0163411,9.274676,11.91321,0.01500487
NGC7479,346.2362,12.32278,1.23768E+18,0.013781468,1.23768E+18,7787,301,5,112,3,59.21693,14.22474,0.03402801,63.08372,12.39858,0.04344569,75.34972,11.45934,0.01315192,53.57851,11.25291,0.0562642,57.18805,10.9582,0.03869477
NGC7603,349.7358,0.2438889,1.23767E+18,0.013850391,1.23767E+18,4874,301,4,352,3,1.164618,13.69507,0.003478057,4.437079,13.2866,0.001241599,11.86831,12.89419,0.001210773,14.05196,13.03478,0.006085558,14.57432,12.13798,0.009606583
NGC7679,352.1946,3.511389,1.23768E+18,0.009898092,1.23768E+18,7712,301,6,277,3,5.977981,14.52513,0.008862811,6.497297,13.2626,0.003597975,7.700607,12.79451,0.003712351,8.689353,12.58591,0.004101716,8.795218,12.40807,0.004062037
NGC788,30.27667,-6.815556,1.23768E+18,0.023092846,1.23768E+18,7885,301,3,82,3,35.00631,14.40461,0.009650805,30.31364,12.6722,0.003438046,29.70119,11.9008,0.00325194,28.74284,11.56093,0.002233117,27.32309,11.27895,0.003558548
NGC931,37.06042,31.31167,1.23768E+18,0.010698054,1.23768E+18,7781,301,5,162,3,20.82127,16.47252,0.09529932,20.54188,15.11529,0.1044416,3.985267,14.67218,0.04119303,8.860827,14.21529,0.0740836,18.3441,13.26778,0.1105836
NGC985,38.6575,-8.7875,1.23765E+18,0.020451158,1.23765E+18,1869,301,2,89,3,2.153536,14.66422,0.003124961,1.869982,14.50138,0.004501321,2.159878,14.43047,0.006458104,2.312401,14.20709,0.006374341,2.42394,14.14115,0.007399812
PG2304+042,346.7621,4.549167,1.23768E+18,0.003120004,1.23768E+18,7754,301,3,226,3,3.836937,17.46116,0.03657847,8.262937,15.90178,0.0157288,8.56946,15.10648,0.01516283,8.764864,14.66483,0.01391794,7.520168,14.37653,0.01553974
SBS0915+556,139.805,55.46528,1.23765E+18,0.000907262,1.23765E+18,1331,301,2,228,3,2.419878,18.13652,0.02680102,2.717905,16.66943,0.004536403,3.434834,16.34441,0.005489803,3.065351,15.86881,0.004717321,3.131274,15.60834,0.01029797
SBS1301+540,195.9979,53.79167,1.23766E+18,0.002480091,1.23766E+18,3103,301,2,199,3,4.717241,17.09861,0.02512356,6.195173,15.89125,0.06687654,5.711607,15.25943,0.05527066,6.573859,14.92309,0.06369155,5.947189,14.75406,0.01950928
SDSSJ104326.47+110524.2,160.8604,11.09,1.23766E+18,0.007923076,1.23766E+18,3538,301,3,286,3,1.717248,16.89293,0.006904894,1.857757,16.63,0.003152393,1.788067,16.52815,0.004195678,1.709489,16.10304,0.004419252,1.862108,16.14599,0.01272763
UGC01479,30.07958,24.47361,1.23768E+18,0.010643283,1.23768E+18,8056,301,2,130,3,19.70799,16.66927,0.05814879,24.00958,14.54962,0.02562421,23.02907,13.65041,0.02983803,23.32254,13.16054,0.0137469,21.38457,12.76218,0.008013357
UGC03995A,116.0292,29.24917,1.23766E+18,0.007411238,1.23766E+18,2822,301,3,54,3,25.61152,17.12206,0.1493601,34.31091,15.06001,0.1169058,37.64949,14.32214,0.1216311,38.11253,14.01082,0.1499628,27.61104,15.1286,0.5916454
UGC05881,161.6771,25.93167,1.23767E+18,0.00816294,1.23767E+18,5112,301,4,342,3,9.788984,16.14018,0.01696924,10.65886,14.5106,0.0130668,10.15399,13.76025,0.0124008,9.946849,13.37903,0.01209744,8.870166,13.11036,0.01051683
UGC07064,181.1804,31.17722,1.23767E+18,0.005549696,1.23767E+18,5071,301,6,425,3,15.36317,15.35473,0.01049408,19.17288,13.86613,0.001740546,19.72131,13.19642,0.001551207,19.64833,12.86907,0.001710551,17.38324,12.7168,0.003835445
UGC08327NED02,198.8221,44.40722,1.23766E+18,0.009197024,1.23766E+18,3813,301,4,293,3,19.53893,16.68283,0.08198553,13.61537,15.10191,0.04781036,11.21571,14.34634,0.0508283,9.408938,13.95429,0.04418541,5.847703,13.69352,0.05606536
UGC11185NED02,274.0479,42.66028,1.23767E+18,0.014605651,1.23767E+18,5403,301,4,102,3,19.52542,17.42552,0.3751152,29.90218,15.72516,0.8175757,29.0141,15.32557,1.268989,73.57426,14.43505,0.2374252,7.87315,14.71325,1.167459
UGC12237,343.5821,11.7825,1.23768E+18,0.008687412,1.23768E+18,7787,301,4,94,3,2.970156,17.5268,0.2825643,33.4667,15.07496,0.04816439,31.65472,14.1767,0.04418892,30.25943,13.69553,0.03084371,24.08655,13.5105,0.04574079
UGC12741,355.4813,30.58167,1.23767E+18,0.010446553,1.23767E+18,4822,301,1,490,3,14.95121,16.07453,0.0241295,14.78268,14.54572,0.02323313,13.43582,13.76718,0.02273013,13.37378,13.35122,0.02101386,11.86828,13.04305,0.01813476
UM614,207.47,2.079167,1.23767E+18,0.010892647,1.23767E+18,6782,301,1,19,3,2.147758,16.9178,0.01369233,4.180927,15.6923,0.01069854,5.236194,15.04061,0.01042153,5.306227,14.69721,0.01071292,5.29462,14.43777,0.01085149
VIIZw073,97.60667,63.67805,1.23767E+18,0.006257881,1.23767E+18,4887,301,1,196,3,4.953151,16.72209,0.02620464,6.480513,15.43158,0.1313075,7.157676,14.84505,0.1335833,7.360823,14.41268,0.05273932,6.86651,14.19931,0.2471605
