SWIFT Name	R.A.	Decl.	Flux (15-55 keV)	S/N	ID	Type^a	Redshift	Ph. Index	log(N_H)	Reference
J2109.1-0939	317.3	-9.652	1.58 +or- 0.27	5.9	1H 2107-097 (2MASXJ21090996-0940147)	Sy1	0.03	2.15^+0.40_-0.35	 sdotsdotsdot 	
J0524.2-1212	81.05	-12.2	1.42 +or- 0.25	5.6	LEDA 17233 (IRAS05218-1212)	Sy1	0.05	1.90^+0.36_-0.33	21.2	-2
J2236.8-1235	339.223	-12.599	1.43 +or- 0.23	6.2	Mrk 915	Sy1	0.02	1.59^+0.33_-0.27	22.8	-2
J0113.8-1450	18.453	-14.85	1.24 +or- 0.21	5.8	Mrk 1152	Sy1	0.05	2.10^+0.38_-0.34	21.1	-5
J1239.0-1611	189.769	-16.196	2.02 +or- 0.26	7.7	XSS J12389-1614 (LEDA170194)	Sy2	0.04	1.68^+0.28_-0.22	22.5	-1
J0342.2-2114	55.554	-21.244	2.15 +or- 0.18	11.8	SWIFT J0342.0-2115 (ESO548-G081)	Sy1	0.01	1.88^+0.20_-0.19	20.5	-1
J0505.9-2351	76.497	-23.854	2.78 +or- 0.20	13.9	XSS J05054-2348 (2MASXJ05054575-2351139)	Sy2	0.04	1.79^+0.18_-0.17	22.7	-1
J2235.8-2603	338.966	-26.054	2.76 +or- 0.24	11.6	NGC 7314	Sy1.9	0.005	2.04^+0.20_-0.18	21.8	-1
J1408.4-3024	212.1	-30.4	1.65 +or- 0.32	5.1	PGC 050427 (2MASXJ14080674-3023537)	Sy1	0.02	2.67^+0.65_-0.52	21.2	-2
J0947.7-3056	146.939	-30.948	11.50 +or- 0.22	51.5	ESO 434-40 (MCG-05-23-016)	Sy2	0.01	2.27^+0.01_-0.01	22.2	-3
J0519.7-3240	79.93	-32.676	2.38 +or- 0.19	12.9	SWIFT J0519.5-3140 (ESO362-18)	Sy2	0.04	1.72^+0.18_-0.14	21.1	-1
J2132.1-3343	323.028	-33.727	2.92 +or- 0.27	10.7	CTS 109 (6dFJ2132022-334254)	Sy1	0.03	2.07^+0.22_-0.20	20	-2
J0134.0-3629	23.506	-36.486	2.36 +or- 0.18	13	NGC 612	Sy2	0.03	1.63^+0.17_-0.15	23.7	-6
J0558.1-3820	89.549	-38.347	2.12 +or- 0.18	11.6	EXO 055620-3820.2 (2MASXJ05580206-3820043)	Sy1	0.03	2.21^+0.23_-0.21	22.2	-1
J0350.7-5022	57.679	-50.377	1.29 +or- 0.17	7.5	SWIFT J0350.1-5019 (2MASXJ03502377-5018354)	Sy2	0.04	1.79^+0.39_-0.29	23.2	-2
J0114.3-5524	18.6	-55.4	0.92 +or- 0.17	5.3	SWIFT J0114.4-5522	Sy2	0.01	1.53^+0.33_-0.38	22.9	-1
J0624.1-6059	96.028	-60.998	1.25 +or- 0.17	7.4	SWIFT J2141.0+1603 (ESO121-IG028)	Sy2	0.04	2.51^+0.42_-0.36	23.4	-2
J2009.1-6103	302.289	-61.064	3.03 +or- 0.26	11.5	SWIFT J2009.0-6103 (NGC 6860)	Sy1	0.01	1.98^+0.21_-0.20	21.8	-1
J1845.1-6223	281.297	-62.399	2.52 +or- 0.28	9	ESO 140-43 (Fairall 51)	Sy1	0.01	2.17^+0.27_-0.25	22.4	-2
J1857.3-7827	284.341	-78.464	1.86 +or- 0.26	7.1	LEDA 140831 (2MASXJ18570768-7828212)	Sy1	0.04	1.85^+0.36_-0.34	20	-2
J0602.9-8633	90.749	-86.555	1.82 +or- 0.22	8.4	SWIFT J0601.9-8636 (ESO005-G004)	Sy2	0.01	1.67^+0.24_-0.37	~24	-4
J1842.4+7946	280.616	79.771	5.82 +or- 0.19	29.9	3C 390.3	Sy1	0.06	1.95^+0.07_-0.07	21	-1
J0811.1+7602	122.798	76.049	1.15 +or- 0.19	6.2	PG 0804+761	Sy1	0.1	2.58^+0.60_-0.48	20	-2
J1222.0+7518	185.503	75.311	1.27 +or- 0.17	7.4	Mrk 205	Sy1	0.07	2.53^+0.42_-0.37	20.7	-12
J0652.1+7425	103.044	74.425	3.29 +or- 0.19	17.1	Mrk 6	Sy1.5	0.02	1.89^+0.13_-0.13	23	-1
J1106.6+7234	166.654	72.571	6.45 +or- 0.17	38	NGC 3516	Sy1.5	0.01	1.90^+0.01_-0.01	21.2	-1
J0615.8+7101	93.967	71.021	6.08 +or- 0.20	30.8	Mrk 3	Sy2	0.01	1.66^+0.01_-0.01	24	-1
