SWIFT Name	R.A.	Decl.	Flux (15-55 keV)	S/N	ID	Type^a	Redshift	Ph. Index	log(N_H)	Reference
J0519.8-4546	79.963	-45.774	2.49 +or- 0.17	14.9	Pictor-A	Sy1	0.04	1.90^+0.17_-0.17	21	-1
J2209.5-4709	332.387	-47.166	3.02 +or- 0.23	13.4	NGC 7213	Sy1.5	0.03	1.92^+0.17_-0.16	20.6	-1
J0101.0-4748	15.274	-47.8	0.97 +or- 0.18	5.6	2MASX J01003469-4748303	GALAXY	0.08	2.32^+0.44_-0.38	22.6	-2
J0238.5-5213	39.647	-52.22	1.31 +or- 0.17	7.6	ESO 198-024	Sy1	0.05	1.69^+0.26_-0.25	21	-1
J1824.2-5620	276.057	-56.348	1.98 +or- 0.29	6.9	IC 4709	Sy2	0.02	1.94^+0.28_-0.26	23.1	-2
J2052.0-5703	313.017	-57.063	4.63 +or- 0.25	18.3	IC 5063	Sy2	0.01	1.89^+0.12_-0.12	23.3	-1
J0426.4-5712	66.603	-57.201	1.40 +or- 0.17	8.2	1H 0419-577	Sy1	0.1	2.57^+0.56_-0.33	19.5	-1
J0451.8-5807	72.966	-58.133	0.88 +or- 0.17	5.2	RBS 0594	Sy1	0.09	1.86^+0.42_-0.38	20	-2
J1921.2-5840	290.323	-58.677	3.54 +or- 0.28	12.6	ESO 141-55	Sy1	0.04	1.83^+0.19_-0.18	20	-3
J0123.8-5847	20.952	-58.785	2.65 +or- 0.17	15.3	Fairall 9	Sy1	0.05	2.02^+0.15_-0.15	20.4	-1
J1837.1-5922	279.284	-59.368	1.79 +or- 0.28	6.3	FAIRALL 49	Sy2	0.02	2.55^+0.43_-0.37	22.3	-14
J2136.0-6223	324.006	-62.4	2.42 +or- 0.23	10.6	QSO J2136-6224	Sy1	0.06	2.23^+0.26_-0.24	20	-2
J0226.0-6315	36.5	-63.25	0.91 +or- 0.18	5.2	FAIRALL 0926	Sy1	0.06	2.55^+0.57_-0.47	20.9	-2
J1838.6-6523	279.658	-65.394	6.23 +or- 0.28	22.4	ESO 103-035	Sy2	0.01	2.18^+0.12_-0.12	23.2	-1
J0455.3-7528	73.841	-75.477	1.27 +or- 0.18	6.9	ESO 33-2	Sy2	0.02	2.52^+0.49_-0.41	22.1	-2
