|     cntr_01|	dist_x|	pang_x|	ra_01|	dec_01|	designation|	ra|	dec|	r_k20fe|	j_m_k20fe|	j_msig_k20fe|	j_flg_k20fe|	h_m_k20fe|	h_msig_k20fe|	h_flg_k20fe|	k_m_k20fe|	k_msig_k20fe|	k_flg_k20fe|	k_ba|	k_phi|	sup_ba|	sup_phi|	r_ext|	j_m_ext|	j_msig_ext|	h_m_ext|	h_msig_ext|	k_m_ext|	k_msig_ext|	cc_flg|
|         int|	double|	double|	double|	double|	char|	double|	double|	double|	double|	double|	int|	double|	double|	int|	double|	double|	int|	double|	int|	double|	int|	double|	double|	double|	double|	double|	double|	double|	char|
|            |	arcsec|	deg|	degree|	degree|	|	deg|	deg|	arcsec|	mag|	mag|	|	mag|	mag|	|	mag|	mag|	|	|	deg|	|	deg|	arcsec|	mag|	mag|	mag|	mag|	mag|	mag|	|
|        null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|	null|
25	0.080761	-9.745235	135.655417	-48.226111	09023729-4813339	135.655411	-48.226089	11.9	15.052	0.208	2	12.988	0.084	2	12.053	0.085	2	0.6	25	0.56	30	21.96	15	0.379	12.908	0.117	11.946	0.091	0
26	0.912644	118.5936	136.15375	55.600833	09043699+5536025	136.154144	55.600712	6.9	13.998	0.05	3	13.097	0.055	3	12.597	0.063	3	0.8	45	0.9	65	16.56	13.545	0.054	12.642	0.059	12.38	0.078	0
27	0.494889	18.401418	140.97375	-31.691944	09235371-3141305	140.973801	-31.691814	13	13.072	0.059	0	12.282	0.06	0	11.853	0.08	0	0.7	-15	0.68	-5	23.33	13.057	0.08	12.094	0.066	11.707	0.08	0
28	0.27401	5.368203	141.447917	69.464722	09254750+6927532	141.447937	69.464798	9.1	13.453	0.044	0	12.561	0.052	0	11.939	0.055	0	0.9	85	0.74	-5	17.32	13.275	0.054	12.379	0.06	11.803	0.057	0
29	0.789764	-142.622606	144.02625	-65.809167	09360622-6548336	144.025925	-65.809341	8.6	13.756	0.052	0	13.067	0.052	0	12.59	0.079	0	0.7	-20	0.74	5	15.87	13.722	0.074	13.044	0.076	12.443	0.092	0
30	0.431602	114.066277	149.9275	-31.216111	09594263-3112581	149.927628	-31.21616	13	12.74	0.047	0	11.863	0.054	0	11.105	0.056	3	0.9	50	0.58	85	38.3	12.588	0.096	11.548	0.086	10.875	0.079	0
31	1.983299	-103.233157	160.09375	-46.423889	10402231-4625264	160.092972	-46.424015	19.2	11.611	0.024	0	10.844	0.028	0	10.44	0.037	0	0.6	80	0.66	90	31.41	11.445	0.025	10.683	0.026	10.381	0.033	0
32	1.201924	-31.901392	176.41875	-18.454444	11454045-1827149	176.418564	-18.454161	10.2	12.869	0.033	0	12.154	0.04	0	11.648	0.059	0	0.9	70	0.68	65	30.48	12.758	0.064	11.793	0.057	11.369	0.079	0
33	0.464878	131.100214	180.24125	6.806389	12005792+0648226	180.241348	6.806304	15.7	12.329	0.035	0	11.61	0.043	0	11.217	0.064	0	0.6	40	0.56	40	27	12.154	0.037	11.472	0.043	11.098	0.057	0
34	0.267603	-76.605404	187.905	-47.967222	12313717-4758019	187.904892	-47.967205	15.2	12.36	0.036	3	11.586	0.044	3	11.148	0.06	3	0.6	-35	0.94	70	27.15	12.224	0.049	11.52	0.049	11.029	0.054	0
